"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet gymnázií","Počet lůžek v ubytovacích zařízeních","Počet mateřských škol","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet pokojů v ubytovacích zařízeních","Počet SOŠ a praktických škol","Počet SOU","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Počet základních škol s 1. st.","Počet základních škol s 2. st.","Počet základních škol úplných","Počet žáků v gymnáziích","Počet žáků v mateřských školách","Počet žáků v SOŠ a praktických školách","Počet žáků v SOU","Počet žáků v základních školách s 1. st.","Počet žáků v základních školách s 2. st.","Počet žáků v základních školách úplných","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Ordinace gynekologa","Ordinace praktického lékaře","Ordinace praktického lékaře pro děti a dorost","Ordinace specialisty","Ordinace stomatologa","Počet lékáren","Domovy pro seniory","Domovy pro seniory - počet míst","Domovy pro osoby se zdravotním postižením","Domovy pro osoby se zdravotním postižením - počet míst","Počet nemocnic","Počet lůžek v nemocnicích"
"Velké Janovice","1 252,91","345,52","1 556,87","0,00","0,00","127,36","137,56","187,04","0,00","0,00",NA,"0,00","119,00","24,00","18,00","40,00","33,00","2,00","2,00",NA,"0,00","0,00",NA,"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","187,04","1 881,48","0,00","501,21","1 694,43","1 380,27","0,00","40,72","190,04","13,56","0,00","93,56","0,00","0,81","3,96","2,88","287,56","0,00","1,00","1,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Karlovice","34 135,04","8 080,96","39 263,08","0,00","74,70","10 502,80","8 656,18","1 695,04","3,00","0,00","1 088,00","1,00","2 409,00","506,00","303,00","755,00","670,00","99,00","76,00","350,00","0,00","0,00","24,00","70,00","0,00","0,00","1,00","0,00","71,00","0,00","0,00","0,00","0,00","207,00","1 695,04","49 689,00","32,00","5 051,17","47 993,96","44 637,83","0,00","6 042,32","122,52","290,85","5,40","1 483,32","0,00","46,37","37,20","52,98","1 648,44","68,00","33,00","23,00","Zlínský kraj","VSETÍN","Vsetín",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Velké Kunětice","6 116,43","982,61","7 144,13","0,00","0,00","85,20","851,59","1 442,73","0,00","0,00",NA,"1,00","562,00","94,00","76,00","182,00","165,00","27,00","18,00",NA,"0,00","0,00",NA,"52,00","0,00","0,00","0,00","0,00","27,00","0,00","0,00","0,00","0,00","0,00","1 442,73","9 438,44","26,00","3 236,81","7 995,72","6 201,63","0,00","227,79","623,29","60,46","0,00","19,07","0,00","5,03","34,54","12,43","676,90","16,00","10,00","3,00","Olomoucký kraj","JESENÍK","Jeseník",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Losiny","37 263,87","4 649,96","37 325,45","943,71","1 609,00","11 755,86","6 521,08","2 696,02","1,00","0,00","836,00","1,00","2 623,00","653,00","329,00","758,00","691,00","99,00","93,00","348,00","0,00","0,00","17,00","79,00","0,00","0,00","1,00","0,00","83,00","0,00","0,00","0,00","0,00","165,00","3 639,73","49 095,26","66,00","75,53","45 455,53","49 019,73","0,00","2 105,21","788,62","363,45","174,35","1 029,10","0,00","42,16","102,25","44,83","2 094,32","78,00","26,00","18,00","Olomoucký kraj","ŠUMPERK","Šumperk",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Velké Meziříčí","169 325,00","4 066,41","177 673,31","2 743,67","8 162,75","34 168,12","14 080,04","48 721,86","22,00","1,00","376,00","3,00","11 536,00","2 131,00","1 808,00","3 454,00","3 436,00","329,00","378,00","151,00","2,00","2,00","9,00","303,00","2,00","1,00","4,00","327,00","473,00","153,00","170,00","103,00","6,00","1 197,00","51 465,53","251 381,63","140,00","47 888,50","199 916,10","203 493,13","0,00","814,00","1 731,68","512,62","4,81","590,65","0,00","116,12","169,72","126,81","2 496,86","227,00","100,00","130,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou","2,00","3,00","3,00","10,00","5,00","6,00","1,00","67,00",NA,NA,"1,00",NA
"Velké Němčice","24 854,94","2 196,77","25 433,34","0,00","591,81","3 317,42","4 147,67","1 999,01","3,00","0,00",NA,"1,00","1 770,00","309,00","276,00","576,00","516,00","43,00","50,00",NA,"0,00","0,00",NA,"41,00","0,00","0,00","1,00","0,00","73,00","0,00","0,00","0,00","0,00","204,00","1 999,01","32 171,83","33,00","3 999,47","30 172,82","28 172,35","0,00","146,22","1 527,84","166,98","142,44","37,28","54,35","59,66","24,73","37,28","1 786,63","30,00","19,00","19,00","Jihomoravský kraj","HUSTOPEČE","Břeclav",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Opatovice","57 647,76","2 593,18","53 239,26","1 020,00","60,62","16 635,69","12 866,87","6 952,66","2,00","0,00",NA,"2,00","3 722,00","764,00","513,00","1 138,00","1 016,00","134,00","157,00",NA,"0,00","0,00","1,00","80,00","0,00","0,00","1,00","0,00","132,00","0,00","0,00","0,00","0,00","395,00","7 972,66","74 139,42","65,00","-144,03","66 166,75","74 283,44","0,00","633,49","1 395,54","210,48","6,20","226,32","0,00","13,20","58,32","49,63","1 686,37","88,00","52,00","37,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,"2,00","1,00","1,00","1,00","1,00",NA,NA,"1,00","104,00",NA,NA
"Velké Pavlovice","48 830,12","2 324,51","56 243,08","11 170,88","5 596,13","26 197,34","8 211,44","4 132,96","3,00","1,00","219,00","1,00","3 117,00","594,00","457,00","959,00","911,00","106,00","90,00","86,00","0,00","0,00","5,00","89,00","0,00","0,00","1,00","260,00","100,00","0,00","0,00","0,00","0,00","284,00","15 303,84","85 354,48","33,00","10 327,02","70 050,65","75 027,46","0,00","0,81","1 230,78","273,92","204,59","45,12","432,07","34,51","42,05","60,66","1 954,61","52,00","34,00","37,00","Jihomoravský kraj","HUSTOPEČE","Břeclav","2,00","2,00","1,00",NA,"2,00","1,00",NA,NA,NA,NA,NA,NA
"Velké Petrovice","3 656,03","609,21","5 000,73","0,00","418,63","2 750,14","504,36","764,81","2,00","0,00",NA,"0,00","418,00","80,00","67,00","124,00","120,00","12,00","15,00",NA,"0,00","0,00",NA,"10,00","0,00","0,00","0,00","0,00","21,00","0,00","0,00","0,00","0,00","0,00","764,81","6 688,53","14,00","282,37","5 923,73","6 406,16","0,00","126,27","226,17","37,43","1,72","188,13","0,00","6,49","11,94","11,06","427,96","10,00","0,00","6,00","Královéhradecký kraj","NÁCHOD","Náchod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Popovice","37 643,74","1 562,00","44 515,71","2 218,22","699,85","4 791,70","3 028,01","2 924,27","6,00","0,00",NA,"1,00","2 819,00","431,00","635,00","782,00","822,00","68,00","81,00",NA,"0,00","0,00","2,00","31,00","0,00","0,00","1,00","0,00","94,00","0,00","0,00","0,00","0,00","445,00","5 142,49","53 386,06","94,00","10 950,63","48 243,57","42 435,43","0,00","596,64","500,58","121,09","11,53","164,09","0,00","15,84","112,28","39,94","788,48","73,00","19,00","30,00","Středočeský kraj","ŘÍČANY","Praha-východ",NA,"1,00","1,00",NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Velké Poříčí","21 263,62","744,80","30 930,66","316,88","894,09","10 034,45","3 425,56","1 556,31","1,00","0,00",NA,"1,00","2 371,00","551,00","379,00","657,00","628,00","77,00","79,00",NA,"2,00","1,00",NA,"41,00","0,00","0,00","1,00","0,00","113,00","90,00","202,00","0,00","0,00","233,00","1 873,19","37 123,50","51,00","5 825,42","35 250,31","31 298,08","0,00","109,62","321,85","86,31","1,08","125,99","0,00","17,22","49,63","33,09","498,56","74,00","18,00","27,00","Královéhradecký kraj","NÁCHOD","Náchod",NA,"1,00",NA,NA,"3,00",NA,NA,NA,NA,NA,NA,NA
"Velké Přílepy","35 039,37","567,72","42 515,03","8 400,00","930,80","27 985,63","7 599,50","5 877,46","10,00","0,00",NA,"2,00","3 400,00","320,00","855,00","992,00","1 069,00","86,00","78,00",NA,"0,00","0,00",NA,"40,00","0,00","0,00","1,00","0,00","181,00","0,00","0,00","215,00","0,00","177,00","14 277,46","65 322,78","171,00","2 297,79","51 045,33","63 025,00","0,00","16,90","340,88","50,09","47,95","66,34","0,00","1,80","22,07","21,70","477,23","170,00","16,00","26,00","Středočeský kraj","ČERNOŠICE","Praha-západ",NA,"2,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA
"Velké Přítočno","10 725,92","240,82","12 035,13","279,19","127,00","3 494,49","509,61","945,36","2,00","0,00",NA,"1,00","1 038,00","177,00","180,00","327,00","298,00","29,00","27,00",NA,"0,00","0,00",NA,"22,00","1,00","0,00","0,00","0,00","40,00","0,00","0,00","72,00","0,00","0,00","1 224,55","13 896,28","32,00","-324,13","12 671,74","14 220,41","0,00","0,00","197,57","18,08","0,00","1,23","0,00","1,94","11,77","10,24","210,57","18,00","12,00","8,00","Středočeský kraj","KLADNO","Kladno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Svatoňovice","12 598,25","1 734,64","15 097,12","4 399,64","34,18","12 227,64","3 912,20","1 173,30","2,00","0,00",NA,"1,00","1 245,00","253,00","192,00","390,00","339,00","30,00","41,00",NA,"0,00","0,00",NA,"22,00","2,00","0,00","0,00","0,00","27,00","0,00","0,00","45,00","0,00","0,00","5 572,94","24 616,43","40,00","-209,46","19 043,49","24 825,89","0,00","750,55","458,65","91,79","0,04","316,33","0,00","10,22","81,48","25,58","856,50","48,00","17,00","9,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA,"1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Tresné","940,20","276,99","1 532,84","0,00","0,00","0,00","53,79","255,97","0,00","0,00",NA,"0,00","109,00","32,00","15,00","25,00","26,00","5,00","6,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","255,97","1 842,60","0,00","902,40","1 586,63","940,20","0,00","41,88","149,60","22,30","0,00","54,45","0,00","0,42","4,90","3,43","208,96","5,00","0,00","1,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Všelisy","7 824,61","1 447,46","7 407,03","0,00","544,15","641,89","1 629,01","851,59","0,00","0,00",NA,"0,00","363,00","71,00","52,00","111,00","108,00","11,00","10,00",NA,"0,00","0,00",NA,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","851,59","10 431,79","11,00","1 965,29","9 580,19","8 466,50","0,00","258,97","1 076,81","57,43","7,21","8,32","0,00","3,17","14,65","20,90","1 106,99","6,00","0,00","6,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velké Žernoseky","7 407,67","295,92","6 576,96","350,00","0,00","221,10","1 383,66","798,89","0,00","0,00",NA,"1,00","485,00","74,00","78,00","155,00","140,00","12,00","26,00",NA,"0,00","0,00","1,00","12,00","0,00","0,00","0,00","0,00","28,00","0,00","0,00","0,00","0,00","0,00","1 148,89","9 109,51","17,00","1 480,74","7 960,62","7 628,76","0,00","56,94","56,28","44,75","2,40","50,31","52,21","15,60","10,39","7,03","171,60","15,00","2,00","2,00","Ústecký kraj","LITOMĚŘICE","Litoměřice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Beranov","12 333,63","1 014,85","17 037,49","1 847,11","107,40","4 720,09","4 281,97","1 075,62","3,00","0,00",NA,"1,00","1 296,00","230,00","208,00","392,00","363,00","54,00","49,00",NA,"0,00","0,00",NA,"21,00","0,00","0,00","1,00","0,00","48,00","0,00","0,00","0,00","0,00","191,00","2 922,73","24 349,59","37,00","7 295,87","21 426,85","17 053,72","0,00","180,34","612,39","82,41","0,83","94,81","0,01","6,01","20,14","17,90","728,19","27,00","3,00","10,00","Vysočina","JIHLAVA","Jihlava",NA,NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Velký Bor","5 487,81","1 785,04","7 706,51","520,00","2,28","738,41","1 787,03","603,00","0,00","0,00",NA,"0,00","551,00","87,00","95,00","165,00","162,00","15,00","27,00",NA,"0,00","0,00",NA,"17,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 123,00","10 618,81","17,00","4 392,59","9 495,81","6 226,22","0,00","486,84","929,46","117,43","2,21","170,79","0,00","42,55","15,90","19,88","1 118,36","10,00","7,00","9,00","Plzeňský kraj","HORAŽĎOVICE","Klatovy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Borek","7 971,90","1 042,91","13 457,80","1 476,34","7,00","1 328,82","525,08","576,54","5,00","0,00",NA,"1,00","1 086,00","186,00","210,00","342,00","287,00","32,00","29,00",NA,"0,00","0,00",NA,"27,00","1,00","0,00","0,00","0,00","37,00","0,00","0,00","56,00","0,00","0,00","2 052,89","16 042,77","44,00","6 742,05","13 989,88","9 300,72","0,00","170,16","626,68","122,66","3,01","44,20","23,42","10,30","20,60","21,87","717,92","30,00","11,00","16,00","Středočeský kraj","MĚLNÍK","Mělník",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Chlumec","3 917,52","452,85","4 693,68","0,00","0,00","571,41","682,83","187,52","1,00","0,00",NA,"0,00","410,00","76,00","65,00","121,00","115,00","16,00","17,00",NA,"0,00","0,00",NA,"8,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","187,52","5 564,03","23,00","1 075,10","5 376,51","4 488,93","0,00","181,47","119,03","24,22","1,55","92,30","0,00","3,63","22,16","8,49","235,04","4,00","4,00","6,00","Středočeský kraj","HOŘOVICE","Beroun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Karlov","9 430,05","1 349,38","6 506,94","358,71","313,55","1 721,67","3 481,29","1 628,44","0,00","0,00",NA,"0,00","396,00","76,00","46,00","125,00","122,00","14,00","13,00",NA,"0,00","0,00",NA,"33,00","0,00","0,00","0,00","0,00","20,00","0,00","0,00","0,00","0,00","0,00","1 987,15","12 288,93","3,00","1 137,21","10 301,78","11 151,72","0,00","120,97","1 124,23","86,39","0,00","5,69","0,00","1,34","2,21","8,55","1 132,14","11,00","4,00","4,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Luh","1 570,10","451,89","2 188,07","0,00","18,51","145,72","670,80","221,57","3,00","0,00",NA,"0,00","158,00","15,00","29,00","54,00","44,00","6,00","10,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","221,57","3 098,94","12,00","1 383,12","2 877,37","1 715,82","0,00","332,82","4,14","58,38","0,00","41,54","0,00","9,40","2,90","2,71","48,58","3,00","3,00","2,00","Karlovarský kraj","CHEB","Cheb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Malahov","5 881,51","1 690,52","5 228,89","0,00","147,99","653,25","2 168,80","305,05","0,00","0,00",NA,"0,00","247,00","37,00","45,00","80,00","63,00","10,00","12,00",NA,"0,00","0,00",NA,"14,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","305,05","7 850,72","4,00","1 315,96","7 545,67","6 534,75","0,00","464,39","912,85","111,62","0,00","125,59","0,00","49,94","14,05","12,08","1 052,49","17,00","1,00","1,00","Plzeňský kraj","HORŠOVSKÝ TÝN","Domažlice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Ořechov","9 915,12","620,70","10 800,47","5 131,10","0,00","6 581,56","2 482,75","2 080,16","1,00","0,00",NA,"1,00","751,00","120,00","121,00","237,00","225,00","20,00","28,00",NA,"0,00","0,00",NA,"14,00","0,00","0,00","1,00","0,00","76,00","0,00","0,00","0,00","0,00","143,00","7 211,26","20 494,47","16,00","3 997,80","13 283,22","16 496,68","0,00","125,33","237,68","51,25","7,63","167,01","0,06","4,13","16,14","11,48","428,52","11,00","8,00","5,00","Zlínský kraj","ZLÍN","Zlín",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Velký Osek","31 843,93","1 055,82","33 985,18","3 285,95","931,15","4 760,97","7 693,90","3 630,38","33,00","0,00",NA,"1,00","2 353,00","471,00","398,00","662,00","669,00","83,00","70,00",NA,"0,00","0,00","1,00","64,00","0,00","0,00","1,00","0,00","90,00","0,00","0,00","0,00","0,00","323,00","6 916,33","49 526,56","97,00","12 921,67","42 610,22","36 604,89","0,00","363,36","464,96","100,30","3,47","19,94","0,00","38,27","35,81","29,71","524,18","97,00","23,00","27,00","Středočeský kraj","KOLÍN","Kolín",NA,"1,00",NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Velký Ratmírov","2 561,57","1 356,53","3 894,42","1 497,61","113,55","2 375,46","1 640,86","90,80","1,00","0,00",NA,"0,00","229,00","41,00","34,00","71,00","70,00","6,00","7,00",NA,"0,00","0,00",NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 588,41","7 237,24","8,00","2 300,21","5 648,83","4 937,03","0,00","705,36","375,67","69,47","0,00","143,74","0,00","47,60","7,36","7,33","526,77","2,00","0,00","1,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Rybník","2 592,73","627,28","2 623,83","104,50","0,00","891,74","708,51","217,00","2,00","0,00",NA,"0,00","193,00","29,00","29,00","61,00","55,00","12,00","7,00",NA,"0,00","0,00","1,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","321,50","3 653,84","1,00","169,36","3 332,34","3 484,48","0,00","259,68","272,89","25,59","0,00","48,76","0,00","9,40","5,70","5,26","327,35","1,00","1,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Šenov","22 064,05","1 982,22","27 798,06","5 172,36","390,24","24 401,61","4 847,16","1 432,42","0,00","0,00",NA,"1,00","1 947,00","383,00","309,00","602,00","539,00","55,00","59,00",NA,"0,00","0,00",NA,"59,00","0,00","0,00","1,00","0,00","59,00","0,00","0,00","0,00","0,00","260,00","6 604,78","39 640,24","53,00","-6 825,41","33 035,46","46 465,65","0,00","864,84","234,23","117,38","0,00","670,71","0,00","13,14","48,40","33,52","953,34","82,00","22,00","19,00","Ústecký kraj","RUMBURK","Děčín","1,00","1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Třebešov","2 981,78","313,99","4 971,87","0,00","19,00","31,38","887,90","1 581,47","0,00","0,00",NA,"1,00","327,00","65,00","59,00","96,00","82,00","12,00","13,00",NA,"0,00","0,00",NA,"7,00","1,00","0,00","0,00","0,00","23,00","0,00","0,00","26,00","0,00","0,00","1 581,47","7 460,24","7,00","4 447,09","5 878,78","3 013,16","0,00","22,81","160,31","35,52","4,10","63,38","0,00","7,22","11,92","8,73","239,71","14,00","0,00","2,00","Královéhradecký kraj","JAROMĚŘ","Náchod",NA,NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Velký Týnec","40 445,66","2 061,97","41 825,77","4 274,04","1 370,54","13 836,38","8 947,86","3 629,85","11,00","0,00",NA,"1,00","2 887,00","426,00","571,00","874,00","850,00","85,00","81,00",NA,"0,00","0,00",NA,"52,00","0,00","0,00","1,00","0,00","114,00","0,00","0,00","0,00","0,00","380,00","7 903,89","60 048,06","71,00","5 766,02","52 144,18","54 282,04","69,27","262,69","1 390,71","180,31","2,25","24,43","0,00","14,47","73,35","44,50","1 560,00","59,00","24,00","35,00","Olomoucký kraj","OLOMOUC","Olomouc",NA,"1,00","1,00",NA,"2,00","3,00",NA,NA,NA,NA,NA,NA
"Velký Újezd","15 948,92","682,77","17 918,40","12 449,26","606,62","15 878,08","3 361,12","1 461,29","1,00","0,00",NA,"1,00","1 346,00","225,00","258,00","405,00","376,00","44,00","38,00",NA,"0,00","2,00","2,00","29,00","0,00","0,00","1,00","0,00","71,00","0,00","157,00","0,00","0,00","258,00","13 910,55","35 796,69","23,00","3 969,69","21 886,14","31 827,00","0,00","60,92","394,73","94,32","1,21","61,19","0,00","5,75","45,52","19,12","502,65","19,00","10,00","15,00","Olomoucký kraj","OLOMOUC","Olomouc",NA,"1,00","1,00",NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Velký Valtinov","5 430,17","1 005,26","2 969,00","31,22","0,07","4 045,64","131,83","2 608,55","0,00","0,00",NA,"0,00","194,00","42,00","32,00","48,00","58,00","8,00","6,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 639,77","5 740,67","7,00","-3 735,14","3 100,91","9 475,81","0,00","302,64","362,36","49,00","0,63","202,17","0,00","70,80","7,91","9,75","573,07","5,00","2,00","3,00","Liberecký kraj","LIBEREC","Česká Lípa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Velký Vřešťov","2 592,01","849,26","3 493,41","0,00","0,00","0,00","534,40","82,83","0,00","0,00",NA,"0,00","231,00","43,00","40,00","73,00","58,00","9,00","8,00",NA,"0,00","0,00","2,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","82,83","4 110,64","8,00","1 518,63","4 027,81","2 592,01","0,00","335,01","285,09","38,47","0,25","130,59","0,00","39,14","12,42","8,27","428,36","5,00","1,00","1,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vělopolí","2 344,10","298,78","3 211,34","0,00","0,00","689,57","64,33","84,98","3,00","0,00",NA,"0,00","287,00","43,00","58,00","87,00","79,00","8,00","12,00",NA,"0,00","0,00",NA,"3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","84,98","3 360,66","9,00","326,99","3 275,68","3 033,67","0,00","55,84","82,16","17,79","0,29","104,22","0,00","9,84","23,09","5,55","209,76","8,00","3,00","3,00","Moravskoslezský kraj","TŘINEC","Frýdek-Místek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veltěže","5 412,24","468,14","5 282,84","50,00","63,12","953,46","322,84","1 343,04","0,00","0,00",NA,"1,00","408,00","75,00","74,00","130,00","110,00","13,00","6,00",NA,"0,00","0,00",NA,"8,00","0,00","0,00","0,00","0,00","23,00","0,00","0,00","0,00","0,00","0,00","1 393,04","7 061,83","19,00","696,13","5 668,80","6 365,71","0,00","28,26","389,48","27,84","0,00","7,28","0,00","0,59","6,48","8,22","403,24","22,00","7,00","5,00","Ústecký kraj","LOUNY","Louny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veltruby","12 852,45","938,31","17 792,25","2 922,10","2 012,73","5 875,10","914,25","1 510,45","9,00","0,00",NA,"1,00","1 394,00","258,00","202,00","436,00","410,00","46,00","42,00",NA,"0,00","0,00",NA,"47,00","1,00","0,00","0,00","0,00","48,00","0,00","0,00","53,00","0,00","0,00","4 432,55","25 151,78","29,00","6 424,23","20 719,23","18 727,54","0,00","152,94","534,21","83,86","2,59","17,67","0,00","95,15","27,21","24,69","581,68","28,00","15,00","11,00","Středočeský kraj","KOLÍN","Kolín",NA,NA,NA,NA,"1,00",NA,NA,NA,NA,NA,NA,NA
"Veltrusy","25 574,56","800,65","30 635,39","2 272,42","6 294,33","6 139,88","1 926,01","4 236,90","19,00","0,00",NA,"1,00","2 111,00","329,00","403,00","620,00","643,00","60,00","56,00",NA,"0,00","0,00",NA,"34,00","0,00","0,00","1,00","0,00","108,00","0,00","0,00","0,00","0,00","498,00","6 509,32","45 365,05","98,00","13 650,60","38 855,72","31 714,45","0,00","10,67","343,20","286,77","14,44","29,18","0,00","31,88","37,31","47,19","424,13","52,00","22,00","19,00","Středočeský kraj","KRALUPY NAD VLTAVOU","Mělník",NA,"2,00",NA,NA,"1,00","1,00",NA,NA,NA,NA,NA,NA
"Velvary","49 147,40","1 810,00","47 398,70","4 000,00","297,18","12 102,30","12 405,13","6 550,83","5,00","0,00",NA,"1,00","3 031,00","656,00","463,00","864,00","839,00","111,00","98,00",NA,"0,00","0,00",NA,"70,00","0,00","0,00","1,00","0,00","112,00","0,00","0,00","0,00","0,00","473,00","10 550,83","70 651,84","67,00","9 402,15","60 101,01","61 249,70","0,00","29,99","1 464,59","151,06","28,06","26,80","0,00","22,18","34,62","52,70","1 554,07","78,00","41,00","27,00","Středočeský kraj","SLANÝ","Kladno","1,00","2,00","1,00",NA,"1,00","1,00","1,00","95,00",NA,NA,NA,NA
"Vémyslice","9 508,87","1 232,95","10 185,12","0,00","50,31","2 858,92","1 080,00","1 178,45","1,00","0,00",NA,"1,00","695,00","147,00","90,00","226,00","181,00","26,00","25,00",NA,"0,00","0,00","2,00","22,00","0,00","0,00","1,00","0,00","40,00","0,00","0,00","0,00","0,00","88,00","1 178,45","12 493,87","21,00","126,08","11 315,42","12 367,79","0,00","221,16","863,20","83,47","1,44","9,42","5,97","15,69","15,16","17,45","895,18","8,00","8,00","7,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vendolí","16 614,68","2 070,53","15 367,22","1 963,62","2 382,86","4 375,63","6 651,16","1 407,96","1,00","0,00",NA,"1,00","964,00","149,00","173,00","316,00","262,00","31,00","33,00",NA,"0,00","0,00",NA,"28,00","1,00","0,00","0,00","0,00","35,00","0,00","0,00","53,00","0,00","0,00","3 371,58","27 772,82","26,00","6 782,51","24 401,25","20 990,31","0,00","544,81","1 144,03","154,31","0,35","148,03","0,00","4,16","56,43","18,40","1 348,85","30,00","9,00","9,00","Pardubický kraj","SVITAVY","Svitavy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vendryně","44 281,72","2 095,44","58 573,96","0,00","5,00","12 331,60","6 480,17","4 706,44","12,00","0,00",NA,"3,00","4 473,00","793,00","776,00","1 344,00","1 266,00","162,00","132,00",NA,"0,00","0,00","1,00","77,00","0,00","0,00","2,00","0,00","154,00","0,00","0,00","0,00","0,00","407,00","4 706,44","69 765,57","107,00","13 152,26","65 059,13","56 613,31","0,00","890,83","442,72","104,90","43,53","394,52","0,00","41,08","134,16","43,70","1 014,93","89,00","40,00","37,00","Moravskoslezský kraj","TŘINEC","Frýdek-Místek",NA,"1,00","1,00","1,00","2,00",NA,NA,NA,NA,NA,NA,NA
