"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Senožaty","9 076,34","6 911,77","111,00","1 321,46","2 988,83","4 786,00","959,16","3,00","714,00","121,00","103,00","228,00","220,00","24,00","18,00","144,00","38,00","1 070,16","14 089,37","25,00","2 024,19","13 019,23","12 065,18","7,00","12,00","11,00","Vysočina","HUMPOLEC","Pelhřimov",NA,NA
"Sentice","4 402,29","4 544,28","160,00","30,00","1 126,72","615,11","377,71","2,00","575,00","91,00","103,00","178,00","163,00","19,00","21,00","129,00","27,00","537,71","5 727,10","23,00","198,09","5 189,39","5 529,01","8,00","4,00","6,00","Jihomoravský kraj","TIŠNOV","Brno-venkov",NA,NA
"Sepekov","15 284,72","11 877,06","1 211,93","3 477,00","5 318,81","4 517,11","1 555,33","4,00","1 342,00","258,00","172,00","416,00","373,00","65,00","58,00","317,00","59,00","2 767,26","22 638,43","25,00","2 034,90","19 871,17","20 603,53","20,00","25,00","8,00","Jihočeský kraj","MILEVSKO","Písek","1,00","27,00"
"Šerkovice","2 259,26","1 793,96","690,00","6,48","1 117,18","150,50","548,23","5,00","241,00","34,00","40,00","75,00","74,00","8,00","10,00","53,00","15,00","1 238,23","3 189,17","12,00","-187,27","1 950,94","3 376,44","7,00","3,00","4,00","Jihomoravský kraj","TIŠNOV","Brno-venkov",NA,NA
"Šestajovice","1 052,77","1 715,36","0,00","2,16","17,78","237,67","206,63","0,00","182,00","32,00","21,00","65,00","52,00","6,00","6,00","51,00","10,00","206,63","2 161,82","9,00","1 091,27","1 955,19","1 070,55","6,00","1,00","2,00","Královéhradecký kraj","JAROMĚŘ","Náchod",NA,NA
"Šestajovice","20 726,24","25 909,92","30 378,11","13 748,03","34 244,73","1 800,14","2 240,55","27,00","2 849,00","246,00","629,00","878,00","955,00","66,00","75,00","762,00","54,00","32 618,66","74 076,75","219,00","19 105,78","41 458,09","54 970,97","103,00","20,00","45,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ",NA,NA
"Šetějovice","1 355,53","818,45","0,00","0,00","166,20","868,61","383,05","0,00","66,00","21,00","9,00","17,00","15,00","3,00","1,00","7,00","1,00","383,05","2 070,11","2,00","548,38","1 687,06","1 521,73","0,00","1,00","0,00","Středočeský kraj","VLAŠIM","Benešov",NA,NA
"Ševětín","19 212,51","11 391,86","3 202,71","1 829,84","16 429,24","8 677,01","2 600,38","2,00","1 360,00","171,00","221,00","430,00","450,00","43,00","45,00","282,00","42,00","5 803,09","27 701,80","10,00","-7 939,95","21 898,71","35 641,75","27,00","11,00","15,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice",NA,NA
"Sezemice","44 432,72","33 000,89","11 055,34","2 984,55","15 353,45","10 946,82","6 603,51","20,00","3 589,00","496,00","600,00","1 162,00","1 114,00","105,00","112,00","876,00","122,00","17 658,85","64 591,07","137,00","4 805,00","46 932,26","59 786,08","113,00","27,00","31,00","Pardubický kraj","PARDUBICE","Pardubice","3,00","54,00"
"Sezemice","966,98","1 201,02","0,00","0,00","12,00","114,58","110,61","1,00","116,00","19,00","20,00","28,00","35,00","8,00","6,00","24,00","7,00","110,61","1 426,21","3,00","447,23","1 315,60","978,98","1,00","1,00","2,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav",NA,NA
"Sezimovo Ústí","97 730,58","64 328,63","26 914,08","6 121,45","24 852,20","26 567,63","15 474,02","11,00","7 329,00","1 794,00","967,00","2 025,00","1 963,00","305,00","275,00","1 720,00","287,00","42 388,10","139 405,81","198,00","16 823,01","97 017,71","122 582,80","185,00","75,00","61,00","Jihočeský kraj","TÁBOR","Tábor","1,00","10,00"
"Sibřina","6 470,49","5 055,26","14 372,43","15 408,52","28 047,70","917,49","1 256,51","12,00","672,00","66,00","137,00","212,00","210,00","19,00","28,00","181,00","15,00","15 628,94","37 010,21","67,00","2 492,02","21 381,27","34 518,19","43,00","4,00","10,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ",NA,NA
"Šilheřovice","20 788,77","12 122,82","0,00","3 264,98","1 820,08","4 990,88","1 749,21","2,00","1 603,00","237,00","255,00","519,00","498,00","48,00","46,00","286,00","84,00","1 749,21","22 127,89","45,00","-480,96","20 378,68","22 608,85","40,00","21,00","14,00","Moravskoslezský kraj","HLUČÍN","Opava",NA,NA
"Silůvky","4 914,74","6 169,55","11 905,54","7 111,30","19 968,85","1 535,86","754,98","6,00","758,00","141,00","104,00","250,00","214,00","26,00","23,00","158,00","20,00","12 660,52","27 477,23","29,00","2 593,64","14 816,71","24 883,59","132,00","3,00","5,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov",NA,NA
"Šimanov","1 639,66","1 554,15","111,00","0,00","490,19","518,07","194,23","3,00","188,00","36,00","29,00","53,00","54,00","8,00","8,00","32,00","15,00","305,23","2 377,45","11,00","247,60","2 072,22","2 129,85","3,00","6,00","3,00","Vysočina","JIHLAVA","Jihlava",NA,NA
"Šimonovice","5 366,13","5 395,85","42,30","385,03","1 687,85","1 260,00","404,19","23,00","779,00","65,00","157,00","258,00","259,00","21,00","19,00","200,00","30,00","446,49","7 487,37","74,00","433,39","7 040,88","7 053,98","17,00","1,00","10,00","Liberecký kraj","LIBEREC","Liberec",NA,NA
"Šindelová","4 394,54","4 197,79","0,00","391,68","0,00","346,52","160,54","0,00","277,00","50,00","29,00","99,00","76,00","13,00","10,00","68,00","17,00","160,54","5 096,53","17,00","701,99","4 935,99","4 394,54","9,00","4,00","4,00","Karlovarský kraj","KRASLICE","Sokolov",NA,NA
"Šípy","2 912,67","1 988,84","189,00","2,00","430,33","404,86","301,31","0,00","148,00","24,00","12,00","61,00","32,00","10,00","9,00","40,00","5,00","490,31","2 886,01","0,00","-456,99","2 395,70","3 343,00","6,00","1,00","2,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA
"Sirá","1 488,00","1 147,43","0,00","0,00","734,15","1 230,28","119,31","1,00","119,00","22,00","22,00","30,00","36,00","4,00","5,00","25,00","9,00","119,31","2 497,02","3,00","274,87","2 377,71","2 222,15","3,00","1,00","0,00","Plzeňský kraj","ROKYCANY","Rokycany",NA,NA
"Sirákov","2 013,96","2 063,09","0,00","92,50","503,14","549,07","209,80","2,00","253,00","38,00","55,00","79,00","65,00","8,00","8,00","35,00","8,00","209,80","2 914,46","2,00","397,36","2 704,66","2 517,10","1,00","4,00","4,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou",NA,NA
"Siřejovice","7 703,43","2 808,60","4 465,89","37,82","1 646,45","1 449,89","4 464,93","0,00","276,00","47,00","30,00","91,00","88,00","6,00","14,00","54,00","10,00","8 930,82","13 227,13","8,00","3 877,25","4 296,31","9 349,88","11,00","2,00","2,00","Ústecký kraj","LOVOSICE","Litoměřice",NA,NA
"Široká Niva","6 277,22","6 095,28","0,00","140,05","3 896,63","1 338,55","1 235,62","0,00","596,00","71,00","69,00","213,00","191,00","20,00","32,00","115,00","76,00","1 235,62","8 809,50","16,00","-1 364,35","7 573,88","10 173,85","10,00","7,00","5,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA,NA
"Široký Důl","2 532,86","2 965,89","4 896,64","29,36","6 993,45","1 316,68","298,75","2,00","395,00","53,00","62,00","128,00","125,00","15,00","12,00","58,00","20,00","5 195,39","9 507,30","13,00","-18,97","4 311,93","9 526,28","6,00","4,00","6,00","Pardubický kraj","POLIČKA","Svitavy",NA,NA
"Šišma","1 325,80","2 727,70","0,00","3,39","67,44","160,67","132,26","0,00","175,00","46,00","21,00","58,00","41,00","3,00","6,00","27,00","10,00","132,26","3 024,02","5,00","1 630,78","2 891,76","1 393,24","5,00","3,00","2,00","Olomoucký kraj","PŘEROV","Přerov",NA,NA
"Šitbořice","17 484,26","15 276,69","0,00","1 381,83","8 287,39","4 326,07","1 646,04","5,00","1 933,00","281,00","266,00","665,00","587,00","66,00","68,00","287,00","82,00","1 646,04","22 630,63","15,00","-3 141,02","20 984,59","25 771,65","27,00","11,00","24,00","Jihomoravský kraj","HUSTOPEČE","Břeclav",NA,NA
"Sivice","6 926,47","16 069,94","160,00","1 136,88","19 790,57","578,78","643,93","1,00","1 004,00","155,00","158,00","317,00","307,00","32,00","35,00","203,00","41,00","803,93","18 589,53","44,00","-8 127,51","17 785,60","26 717,04","20,00","9,00","9,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov",NA,NA
"Skalice","2 940,54","4 186,33","0,00","215,02","1 078,98","550,68","622,40","0,00","478,00","85,00","61,00","146,00","157,00","13,00","16,00","106,00","20,00","622,40","5 574,43","19,00","1 554,91","4 952,03","4 019,52","13,00","3,00","4,00","Jihočeský kraj","SOBĚSLAV","Tábor",NA,NA
"Skalice","4 456,25","4 674,82","1 800,00","43,81","4 491,90","855,62","851,57","1,00","552,00","129,00","86,00","157,00","153,00","15,00","12,00","92,00","35,00","2 651,57","8 225,82","11,00","-722,33","5 574,25","8 948,15","8,00","19,00","3,00","Jihomoravský kraj","MORAVSKÝ KRUMLOV","Znojmo",NA,NA
"Skalice","5 364,28","4 549,92","0,00","37,40","947,29","848,19","1 159,99","1,00","569,00","76,00","76,00","199,00","189,00","13,00","16,00","165,00","29,00","1 159,99","6 595,50","27,00","283,93","5 435,51","6 311,57","26,00","5,00","4,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové",NA,NA
"Skalice nad Svitavou","4 615,90","4 863,75","0,00","0,34","393,00","603,86","676,39","2,00","612,00","91,00","90,00","200,00","191,00","23,00","17,00","113,00","41,00","676,39","6 144,34","7,00","1 135,44","5 467,95","5 008,90","16,00","5,00","4,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA
"Skalice u České Lípy","18 276,38","11 700,87","8 029,21","2 648,53","5 402,26","3 101,10","4 698,98","8,00","1 424,00","134,00","226,00","502,00","447,00","59,00","56,00","344,00","108,00","12 728,19","30 178,69","55,00","6 500,05","17 450,50","23 678,64","44,00","11,00","14,00","Liberecký kraj","NOVÝ BOR","Česká Lípa",NA,NA
"Skalička","5 567,33","3 928,17","1 484,38","2 237,77","2 760,47","556,97","1 395,19","1,00","558,00","70,00","96,00","146,00","212,00","13,00","21,00","94,00","19,00","2 879,57","9 602,48","29,00","1 274,68","6 722,91","8 327,80","17,00","8,00","6,00","Olomoucký kraj","HRANICE","Přerov",NA,NA
"Skalička","1 081,32","858,38","0,00","50,24","220,89","68,33","322,31","2,00","112,00","22,00","19,00","34,00","32,00","3,00","2,00","31,00","8,00","322,31","1 299,26","7,00","-2,95","976,95","1 302,21","0,00","1,00","4,00","Jihomoravský kraj","TIŠNOV","Brno-venkov",NA,NA
"Skalka","2 583,29","1 860,58","1 115,50","0,00","24,00","661,21","2 194,17","0,00","246,00","42,00","27,00","85,00","72,00","10,00","10,00","47,00","15,00","3 309,67","5 831,46","7,00","3 224,17","2 521,79","2 607,29","1,00","1,00","2,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA,NA
"Skalka","1 982,28","1 494,50","0,00","0,00","191,45","840,41","4 144,88","0,00","174,00","35,00","22,00","58,00","46,00","3,00","10,00","30,00","20,00","4 144,88","6 479,79","11,00","4 306,06","2 334,91","2 173,73","2,00","2,00","1,00","Jihomoravský kraj","KYJOV","Hodonín",NA,NA
"Skalka u Doks","2 037,05","1 418,97","0,00","0,00","0,00","762,29","297,70","2,00","160,00","17,00","21,00","55,00","56,00","3,00","8,00","31,00","22,00","297,70","2 478,96","11,00","441,91","2 181,26","2 037,05","2,00","1,00","1,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa",NA,NA
"Skalná","21 919,99","16 235,38","16 931,27","1 275,21","36 151,66","5 310,83","3 251,15","4,00","1 950,00","249,00","334,00","605,00","608,00","82,00","72,00","361,00","110,00","20 182,42","43 003,84","53,00","-15 067,81","22 821,42","58 071,65","48,00","19,00","22,00","Karlovarský kraj","CHEB","Cheb",NA,NA
"Skalsko","3 797,88","3 597,24","0,00","136,02","231,39","922,71","488,55","1,00","381,00","49,00","56,00","120,00","133,00","13,00","10,00","72,00","12,00","488,55","5 144,52","22,00","1 115,25","4 655,97","4 029,27","14,00","3,00","3,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA
"Skály","6 251,36","2 947,28","0,00","0,00","193,64","262,92","3 203,47","1,00","285,00","54,00","34,00","86,00","81,00","10,00","20,00","56,00","12,00","3 203,47","6 413,67","19,00","-31,33","3 210,20","6 445,00","3,00","4,00","3,00","Jihočeský kraj","PÍSEK","Písek",NA,NA
"Skály","5 562,38","715,97","0,00","0,00","114,46","155,34","5 055,06","0,00","68,00","11,00","8,00","22,00","20,00","4,00","3,00","15,00","2,00","5 055,06","5 926,37","0,00","249,53","871,31","5 676,84","0,00","1,00","0,00","Jihočeský kraj","STRAKONICE","Strakonice",NA,NA
"Skapce","1 671,69","1 254,14","1 336,91","1 240,62","2 590,42","484,30","801,55","0,00","107,00","15,00","14,00","35,00","32,00","7,00","4,00","12,00","16,00","2 138,46","5 117,52","3,00","855,41","2 979,06","4 262,11","3,00","0,00","0,00","Plzeňský kraj","STŘÍBRO","Tachov",NA,NA
"Skašov","1 852,54","2 109,15","200,00","200,00","491,17","160,92","416,38","0,00","244,00","44,00","36,00","81,00","68,00","10,00","5,00","44,00","16,00","616,38","3 086,45","7,00","742,74","2 470,07","2 343,71","3,00","2,00","3,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih",NA,NA
"Skaštice","4 056,94","3 735,08","0,00","29,45","1 425,45","414,71","497,48","3,00","375,00","48,00","51,00","134,00","121,00","10,00","11,00","84,00","35,00","497,48","4 676,72","9,00","-805,67","4 179,24","5 482,39","19,00","3,00","4,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA,NA
"Sklené","1 524,31","2 221,15","0,00","0,00","177,87","216,90","112,74","0,00","236,00","32,00","37,00","85,00","69,00","7,00","6,00","41,00","32,00","112,74","2 550,77","13,00","848,61","2 438,05","1 702,15","13,00","0,00","4,00","Pardubický kraj","SVITAVY","Svitavy",NA,NA
"Sklené","950,76","1 188,91","111,00","0,00","198,00","300,39","101,61","1,00","111,00","11,00","18,00","39,00","40,00","0,00","3,00","25,00","2,00","212,61","1 701,91","3,00","553,15","1 489,30","1 148,76","0,00","0,00","2,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou",NA,NA
"Sklené nad Oslavou","1 706,16","1 893,32","111,00","0,28","348,50","142,31","158,91","0,00","237,00","32,00","36,00","78,00","74,00","7,00","10,00","43,00","7,00","269,91","2 305,82","3,00","251,16","2 035,91","2 054,66","1,00","3,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA
"Skočice","2 559,61","2 197,03","359,43","0,00","844,88","292,58","476,32","1,00","224,00","34,00","33,00","77,00","69,00","6,00","5,00","47,00","15,00","835,75","3 325,36","4,00","-79,13","2 489,61","3 404,49","6,00","2,00","3,00","Jihočeský kraj","VODŇANY","Strakonice",NA,NA
"Skomelno","1 410,58","1 322,16","300,00","0,00","584,10","438,98","269,72","0,00","195,00","34,00","25,00","58,00","55,00","12,00","11,00","46,00","5,00","569,72","2 330,86","19,00","336,18","1 761,14","1 994,68","2,00","5,00","1,00","Plzeňský kraj","ROKYCANY","Rokycany",NA,NA
"Skopytce","1 919,84","1 560,87","0,00","0,00","200,79","267,49","343,50","0,00","147,00","36,00","14,00","45,00","40,00","8,00","4,00","34,00","11,00","343,50","2 171,86","3,00","51,23","1 828,36","2 120,63","2,00","1,00","1,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA
"Skořenice","3 805,58","3 801,96","0,00","15,78","435,10","308,74","300,43","0,00","419,00","61,00","62,00","145,00","121,00","12,00","18,00","88,00","23,00","300,43","4 426,92","11,00","186,26","4 126,48","4 240,65","30,00","2,00","7,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí",NA,NA
"Skořice","1 866,61","1 710,15","0,00","19,88","48,07","524,50","120,48","1,00","250,00","42,00","32,00","85,00","71,00","8,00","12,00","27,00","12,00","120,48","2 375,01","7,00","460,33","2 254,53","1 914,68","1,00","2,00","3,00","Plzeňský kraj","ROKYCANY","Rokycany",NA,NA
"Skorkov","1 353,20","809,31","0,00","29,58","96,00","871,27","217,25","1,00","74,00","17,00","8,00","22,00","21,00","1,00","5,00","11,00","5,00","217,25","1 927,41","1,00","478,21","1 710,16","1 449,20","2,00","0,00","0,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA
"Skorkov","4 332,65","5 299,15","0,00","3,16","1 222,93","583,42","190,66","4,00","515,00","83,00","92,00","147,00","159,00","18,00","16,00","103,00","17,00","190,66","6 076,39","30,00","520,81","5 885,73","5 555,58","12,00","2,00","8,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA
"Skoronice","4 025,43","4 033,19","640,00","17,00","3 074,13","201,99","595,25","0,00","526,00","85,00","82,00","153,00","179,00","15,00","12,00","94,00","47,00","1 235,25","5 487,43","6,00","-1 612,13","4 252,18","7 099,56","5,00","7,00","3,00","Jihomoravský kraj","KYJOV","Hodonín",NA,NA
"Skorošice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Olomoucký kraj","JESENÍK","Jeseník",NA,NA
"Skorotice","1 982,52","1 322,63","0,00","2,23","813,89","1 030,26","537,16","0,00","139,00","32,00","19,00","43,00","39,00","5,00","1,00","25,00","18,00","537,16","2 892,28","9,00","95,87","2 355,12","2 796,41","6,00","4,00","2,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA,NA
"Skotnice","6 134,74","5 597,47","238,00","14,34","1 680,63","549,08","421,54","0,00","714,00","101,00","106,00","237,00","211,00","30,00","29,00","163,00","40,00","659,54","6 820,43","26,00","-994,94","6 160,89","7 815,37","20,00","5,00","11,00","Moravskoslezský kraj","KOPŘIVNICE","Nový Jičín",NA,NA
"Skrbeň","6 895,47","8 673,15","28 827,03","0,00","34 029,62","809,15","532,00","2,00","1 180,00","163,00","192,00","394,00","369,00","33,00","29,00","226,00","70,00","29 359,03","38 841,33","24,00","-2 083,76","9 482,30","40 925,09","24,00","7,00","14,00","Olomoucký kraj","OLOMOUC","Olomouc",NA,NA
"Skrchov","850,38","969,07","0,00","0,00","201,13","23,00","171,73","0,00","101,00","14,00","22,00","34,00","27,00","4,00","0,00","20,00","5,00","171,73","1 163,80","0,00","112,29","992,07","1 051,51","3,00","0,00","1,00","Jihomoravský kraj","BOSKOVICE","Blansko",NA,NA
"Škrdlovice","5 813,66","7 097,50","111,00","539,45","4 171,49","2 155,64","328,49","2,00","618,00","117,00","80,00","188,00","190,00","25,00","18,00","228,00","32,00","439,49","10 232,08","19,00","246,93","9 792,59","9 985,15","7,00","11,00","5,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou","1,00","27,00"
"Skřinářov","1 522,12","1 506,32","0,00","0,00","0,00","89,23","212,55","0,00","141,00","30,00","17,00","43,00","41,00","5,00","5,00","18,00","13,00","212,55","1 808,10","4,00","285,98","1 595,55","1 522,12","0,00","3,00","1,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA
"Skřipel","1 247,87","1 023,82","0,00","0,00","369,42","14,16","108,72","0,00","113,00","23,00","10,00","36,00","36,00","5,00","3,00","18,00","4,00","108,72","1 146,70","8,00","-470,59","1 037,98","1 617,29","3,00","1,00","2,00","Středočeský kraj","HOŘOVICE","Beroun",NA,NA
"Skřípov","4 256,38","3 422,57","0,00","115,50","1 459,66","1 442,86","829,47","0,00","357,00","50,00","50,00","125,00","104,00","12,00","16,00","45,00","43,00","829,47","5 810,39","13,00","94,34","4 980,93","5 716,05","2,00","9,00","3,00","Olomoucký kraj","KONICE","Prostějov",NA,NA
"Skřipov","9 051,79","8 031,37","0,00","197,50","1 480,83","1 098,39","702,45","1,00","1 015,00","139,00","158,00","343,00","323,00","25,00","27,00","202,00","65,00","702,45","10 029,71","15,00","-502,91","9 327,26","10 532,62","20,00","9,00","12,00","Moravskoslezský kraj","OPAVA","Opava",NA,NA
"Skřivany","11 785,15","8 761,20","212,89","442,87","540,04","2 104,47","2 001,22","5,00","1 054,00","136,00","180,00","306,00","363,00","42,00","27,00","194,00","60,00","2 214,11","13 522,65","36,00","1 197,46","11 308,54","12 325,19","31,00","11,00","9,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové",NA,NA
"Skršín","3 277,92","2 070,64","0,00","13,86","157,35","451,09","374,04","3,00","223,00","33,00","25,00","78,00","64,00","13,00","10,00","56,00","14,00","374,04","2 909,63","9,00","-525,64","2 535,59","3 435,27","9,00","1,00","2,00","Ústecký kraj","MOST","Most",NA,NA
"Skrýchov u Malšic","1 023,71","1 321,06","200,00","4,00","504,00","96,53","130,31","0,00","129,00","17,00","22,00","41,00","31,00","8,00","10,00","35,00","3,00","330,31","1 751,90","0,00","224,19","1 421,59","1 527,71","1,00","1,00","1,00","Jihočeský kraj","TÁBOR","Tábor",NA,NA
"Skryje","1 479,90","1 801,51","759,74","6,30","484,20","338,41","401,76","0,00","179,00","32,00","24,00","58,00","57,00","1,00","7,00","22,00","8,00","1 161,50","3 307,72","2,00","1 343,62","2 146,22","1 964,10","4,00","0,00","0,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA
"Skryje","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA,NA
"Skryje","2 041,46","1 838,35","0,00","7,65","678,50","369,99","330,69","0,00","136,00","23,00","21,00","26,00","54,00","6,00","6,00","36,00","5,00","330,69","2 546,68","7,00","-173,28","2 215,99","2 719,96","9,00","0,00","1,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA
"Skuhrov","3 374,77","2 392,67","0,00","0,00","1 825,49","1 026,24","980,93","2,00","254,00","41,00","37,00","85,00","82,00","6,00","3,00","53,00","9,00","980,93","4 399,84","9,00","-800,42","3 418,91","5 200,26","2,00","5,00","3,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA,NA
"Skuhrov","4 402,17","3 564,83","0,00","386,40","0,00","774,73","279,37","2,00","531,00","83,00","69,00","151,00","178,00","22,00","28,00","138,00","24,00","279,37","5 005,33","11,00","603,16","4 725,96","4 402,17","11,00","4,00","6,00","Liberecký kraj","ŽELEZNÝ BROD","Jablonec n.Nisou",NA,NA
"Skuhrov","3 386,33","3 694,80","0,00","125,00","510,91","447,15","141,96","0,00","428,00","61,00","73,00","134,00","124,00","12,00","24,00","89,00","20,00","141,96","4 408,91","9,00","511,67","4 266,95","3 897,24","10,00","3,00","4,00","Středočeský kraj","BEROUN","Beroun",NA,NA
"Skuhrov nad Bělou","10 451,21","8 906,24","754,50","33,96","821,28","1 206,06","2 480,57","2,00","1 075,00","166,00","172,00","331,00","330,00","33,00","43,00","223,00","34,00","3 235,07","13 381,33","24,00","2 108,84","10 146,26","11 272,49","33,00","9,00","11,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou",NA,NA
"Skuteč","67 493,62","43 679,21","49 309,36","5 117,78","67 818,16","20 762,44","16 728,29","5,00","5 254,00","836,00","792,00","1 679,00","1 581,00","194,00","172,00","1 025,00","305,00","66 037,65","135 597,01","66,00","285,26","69 559,43","135 311,73","94,00","76,00","58,00","Pardubický kraj","CHRUDIM","Chrudim",NA,NA
"Škvorec","10 219,63","10 270,41","0,00","15,40","1 639,21","1 244,55","1 047,44","29,00","1 317,00","184,00","276,00","396,00","377,00","38,00","46,00","336,00","23,00","1 047,44","12 577,80","121,00","718,96","11 530,36","11 858,84","31,00","18,00","24,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ",NA,NA
"Škvořetice","2 608,63","2 999,19","160,00","234,08","702,03","343,80","236,93","0,00","339,00","57,00","46,00","119,00","91,00","12,00","14,00","76,00","15,00","396,93","3 974,00","4,00","663,34","3 577,07","3 310,66","11,00","2,00","7,00","Jihočeský kraj","BLATNÁ","Strakonice",NA,NA
"Skvrňov","1 746,75","1 655,17","0,00","0,00","168,59","177,23","116,80","3,00","166,00","36,00","20,00","49,00","44,00","9,00","8,00","37,00","8,00","116,80","1 949,20","6,00","33,86","1 832,40","1 915,34","1,00","3,00","3,00","Středočeský kraj","KOLÍN","Kolín",NA,NA
"Slabce","12 802,01","7 160,60","300,00","335,13","647,90","709,26","3 781,29","1,00","757,00","110,00","112,00","236,00","237,00","28,00","34,00","207,00","43,00","4 081,29","12 286,28","40,00","-1 163,63","8 204,99","13 449,91","15,00","4,00","4,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA,NA
"Slabčice","5 089,40","3 617,89","1 244,82","343,72","2 074,67","1 478,92","577,31","0,00","303,00","58,00","37,00","103,00","84,00","8,00","13,00","76,00","13,00","1 822,13","7 262,66","7,00","98,59","5 440,53","7 164,07","3,00","3,00","2,00","Jihočeský kraj","PÍSEK","Písek",NA,NA
"Slaná","6 221,48","5 331,81","50,00","16,63","276,57","944,80","665,70","1,00","703,00","106,00","123,00","220,00","204,00","30,00","20,00","157,00","34,00","715,70","7 008,94","16,00","510,89","6 293,24","6 498,05","8,00","7,00","13,00","Liberecký kraj","SEMILY","Semily",NA,NA
"Slaník","1 420,76","1 208,65","1 192,33","114,19","888,04","102,71","353,29","0,00","159,00","21,00","32,00","46,00","53,00","2,00","5,00","19,00","6,00","1 545,62","2 971,17","6,00","662,37","1 425,55","2 308,80","1,00","1,00","2,00","Jihočeský kraj","STRAKONICE","Strakonice",NA,NA
"Slaný","296 934,18","160 201,48","17 025,81","9 067,15","109 078,00","14 685,98","169 820,03","45,00","15 086,00","2 461,00","2 099,00","4 772,00","4 677,00","581,00","496,00","3 331,00","752,00","186 845,84","370 800,45","444,00","-35 211,73","183 954,61","406 012,18","448,00","159,00","158,00","Středočeský kraj","SLANÝ","Kladno","2,00","103,00"
"Šlapanice","1 440,72","2 220,29","0,00","182,32","552,26","268,94","97,92","1,00","216,00","29,00","37,00","57,00","75,00","8,00","10,00","29,00","10,00","97,92","2 769,47","10,00","776,49","2 671,55","1 992,98","5,00","2,00","5,00","Středočeský kraj","SLANÝ","Kladno",NA,NA
"Šlapanice","254 861,24","69 264,00","30 008,36","533,45","53 809,60","15 292,42","200 082,07","45,00","7 021,00","1 219,00","1 054,00","2 146,00","2 115,00","248,00","239,00","1 680,00","225,00","230 090,43","315 180,30","270,00","6 509,46","85 089,87","308 670,84","265,00","59,00","82,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov","1,00","35,00"
