"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres","Domy s pečovatelskou službou","Domy s pečovatelskou službou - počet bytů"
"Příluka","1 447,40","1 441,72","0,00","0,00","0,00","817,97","158,80","0,00","169,00","21,00","27,00","57,00","49,00","7,00","8,00","31,00","3,00","158,80","2 418,51","3,00","971,14","2 259,69","1 447,37","2,00","2,00","3,00","Pardubický kraj","LITOMYŠL","Svitavy",NA,NA
"Přimda","18 551,54","14 301,13","0,00","2 343,02","1 491,98","5 751,39","2 640,16","1,00","1 571,00","168,00","292,00","566,00","462,00","44,00","39,00","538,00","138,00","2 640,16","25 035,70","129,00","4 992,18","22 395,54","20 043,52","99,00","10,00","22,00","Plzeňský kraj","TACHOV","Tachov",NA,NA
"Přísečná","1 663,47","3 593,44","0,00","0,00","388,59","276,90","167,34","0,00","197,00","34,00","24,00","64,00","63,00","4,00","8,00","70,00","7,00","167,34","4 037,68","8,00","1 985,62","3 870,34","2 052,06","11,00","2,00","1,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov",NA,NA
"Příseka","2 537,18","2 690,92","111,00","0,00","463,29","378,92","163,15","2,00","389,00","53,00","47,00","138,00","127,00","12,00","12,00","70,00","27,00","274,15","3 343,99","7,00","343,52","3 069,84","3 000,47","6,00","1,00","7,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod",NA,NA
"Přišimasy","4 259,03","5 777,46","0,00","21,38","1 679,94","438,56","256,29","8,00","698,00","69,00","154,00","216,00","216,00","21,00","22,00","158,00","36,00","256,29","6 493,69","46,00","554,72","6 237,40","5 938,97","22,00","8,00","8,00","Středočeský kraj","ČESKÝ BROD","Kolín",NA,NA
"Přísnotice","4 692,79","6 431,09","0,00","7,04","1 855,75","647,31","690,66","0,00","810,00","125,00","117,00","256,00","243,00","38,00","31,00","144,00","23,00","690,66","7 776,10","26,00","1 227,56","7 085,44","6 548,54","15,00","5,00","6,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov",NA,NA
"Příšov","7 074,39","3 357,78","0,00","0,54","378,48","480,26","119,72","1,00","292,00","45,00","48,00","96,00","85,00","11,00","7,00","72,00","11,00","119,72","3 958,30","10,00","-3 494,57","3 838,58","7 452,87","8,00","3,00","3,00","Plzeňský kraj","NÝŘANY","Plzeň-sever",NA,NA
"Příšovice","16 040,04","10 418,87","727,52","5 736,99","8 262,49","4 458,02","2 348,07","2,00","1 342,00","160,00","197,00","447,00","429,00","58,00","51,00","268,00","76,00","3 075,59","23 689,47","45,00","-613,06","20 613,88","24 302,53","36,00","5,00","22,00","Liberecký kraj","TURNOV","Liberec","1,00","26,00"
"Přistoupim","3 468,35","3 312,54","0,00","1 270,00","366,01","133,26","284,06","2,00","437,00","68,00","77,00","129,00","131,00","16,00","16,00","97,00","18,00","284,06","4 999,85","10,00","1 165,49","4 715,80","3 834,36","7,00","4,00","5,00","Středočeský kraj","ČESKÝ BROD","Kolín",NA,NA
"Příštpo","1 631,38","2 840,81","8 869,36","2,20","6 554,06","191,95","294,30","0,00","279,00","54,00","29,00","97,00","83,00","7,00","9,00","41,00","39,00","9 163,66","12 198,62","5,00","4 013,18","3 034,96","8 185,44","4,00","3,00","2,00","Vysočina","TŘEBÍČ","Třebíč",NA,NA
"Přítluky","10 432,57","6 679,33","1 987,68","916,94","3 127,80","2 915,58","965,35","1,00","744,00","110,00","101,00","246,00","209,00","40,00","38,00","135,00","95,00","2 953,03","13 464,88","13,00","-95,49","10 511,85","13 560,37","17,00","8,00","6,00","Jihomoravský kraj","BŘECLAV","Břeclav",NA,NA
"Přívětice","1 844,45","2 545,65","0,00","0,00","216,52","280,03","120,40","1,00","193,00","41,00","20,00","66,00","46,00","11,00","9,00","42,00","13,00","120,40","2 946,08","4,00","885,11","2 825,68","2 060,97","1,00","2,00","1,00","Plzeňský kraj","ROKYCANY","Rokycany",NA,NA
"Přívrat","3 145,31","2 655,30","120,00","1,89","456,41","556,59","365,73","1,00","341,00","42,00","54,00","123,00","102,00","14,00","6,00","53,00","27,00","485,73","3 699,50","14,00","97,80","3 213,78","3 601,71","7,00","2,00","2,00","Pardubický kraj","ČESKÁ TŘEBOVÁ","Ústí nad Orlicí",NA,NA
"Prlov","6 298,86","4 870,83","515,00","40,00","1 949,51","1 283,59","1 255,84","2,00","541,00","79,00","65,00","203,00","168,00","17,00","9,00","108,00","47,00","1 770,84","7 965,26","5,00","-283,11","6 194,42","8 248,37","7,00","5,00","4,00","Zlínský kraj","VSETÍN","Vsetín",NA,NA
"Proboštov","25 533,75","21 984,92","182,00","2 186,08","5 458,85","3 768,78","3 953,17","13,00","2 606,00","335,00","390,00","862,00","826,00","101,00","92,00","639,00","162,00","4 135,17","32 074,95","91,00","1 082,35","27 939,78","30 992,60","86,00","20,00","22,00","Ústecký kraj","TEPLICE","Teplice",NA,NA
"Probulov","1 020,67","760,68","0,00","89,71","30,00","166,38","132,45","0,00","52,00","17,00","3,00","14,00","9,00","3,00","6,00","18,00","3,00","132,45","1 149,22","7,00","98,55","1 016,77","1 050,67","1,00","1,00","0,00","Jihočeský kraj","PÍSEK","Písek",NA,NA
"Prodašice","841,11","831,67","0,00","0,00","94,25","65,47","79,82","1,00","94,00","12,00","21,00","24,00","26,00","3,00","8,00","20,00","5,00","79,82","976,96","4,00","41,60","897,14","935,36","0,00","0,00","2,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA,NA
"Prokopov","1 143,72","940,45","2 327,42","200,00","3 236,94","223,07","301,42","1,00","110,00","19,00","13,00","37,00","35,00","0,00","6,00","14,00","5,00","2 628,84","3 992,36","0,00","-388,30","1 363,52","4 380,66","1,00","1,00","1,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA,NA
"Proruby","1 238,41","560,21","70,00","0,00","0,00","952,66","122,85","0,00","55,00","12,00","2,00","14,00","19,00","2,00","6,00","12,00","3,00","192,85","1 705,72","5,00","467,31","1 512,87","1 238,41","0,00","0,00","1,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou",NA,NA
