"obce","Počet obyvatel dle Sčítání lidu 1991","kraj","orp","okres"
"Bořenovice","167,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Bořetice","1 272,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Bořetice","85,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořetín","97,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Bořetín","127,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Bořice","182,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bořislav","308,00","Ústecký kraj","TEPLICE","Teplice"
"Bořitov","1 211,00","Jihomoravský kraj","BLANSKO","Blansko"
"Borkovany","804,00","Jihomoravský kraj","HUSTOPEČE","Břeclav"
"Borkovice","258,00","Jihočeský kraj","SOBĚSLAV","Tábor"
"Borohrádek","2 193,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borotice","323,00","Středočeský kraj","DOBŘÍŠ","Příbram"
"Borotice","363,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Borotín","545,00","Jihočeský kraj","TÁBOR","Tábor"
"Borotín","555,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Borová","226,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Borová","900,00","Pardubický kraj","POLIČKA","Svitavy"
"Borová Lada","278,00","Jihočeský kraj","VIMPERK","Prachatice"
"Borovany","237,00","Jihočeský kraj","MILEVSKO","Písek"
"Borovany","3 312,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice"
"Borovná","99,00","Vysočina","TELČ","Jihlava"
"Borovnice","225,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou"
"Borovnice","116,00","Středočeský kraj","VLAŠIM","Benešov"
"Borovnice","415,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Borovnice","439,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovnice","86,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borovnička","224,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Borovník","79,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Borovno","114,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Borovy","260,00","Plzeňský kraj","PŘEŠTICE","Klatovy"
"Boršice","2 229,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršice u Blatnice","892,00","Zlínský kraj","UHERSKÉ HRADIŠTĚ","Uherské Hradiště"
"Boršov","110,00","Vysočina","JIHLAVA","Jihlava"
"Boršov nad Vltavou","894,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Borušov","160,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Bory","708,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Boseň","358,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav"
"Bošice","284,00","Jihočeský kraj","VIMPERK","Prachatice"
"Bošilec","217,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Bošín","80,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Boskovice","11 290,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Boskovštejn","156,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bošovice","1 067,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov"
"Boudy","207,00","Jihočeský kraj","PÍSEK","Písek"
"Bousín","169,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Bousov","221,00","Pardubický kraj","CHRUDIM","Chrudim"
"Bouzov","1 474,00","Olomoucký kraj","LITOVEL","Olomouc"
"Božanov","309,00","Královéhradecký kraj","BROUMOV","Náchod"
"Božejov","652,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Božetice","395,00","Jihočeský kraj","MILEVSKO","Písek"
"Boží Dar","111,00","Karlovarský kraj","OSTROV","Karlovy Vary"
"Božičany","569,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Božice","1 306,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Bozkov","566,00","Liberecký kraj","SEMILY","Semily"
"Brada-Rybníček","56,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bradáčov","94,00","Jihočeský kraj","TÁBOR","Tábor"
"Bradlec","215,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Bradlecká Lhota","222,00","Liberecký kraj","SEMILY","Semily"
"Brambory","108,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Braňany","1 143,00","Ústecký kraj","MOST","Most"
"Brandov","237,00","Ústecký kraj","LITVÍNOV","Most"
"Brandýs nad Labem-Stará Boleslav","15 644,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Brandýs nad Orlicí","1 494,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Brandýsek","1 531,00","Středočeský kraj","KLADNO","Kladno"
"Branice","323,00","Jihočeský kraj","MILEVSKO","Písek"
"Braníškov","176,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Branišov","152,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Branka u Opavy","796,00","Moravskoslezský kraj","OPAVA","Opava"
"Brankovice","927,00","Jihomoravský kraj","BUČOVICE","Vyškov"
"Branky","803,00","Zlínský kraj","VALAŠSKÉ MEZIŘÍČÍ","Vsetín"
"Branná","399,00","Olomoucký kraj","ŠUMPERK","Šumperk"
"Branov","256,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Bransouze","296,00","Vysočina","TŘEBÍČ","Třebíč"
"Brantice","1 110,00","Moravskoslezský kraj","KRNOV","Bruntál"
