"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Vracov","34 599,81","38 303,54","6 852,40","205,84","12 230,43","4 275,89","4 259,26","1 544,00","892,00","9,00","1 565,00","2 208,00","1 345,00","4 560,00","17,00","4 484,00","697,00","0,00","2,00","0,00","4,00","1,00","369,00","36,00","1 448,00","992,00","744,00","657,00","1 426,00","1 485,00","148,00","147,00","110,00","145,00","660,00","655,00","74,00","821,00","156,00","962,00","1 320,00","310,00","1 928,00","11 111,66","53 896,91","59,00","7 066,68","42 785,27","46 830,23","65,00","37,00","43,00","Jihomoravský kraj","KYJOV","Hodonín"
"Vracovice","2 235,21","1 918,33","200,00","0,00","275,12","303,66","429,12","64,00","29,00","1,00","69,00","93,00","58,00","201,00","2,00","200,00","19,00","0,00","0,00","0,00","1,00","0,00","4,00","2,00","82,00","32,00","29,00","37,00","72,00","58,00","7,00","8,00","12,00",NA,"34,00","8,00","13,00","34,00","7,00","30,00","56,00","21,00","74,00","629,12","2 851,10","3,00","340,80","2 221,99","2 510,30","1,00","0,00","4,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vracovice","2 438,41","2 884,63","45,49","0,14","196,75","634,61","73,90","123,00","62,00","2,00","139,00","177,00","105,00","363,00","1,00","356,00","58,00","0,00","0,00","0,00","0,00","0,00","11,00","0,00","121,00","88,00","69,00","45,00","111,00","129,00","9,00","11,00","6,00",NA,"71,00","45,00","18,00","64,00","14,00","65,00","105,00","12,00","162,00","119,39","3 638,75","3,00","1 003,63","3 519,38","2 635,13","3,00","4,00","0,00","Středočeský kraj","VLAŠIM","Benešov"
"Vračovice-Orlov","1 851,32","1 604,24","0,00","0,00","0,00","272,01","181,19","57,00","31,00","0,00","61,00","91,00","47,00","181,00","0,00","182,00","27,00","0,00","0,00","0,00","0,00","0,00","9,00","1,00","64,00","46,00","28,00","30,00","48,00","64,00","6,00","6,00","3,00","22,00","32,00","26,00","7,00","33,00","9,00","49,00","47,00","6,00","83,00","181,19","2 057,45","3,00","206,15","1 876,25","1 851,29","12,00","1,00","1,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Vraňany","6 370,36","7 136,34","4 337,53","7,09","6 293,56","372,05","639,19","286,00","147,00","1,00","308,00","417,00","256,00","899,00","12,00","853,00","123,00","3,00","0,00","0,00","5,00","3,00","45,00","11,00","290,00","157,00","162,00","149,00","269,00","291,00","35,00","32,00","29,00","51,00","123,00","84,00","4,00","184,00","25,00","167,00","253,00","70,00","346,00","4 976,72","12 492,19","35,00","-171,73","7 515,48","12 663,92","29,00","12,00","14,00","Středočeský kraj","MĚLNÍK","Mělník"
"Vrančice","948,13","1 568,45","0,00","0,00","66,37","238,59","172,58","47,00","29,00","0,00","69,00","68,00","42,00","153,00","0,00","138,00","21,00","0,00","0,00","0,00","0,00","0,00","14,00","0,00","49,00","37,00","22,00","17,00","52,00","54,00","3,00","6,00","2,00","1,00","32,00","18,00","5,00","28,00","5,00","34,00","42,00","9,00","59,00","172,58","1 979,60","0,00","965,14","1 807,04","1 014,45","0,00","2,00","0,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vrané nad Vltavou","21 980,11","20 557,66","4 442,40","1 038,29","6 060,99","3 401,26","2 797,15","873,00","519,00","10,00","651,00","1 281,00","567,00","2 361,00","9,00","2 462,00","341,00","1,00","1,00","0,00","18,00","0,00","338,00","16,00","594,00","598,00","309,00","432,00","717,00","713,00","71,00","87,00","93,00","77,00","574,00","189,00","14,00","760,00","117,00","714,00","530,00","51,00","1 204,00","7 239,55","32 236,74","88,00","4 195,72","24 997,21","28 041,02","69,00","19,00","31,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Vranov","1 281,50","1 323,20","0,00","41,07","240,13","81,07","60,85","51,00","26,00","2,00","58,00","77,00","46,00","155,00","0,00","153,00","22,00","0,00","0,00","0,00","0,00","0,00","3,00","2,00","59,00","24,00","35,00","16,00","46,00","61,00","3,00","7,00","12,00",NA,"30,00","25,00","0,00","25,00","7,00","39,00","44,00","11,00","62,00","60,85","1 506,18","7,00","-15,43","1 445,34","1 521,61","3,00","5,00","0,00","Plzeňský kraj","STŘÍBRO","Tachov"
"Vranov","5 792,64","6 144,36","404,94","432,35","5 896,20","567,75","618,17","256,00","152,00","10,00","272,00","371,00","225,00","710,00","1,00","755,00","117,00","0,00","2,00","0,00","4,00","0,00","131,00","1,00","167,00","183,00","102,00","106,00","214,00","230,00","19,00","24,00","22,00","27,00","164,00","60,00","4,00","217,00","29,00","202,00","222,00","24,00","338,00","1 023,11","8 167,54","28,00","-3 521,26","7 144,46","11 688,80","17,00","9,00","6,00","Jihomoravský kraj","ŠLAPANICE","Brno-venkov"
"Vranov nad Dyjí","16 617,84","8 057,74","987,58","748,70","9 261,26","1 978,00","7 523,11","297,00","143,00","0,00","304,00","395,00","200,00","860,00","4,00","819,00","140,00","0,00","0,00","0,00","0,00","0,00","61,00","8,00","271,00","185,00","133,00","103,00","259,00","287,00","35,00","36,00","31,00","68,00","80,00","68,00","13,00","177,00","29,00","267,00","174,00","85,00","333,00","8 510,69","19 295,15","20,00","-6 583,94","10 784,44","25 879,09","20,00","7,00","5,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vranová","3 269,61","3 617,83","13 017,20","4,14","421,18","128,02","330,39","107,00","64,00","3,00","153,00","165,00","102,00","325,00","0,00","347,00","55,00","0,00","0,00","0,00","0,00","0,00","40,00","3,00","93,00","95,00","44,00","42,00","96,00","109,00","10,00","13,00","10,00","3,00","101,00","41,00","5,00","80,00","19,00","59,00","102,00","11,00","151,00","13 347,59","17 097,58","12,00","13 406,85","3 749,99","3 690,74","11,00","6,00","1,00","Jihomoravský kraj","BOSKOVICE","Blansko"
"Vranová Lhota","4 429,78","3 784,47","0,00","10,00","134,09","219,37","622,13","169,00","76,00","1,00","170,00","241,00","115,00","449,00","4,00","449,00","54,00","0,00","0,00","2,00","0,00","0,00","17,00","2,00","171,00","71,00","101,00","53,00","156,00","150,00","17,00","19,00","14,00","48,00","43,00","115,00","6,00","39,00","10,00","75,00","112,00","56,00","192,00","622,13","4 635,96","6,00","72,17","4 013,84","4 563,79","15,00","4,00","4,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Vranovice","2 188,14","2 083,96","0,00","18,60","261,40","232,43","96,82","103,00","59,00","1,00","114,00","141,00","80,00","298,00","0,00","287,00","34,00","1,00","0,00","0,00","0,00","0,00","13,00","5,00","92,00","70,00","44,00","57,00","97,00","96,00","9,00","5,00","8,00","2,00","71,00","33,00","10,00","54,00","18,00","66,00","76,00","17,00","123,00","96,82","2 431,81","4,00","-17,70","2 334,99","2 449,51","11,00","2,00","2,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vranovice","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Jihomoravský kraj","POHOŘELICE","Brno-venkov"
"Vranovice-Kelčice","5 221,95","4 990,95","2 200,00","41,07","4 831,56","537,23","599,34","216,00","112,00","3,00","209,00","275,00","178,00","630,00","2,00","596,00","100,00","0,00","0,00","0,00","3,00","0,00","51,00","2,00","219,00","107,00","99,00","89,00","195,00","204,00","21,00","21,00","17,00","14,00","96,00","67,00","20,00","117,00","13,00","102,00","173,00","29,00","247,00","2 799,34","8 368,57","38,00","-1 684,90","5 569,25","10 053,48","19,00","5,00","2,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vranovská Ves","3 218,88","2 293,88","0,00","1 016,32","1 738,06","3 575,45","131,55","87,00","38,00","0,00","112,00","109,00","81,00","281,00","1,00","247,00","31,00","0,00","0,00","0,00","0,00","0,00","14,00","1,00","86,00","45,00","44,00","52,00","78,00","96,00","11,00","13,00","9,00","24,00","39,00","15,00","7,00","38,00","4,00","56,00","81,00","25,00","84,00","131,55","7 017,20","10,00","2 060,33","6 885,65","4 956,87","1,00","1,00","1,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vraný","8 901,05","7 169,18","156,42","107,76","689,06","1 755,70","449,51","244,00","123,00","0,00","276,00","358,00","184,00","769,00","35,00","728,00","110,00","0,00","1,00","0,00","8,00","0,00","37,00","6,00","256,00","132,00","112,00","121,00","237,00","236,00","34,00","31,00","31,00","39,00","102,00","64,00","55,00","154,00","22,00","122,00","169,00","31,00","332,00","605,93","9 638,54","23,00","48,44","9 032,64","9 590,11","19,00","5,00","5,00","Středočeský kraj","SLANÝ","Kladno"
"Vratěnín","11 392,19","3 557,14","0,00","13,54","43,06","1 352,05","7 051,65","112,00","50,00","0,00","102,00","146,00","80,00","294,00","1,00","288,00","42,00","0,00","0,00","0,00","0,00","0,00","7,00","3,00","104,00","37,00","84,00","44,00","94,00","97,00","7,00","10,00","5,00","5,00","43,00","30,00","15,00","46,00","6,00","75,00","70,00","34,00","109,00","7 051,65","11 974,36","10,00","539,20","4 922,73","11 435,17","13,00","2,00","2,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vratimov","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Moravskoslezský kraj","OSTRAVA","Frýdek-Místek"
"Vratislávka","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Vrátkov","1 529,77","1 966,71","0,00","99,69","326,44","272,34","60,10","97,00","49,00","0,00","115,00","133,00","91,00","250,00","1,00","247,00","39,00","0,00","0,00","0,00","1,00","0,00","23,00","2,00","82,00","58,00","44,00","31,00","74,00","90,00","7,00","9,00","6,00","6,00","55,00","23,00","8,00","59,00","20,00","68,00","90,00","11,00","127,00","60,10","2 398,83","9,00","542,64","2 338,74","1 856,19","2,00","5,00","1,00","Středočeský kraj","ČESKÝ BROD","Kolín"
"Vrátno","1 850,78","1 568,11","0,00","0,00","832,49","1 202,33","59,30","49,00","15,00","0,00","52,00","41,00","33,00","139,00","3,00","103,00","15,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00","39,00","7,00","23,00","20,00","36,00","56,00","6,00","6,00","14,00","3,00","6,00","11,00","2,00","12,00","2,00","23,00","28,00","10,00","38,00","59,30","2 829,74","19,00","146,48","2 770,44","2 683,26","4,00","4,00","1,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Vráto","2 840,55","2 378,43","114,06","120,00","1 868,22","327,02","75,10","117,00","65,00","11,00","104,00","153,00","93,00","319,00","0,00","303,00","30,00","0,00","0,00","0,00","5,00","1,00","41,00","7,00","79,00","75,00","40,00","44,00","107,00","115,00","10,00","13,00","19,00","59,00","57,00","30,00","2,00","81,00","9,00","101,00","91,00","11,00","143,00","189,16","3 014,60","32,00","-1 694,14","2 825,45","4 708,75","13,00","1,00","4,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Vráž","6 150,71","6 922,92","0,00","79,80","96,24","877,40","588,71","342,00","200,00","2,00","362,00","529,00","306,00","1 033,00","5,00","1 047,00","167,00","0,00","0,00","0,00","1,00","0,00","102,00","7,00","303,00","266,00","145,00","167,00","311,00","312,00","38,00","38,00","26,00","32,00","236,00","93,00","5,00","308,00","35,00","263,00","300,00","39,00","488,00","588,71","8 468,80","36,00","2 221,86","7 880,12","6 246,94","18,00","9,00","8,00","Středočeský kraj","BEROUN","Beroun"
"Vráž","3 892,63","2 813,91","1 137,00","471,10","1 587,09","334,58","323,36","119,00","62,00","0,00","136,00","158,00","82,00","294,00","2,00","299,00","47,00","0,00","0,00","0,00","0,00","0,00","22,00","5,00","97,00","79,00","43,00","39,00","84,00","97,00","13,00","14,00","7,00","23,00","74,00","38,00","10,00","67,00","13,00","67,00","74,00","11,00","150,00","1 460,36","5 079,93","3,00","-399,75","3 619,59","5 479,68","8,00","3,00","2,00","Jihočeský kraj","PÍSEK","Písek"
"Vražkov","3 398,72","3 225,00","136,00","0,00","216,10","391,80","290,72","158,00","78,00","0,00","158,00","228,00","134,00","418,00","2,00","418,00","53,00","0,00","0,00","0,00","0,00","0,00","12,00","3,00","150,00","86,00","79,00","66,00","126,00","139,00","13,00","21,00","17,00","10,00","87,00","34,00","7,00","104,00","31,00","111,00","131,00","26,00","204,00","426,72","4 043,53","11,00","428,71","3 616,80","3 614,81","11,00","3,00","7,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Vražné","9 298,55","6 838,97","11 248,98","0,00","103,14","348,91","2 030,88","269,00","120,00","2,00","242,00","400,00","217,00","845,00","6,00","822,00","102,00","1,00","0,00","0,00","0,00","0,00","21,00","6,00","312,00","131,00","162,00","139,00","257,00","280,00","41,00","26,00","27,00","16,00","119,00","101,00","8,00","124,00","30,00","136,00","208,00","73,00","336,00","13 279,86","20 467,73","15,00","11 066,10","7 187,88","9 401,63","24,00","12,00","7,00","Moravskoslezský kraj","ODRY","Nový Jičín"
"Vrážné","1 165,29","743,84","2 201,57","0,00","2 352,54","74,84","60,50","28,00","12,00","0,00","40,00","26,00","23,00","73,00","0,00","72,00","13,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","17,00","15,00","12,00","14,00","14,00","25,00","3,00","4,00","6,00",NA,"10,00","9,00","3,00","3,00","0,00","12,00","22,00","7,00","19,00","2 262,07","3 080,75","2,00","-437,05","818,68","3 517,79","2,00","2,00","0,00","Pardubický kraj","MORAVSKÁ TŘEBOVÁ","Svitavy"
"Vrbátky","13 445,23","14 930,08","11 046,55","2 326,50","18 102,26","2 807,14","2 570,05","552,00","287,00","9,00","559,00","789,00","471,00","1 677,00","3,00","1 612,00","235,00","0,00","2,00","0,00","3,00","1,00","131,00","14,00","528,00","318,00","266,00","304,00","516,00","525,00","48,00","49,00","55,00","74,00","238,00","230,00","44,00","313,00","34,00","297,00","459,00","69,00","699,00","13 616,60","33 680,32","38,00","2 132,90","20 063,72","31 547,42","49,00","23,00","33,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vrbatův Kostelec","2 589,06","2 673,92","0,00","5,44","221,47","276,05","433,84","123,00","48,00","0,00","168,00","147,00","113,00","338,00","2,00","316,00","53,00","0,00","0,00","0,00","0,00","0,00","20,00","1,00","128,00","56,00","57,00","53,00","87,00","111,00","16,00","18,00","4,00","10,00","45,00","42,00","3,00","53,00","20,00","69,00","111,00","22,00","130,00","433,84","3 389,28","8,00","578,78","2 955,41","2 810,51","1,00","3,00","4,00","Pardubický kraj","CHRUDIM","Chrudim"
"Vrbčany","2 284,31","3 074,55","0,00","2,00","210,07","92,16","163,83","141,00","57,00","0,00","159,00","160,00","105,00","360,00","1,00","344,00","50,00","0,00","0,00","0,00","0,00","0,00","13,00","2,00","117,00","55,00","68,00","67,00","100,00","118,00","8,00","17,00","26,00","12,00","48,00","26,00","1,00","71,00","14,00","60,00","99,00","27,00","137,00","163,83","3 332,55","20,00","838,19","3 168,71","2 494,36","10,00","2,00","5,00","Středočeský kraj","KOLÍN","Kolín"
"Vrbičany","1 377,77","1 836,39","0,00","0,00","1 374,32","141,01","182,85","84,00","33,00","0,00","107,00","92,00","74,00","239,00","0,00","213,00","35,00","0,00","0,00","0,00","0,00","0,00","5,00","4,00","76,00","27,00","50,00","43,00","72,00","79,00","7,00","3,00","18,00","2,00","25,00","18,00","3,00","39,00","4,00","36,00","71,00","15,00","86,00","182,85","2 160,24","14,00","-591,80","1 977,40","2 752,04","8,00","1,00","6,00","Středočeský kraj","SLANÝ","Kladno"
"Vrbičany","3 361,91","2 528,24","0,00","25,60","395,45","2 344,08","162,85","111,00","46,00","0,00","107,00","143,00","96,00","335,00","5,00","312,00","50,00","0,00","0,00","1,00","0,00","0,00","3,00","4,00","117,00","42,00","70,00","59,00","97,00","111,00","10,00","8,00","25,00","2,00","34,00","36,00","5,00","45,00","14,00","63,00","92,00","24,00","122,00","162,85","5 060,75","4,00","1 303,44","4 897,92","3 757,31","3,00","3,00","4,00","Ústecký kraj","LOVOSICE","Litoměřice"
"Vrbice","6 295,93","4 535,28","12 532,76","6 283,35","22 266,63","933,32","1 210,92","174,00","90,00","1,00","210,00","223,00","155,00","515,00","3,00","461,00","61,00","0,00","0,00","0,00","0,00","0,00","25,00","3,00","133,00","103,00","81,00","104,00","152,00","158,00","21,00","19,00","20,00","20,00","85,00","69,00","18,00","79,00","10,00","116,00","144,00","50,00","201,00","13 743,68","25 495,61","15,00","-3 066,91","11 751,95","28 562,52","18,00","5,00","4,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Vrbice","2 539,20","1 910,30","0,00","732,45","94,51","168,84","366,42","68,00","17,00","0,00","65,00","80,00","45,00","192,00","5,00","172,00","24,00","0,00","0,00","1,00","0,00","0,00","0,00","7,00","65,00","19,00","47,00","32,00","57,00","64,00","11,00","4,00","7,00","1,00","14,00","10,00","4,00","22,00","1,00","41,00","41,00","38,00","55,00","366,42","3 178,01","7,00","544,30","2 811,59","2 633,71","5,00","3,00","3,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Vrbice","924,44","1 473,00","886,00","0,00","1 991,58","177,12","102,58","50,00","14,00","0,00","106,00","40,00","45,00","119,00","1,00","117,00","34,00","0,00","0,00","0,00","0,00","0,00","2,00","0,00","43,00","21,00","27,00","16,00","26,00","34,00","3,00","6,00","7,00","3,00","18,00","10,00","8,00","14,00","2,00","9,00","45,00","0,00","40,00","988,58","2 638,70","5,00","-277,31","1 650,12","2 916,01","3,00","1,00","1,00","Královéhradecký kraj","JIČÍN","Jičín"
"Vrbice","2 059,49","1 864,19","0,00","0,00","267,08","2 297,16","445,72","67,00","29,00","0,00","101,00","76,00","65,00","176,00","0,00","171,00","47,00","0,00","0,00","0,00","0,00","0,00","10,00","0,00","63,00","37,00","33,00","24,00","45,00","48,00","5,00","7,00","2,00","1,00","32,00","12,00","10,00","36,00","6,00","30,00","64,00","12,00","72,00","445,72","4 607,06","5,00","2 280,51","4 161,35","2 326,54","6,00","1,00","1,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Vrbice","427,23","599,44","0,00","0,00","9,60","38,48","77,96","29,00","9,00","0,00","62,00","29,00","29,00","64,00","1,00","69,00","18,00","0,00","0,00","0,00","4,00","0,00","8,00","0,00","27,00","8,00","10,00","7,00","18,00","17,00","3,00","1,00","3,00","5,00","9,00","7,00","1,00","11,00","3,00","16,00","28,00","2,00","23,00","77,96","715,87","3,00","279,04","637,92","436,84","1,00","2,00","0,00","Jihočeský kraj","VIMPERK","Prachatice"
"Vrbice","1 257,39","1 014,36","0,00","2,43","809,92","627,55","340,09","52,00","24,00","2,00","54,00","68,00","37,00","138,00","0,00","133,00","28,00","0,00","0,00","0,00","0,00","0,00","12,00","1,00","45,00","36,00","19,00","19,00","41,00","40,00","5,00","5,00","1,00","4,00","20,00","16,00","14,00","23,00","3,00","28,00","37,00","4,00","59,00","340,09","1 984,42","7,00","-82,84","1 644,34","2 067,26","4,00","0,00","5,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Vrbka","1 433,26","1 688,32","0,00","5,49","69,76","303,92","171,18","75,00","34,00","0,00","80,00","97,00","67,00","200,00","1,00","208,00","30,00","0,00","1,00","0,00","0,00","0,00","5,00","2,00","80,00","46,00","44,00","27,00","59,00","64,00","10,00","10,00","1,00","1,00","57,00","41,00","11,00","29,00","4,00","36,00","67,00","7,00","87,00","171,18","2 168,90","5,00","665,94","1 997,73","1 502,96","9,00","0,00","1,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Vrbno nad Lesy","2 042,59","1 670,58","0,00","91,72","0,00","181,82","301,38","63,00","25,00","1,00","102,00","84,00","60,00","179,00","1,00","170,00","24,00","0,00","0,00","0,00","0,00","0,00","10,00","1,00","53,00","40,00","30,00","23,00","53,00","63,00","6,00","10,00","7,00","9,00","27,00","17,00","3,00","40,00","3,00","54,00","58,00","7,00","73,00","301,38","2 245,49","15,00","202,92","1 944,12","2 042,56","3,00","1,00","1,00","Ústecký kraj","LOUNY","Louny"
"Vrbno pod Pradědem","82 203,70","48 871,18","27 509,83","3 402,10","20 119,71","24 602,37","17 740,37","2 161,00","913,00","1,00","863,00","2 400,00","744,00","5 570,00","30,00","5 335,00","918,00","42,00","15,00","2,00","0,00","0,00","287,00","129,00","1 749,00","1 063,00","1 123,00","752,00","1 682,00","1 702,00","279,00","237,00","220,00","182,00","307,00","649,00","65,00","830,00","137,00","1 152,00","566,00","536,00","1 972,00","45 250,20","122 125,83","95,00","19 802,44","76 875,65","102 323,39","94,00","45,00","53,00","Moravskoslezský kraj","BRUNTÁL","Bruntál"
"Vrbová Lhota","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","1","3","1","1","1","3","3","3","Středočeský kraj","PODĚBRADY","Kolín"
"Vrbovec","8 894,03","10 659,77","6 259,37","634,99","10 771,16","2 210,37","2 254,50","366,00","171,00","2,00","330,00","524,00","297,00","1 157,00","8,00","1 118,00","115,00","0,00","0,00","0,00","1,00","29,00","51,00","25,00","342,00","194,00","245,00","204,00","378,00","384,00","37,00","39,00","61,00","60,00","153,00","73,00","54,00","196,00","30,00","235,00","284,00","87,00","453,00","8 513,87","22 018,96","38,00","2 353,79","13 505,13","19 665,17","28,00","8,00","18,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vrčeň","4 560,33","2 876,15","400,00","5,28","589,18","1 393,50","723,76","113,00","62,00","0,00","133,00","154,00","92,00","330,00","2,00","321,00","46,00","0,00","0,00","0,00","0,00","0,00","19,00","4,00","132,00","51,00","43,00","60,00","98,00","104,00","10,00","12,00","12,00","14,00","52,00","36,00","10,00","57,00","12,00","65,00","89,00","11,00","142,00","1 123,76","5 398,67","9,00","249,19","4 274,93","5 149,49","4,00","7,00","0,00","Plzeňský kraj","NEPOMUK","Plzeň-jih"
"Vrchlabí","285 811,62","126 856,67","3 771,73","16 270,54","117 963,21","94 237,92","90 321,92","5 165,00","2 693,00","14,00","2 105,00","6 251,00","1 898,00","12 665,00","29,00","12 632,00","2 185,00","19,00","31,00","0,00","51,00","26,00","1 010,00","124,00","3 900,00","2 940,00","1 924,00","1 817,00","3 753,00","3 897,00","529,00","484,00","520,00","1 872,00","721,00","1 878,00","59,00","2 661,00","281,00","3 550,00","1 466,00","544,00","5 712,00","94 093,65","331 458,75","260,00","-72 316,09","237 365,13","403 774,85","273,00","144,00","139,00","Královéhradecký kraj","VRCHLABÍ","Trutnov"
"Vrchoslavice","4 356,16","4 348,07","27,16","17,77","1 094,16","617,22","356,70","208,00","107,00","3,00","191,00","273,00","165,00","617,00","3,00","592,00","78,00","1,00","0,00","0,00","2,00","0,00","40,00","10,00","202,00","105,00","104,00","106,00","194,00","203,00","19,00","17,00","10,00","12,00","101,00","68,00","11,00","115,00","25,00","106,00","158,00","31,00","244,00","383,86","5 366,91","20,00","-83,38","4 983,06","5 450,29","10,00","5,00","3,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vrchotovy Janovice","10 211,73","8 847,49","0,00","8,32","259,60","1 746,61","1 495,86","357,00","185,00","1,00","369,00","498,00","265,00","950,00","5,00","973,00","121,00","2,00","0,00","0,00","2,00","0,00","67,00","9,00","314,00","207,00","165,00","154,00","302,00","312,00","30,00","31,00","18,00","58,00","167,00","94,00","49,00","215,00","65,00","217,00","244,00","31,00","462,00","1 495,86","12 098,25","23,00","1 626,96","10 602,42","10 471,30","15,00","5,00","11,00","Středočeský kraj","VOTICE","Benešov"
"Vrchovany","1 479,55","1 106,23","40,74","99,88","106,32","236,86","156,69","38,00","16,00","0,00","50,00","54,00","35,00","112,00","0,00","116,00","16,00","0,00","0,00","0,00","0,00","0,00","3,00","0,00","38,00","13,00","34,00","24,00","27,00","31,00","5,00","9,00","2,00",NA,"8,00","13,00","7,00","15,00","2,00","24,00","34,00","8,00","45,00","197,43","1 640,38","2,00","54,51","1 442,97","1 585,87","3,00","0,00","0,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Vrchovnice","531,06","692,40","0,00","0,00","180,89","51,91","60,44","23,00","11,00","0,00","24,00","30,00","21,00","65,00","0,00","66,00","19,00","0,00","0,00","0,00","0,00","0,00","7,00","2,00","23,00","12,00","9,00","5,00","18,00","20,00","2,00","1,00","7,00","1,00","17,00","5,00","3,00","14,00","0,00","14,00","21,00","2,00","23,00","60,44","804,74","0,00","92,81","744,31","711,93","1,00","2,00","0,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Vrchy","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Vrcovice","1 654,72","1 476,51","1 274,94","19,45","183,91","692,36","175,77","53,00","31,00","0,00","65,00","85,00","47,00","156,00","0,00","179,00","22,00","0,00","0,00","0,00","1,00","0,00","9,00","1,00","47,00","42,00","26,00","33,00","44,00","51,00","4,00","2,00","10,00","3,00","28,00","12,00","11,00","32,00","5,00","28,00","46,00","12,00","70,00","1 450,71","3 639,03","2,00","1 800,43","2 188,32","1 838,60","10,00","4,00","2,00","Jihočeský kraj","PÍSEK","Písek"
