"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet bytových domácností","Počet bytových domácností vybavených počítačem a připojením na internet","Počet dokončených bytů","Počet domů","Počet ekonomicky aktivních osob","Počet obydlených domů","Počet obyvatel","Počet obyvatel bez vzdělání","Počet obyvatel dle Sčítání lidu 2011","Počet obyvatel nad 65 let","Počet obyvatel s německou národností","Počet obyvatel s polskou národností","Počet obyvatel s romskou národností","Počet obyvatel s ukrajinskou národností","Počet obyvatel s vietnamskou národností","Počet obyvatel s vysokoškolským vzděláním","Počet obyvatel se slovenskou národností","Počet obyvatel se středoškolským vzděláním bez maturity","Počet obyvatel se středoškolským vzděláním s maturitou","Počet obyvatel se základním vzděláním","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet obyvatel, kteří neuvedli vzdělání","Počet osob dojíždějících za prací do obce","Počet osob vyjíždějících z obce za prací","Počet osob zaměstnaných v průmyslu","Počet osob zaměstnaných v zemědělství","Počet osob zaměstnaných ve službách","Počet osob zaměstnaných ve stavebnictví","Počet podnikatelských subjektů celkem","Počet rodinných domů","Počet uchazečů o zaměstnání","Počet zaměstnaných osob","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Jedovnice","32 597,92","21 630,76","346,84","1 160,98","14 816,66","7 049,23","5 707,28","1 016,00","587,00","5,00","680,00","1 359,00","599,00","2 731,00","3,00","2 748,00","444,00","1,00","1,00","0,00","3,00","0,00","307,00","12,00","817,00","685,00","367,00","406,00","821,00","871,00","96,00","93,00","58,00","141,00","669,00","365,00","41,00","668,00","85,00","565,00","572,00","119,00","1 231,00","6 054,12","35 895,06","61,00","-11 519,49","29 840,97","47 414,55","51,00","25,00","26,00","Jihomoravský kraj","BLANSKO","Blansko"
"Jehnědí","3 037,72","2 731,67","0,00","14,88","354,77","538,32","471,33","107,00","64,00","1,00","107,00","148,00","83,00","324,00","0,00","315,00","45,00","0,00","0,00","0,00","0,00","0,00","18,00","4,00","127,00","64,00","45,00","48,00","96,00","111,00","12,00","12,00","3,00","6,00","51,00","33,00","19,00","55,00","22,00","69,00","80,00","12,00","141,00","471,33","3 756,19","7,00","363,74","3 284,87","3 392,45","16,00","4,00","6,00","Pardubický kraj","ÚSTÍ NAD ORLICÍ","Ústí nad Orlicí"
"Jemnice","46 471,27","36 382,74","34 821,28","5 630,50","46 124,61","3 116,06","16 870,17","1 586,00","821,00","7,00","1 128,00","2 031,00","961,00","4 293,00","11,00","4 293,00","666,00","0,00","1,00","0,00","18,00","6,00","272,00","34,00","1 407,00","965,00","778,00","592,00","1 398,00","1 378,00","130,00","129,00","133,00","487,00","443,00","707,00","85,00","756,00","135,00","842,00","863,00","227,00","1 813,00","51 691,45","96 820,68","57,00","4 224,83","45 129,30","92 595,85","98,00","44,00","31,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč"
"Jemníky","1 493,74","1 817,28","0,00","0,00","442,37","187,12","70,44","86,00","53,00","0,00","104,00","126,00","77,00","267,00","1,00","278,00","37,00","0,00","0,00","0,00","0,00","0,00","16,00","7,00","70,00","74,00","44,00","55,00","81,00","74,00","9,00","11,00","11,00","7,00","47,00","26,00","5,00","59,00","8,00","49,00","77,00","16,00","111,00","70,44","2 074,83","4,00","138,76","2 004,40","1 936,07","0,00","2,00","3,00","Středočeský kraj","SLANÝ","Kladno"
"Jenčice","3 573,98","3 242,05","0,00","212,04","40,90","1 001,46","217,20","134,00","66,00","1,00","139,00","167,00","113,00","357,00","3,00","333,00","65,00","0,00","0,00","0,00","4,00","0,00","22,00","8,00","101,00","77,00","67,00","47,00","100,00","119,00","13,00","13,00","16,00","4,00","61,00","36,00","7,00","76,00","9,00","82,00","112,00","18,00","151,00","217,20","4 672,75","17,00","1 057,87","4 455,55","3 614,88","11,00","4,00","2,00","Ústecký kraj","LOVOSICE","Litoměřice"
"Jeneč","10 464,41","10 525,53","375,00","2 416,29","7 341,57","3 438,13","925,91","458,00","264,00","4,00","401,00","662,00","358,00","1 231,00","4,00","1 285,00","190,00","0,00","2,00","0,00","4,00","0,00","105,00","15,00","395,00","296,00","219,00","181,00","375,00","398,00","42,00","45,00","45,00","682,00","216,00","46,00","6,00","386,00","42,00","338,00","333,00","44,00","613,00","1 300,91","17 680,86","39,00","-125,09","16 379,95","17 805,95","28,00","12,00","18,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Jeníkov","3 576,80","3 476,53","120,00","15,95","323,63","921,50","468,98","141,00","79,00","2,00","149,00","219,00","121,00","473,00","1,00","469,00","53,00","0,00","0,00","0,00","3,00","0,00","23,00","0,00","145,00","93,00","100,00","95,00","152,00","143,00","16,00","14,00","9,00","5,00","81,00","93,00","8,00","57,00","10,00","78,00","118,00","31,00","193,00","588,98","5 002,95","0,00","1 102,51","4 413,98","3 900,44","14,00","4,00","6,00","Pardubický kraj","HLINSKO","Chrudim"
"Jeníkov","9 180,18","7 447,63","0,00","72,58","2 704,62","1 296,77","1 334,73","348,00","177,00","0,00","260,00","447,00","235,00","909,00","5,00","884,00","125,00","2,00","0,00","0,00","1,00","0,00","59,00","9,00","294,00","173,00","178,00","121,00","288,00","312,00","32,00","31,00","39,00","57,00","142,00","106,00","1,00","165,00","40,00","176,00","208,00","70,00","369,00","1 334,73","10 151,70","29,00","-1 733,06","8 816,98","11 884,76","32,00","9,00","12,00","Ústecký kraj","TEPLICE","Teplice"
"Jeníkovice","2 154,01","3 212,68","352,49","126,23","802,13","257,17","256,63","159,00","87,00","2,00","182,00","202,00","127,00","446,00","1,00","433,00","71,00","0,00","0,00","1,00","0,00","0,00","30,00","3,00","145,00","83,00","82,00","79,00","121,00","152,00","12,00","11,00","8,00","6,00","86,00","49,00","6,00","88,00","25,00","93,00","122,00","25,00","181,00","609,12","4 205,19","25,00","1 249,06","3 596,08","2 956,13","18,00","5,00","8,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Jeníkovice","1 778,44","1 961,92","0,00","0,07","185,58","151,20","181,37","74,00","51,00","0,00","81,00","118,00","62,00","259,00","1,00","234,00","37,00","0,00","1,00","0,00","0,00","0,00","8,00","0,00","88,00","52,00","38,00","43,00","75,00","84,00","11,00","9,00","3,00","4,00","39,00","40,00","10,00","40,00","6,00","48,00","60,00","9,00","111,00","181,37","2 294,55","6,00","330,54","2 113,19","1 964,01","3,00","1,00","5,00","Pardubický kraj","PŘELOUČ","Pardubice"
