"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Němčice","364,00","58,00","43,00","133,00","113,00","11,00","6,00","10,00","Zlínský kraj","HOLEŠOV","Kroměříž",NA
"Němčice","184,00","20,00","28,00","65,00","63,00","4,00","4,00","1,00","Jihočeský kraj","PRACHATICE","Prachatice","1,00"
"Němčice","127,00","22,00","17,00","44,00","38,00","5,00","1,00","2,00","Plzeňský kraj","DOMAŽLICE","Domažlice","1,00"
"Němčice","294,00","48,00","44,00","99,00","78,00","15,00","10,00","8,00","Středočeský kraj","KOLÍN","Kolín","3,00"
"Němčice","192,00","17,00","37,00","67,00","66,00","0,00","5,00","3,00","Pardubický kraj","PARDUBICE","Pardubice","1,00"
"Němčice","110,00","20,00","14,00","33,00","33,00","4,00","6,00","6,00","Jihočeský kraj","STRAKONICE","Strakonice",NA
"Němčice","161,00","26,00","26,00","53,00","47,00","6,00","3,00","1,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","1,00"
"Němčice nad Hanou","2 176,00","300,00","333,00","756,00","660,00","69,00","58,00","63,00","Olomoucký kraj","PROSTĚJOV","Prostějov","1,00"
"Němčičky","612,00","104,00","94,00","198,00","167,00","26,00","23,00","36,00","Jihomoravský kraj","HUSTOPEČE","Břeclav","2,00"
"Němčičky","88,00","21,00","6,00","34,00","27,00","0,00","0,00","6,00","Jihomoravský kraj","ZNOJMO","Znojmo",NA
"Němčičky","351,00","23,00","57,00","134,00","123,00","5,00","9,00","7,00","Jihomoravský kraj","IVANČICE","Brno-venkov",NA
"Němčovice","124,00","14,00","32,00","39,00","33,00","3,00","3,00","3,00","Plzeňský kraj","ROKYCANY","Rokycany",NA
"Němětice","112,00","25,00","17,00","31,00","30,00","5,00","4,00","3,00","Jihočeský kraj","STRAKONICE","Strakonice",NA
"Nemile","605,00","88,00","104,00","204,00","173,00","16,00","20,00","14,00","Olomoucký kraj","ZÁBŘEH","Šumperk","5,00"
"Nemíž","44,00","8,00","6,00","14,00","12,00","3,00","1,00","2,00","Středočeský kraj","VLAŠIM","Benešov",NA
"Nemochovice","291,00","54,00","48,00","97,00","71,00","12,00","9,00","11,00","Jihomoravský kraj","BUČOVICE","Vyškov",NA
"Nemojany","614,00","103,00","96,00","187,00","184,00","17,00","27,00","18,00","Jihomoravský kraj","VYŠKOV","Vyškov","3,00"
"Nemojov","567,00","81,00","83,00","181,00","178,00","21,00","23,00","21,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov",NA
"Nemotice","359,00","58,00","46,00","122,00","113,00","9,00","11,00","19,00","Jihomoravský kraj","BUČOVICE","Vyškov",NA
"Nemyčeves","269,00","38,00","39,00","88,00","89,00","7,00","8,00","20,00","Královéhradecký kraj","JIČÍN","Jičín",NA
"Nemyšl","287,00","38,00","55,00","95,00","87,00","9,00","3,00","7,00","Jihočeský kraj","TÁBOR","Tábor",NA
"Nemyslovice","132,00","11,00","24,00","49,00","40,00","2,00","6,00","0,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA
"Nenačovice","237,00","29,00","39,00","73,00","71,00","13,00","12,00","6,00","Středočeský kraj","BEROUN","Beroun","2,00"
"Nenkovice","441,00","78,00","60,00","139,00","138,00","15,00","11,00","33,00","Jihomoravský kraj","KYJOV","Hodonín",NA
"Neplachov","348,00","56,00","45,00","119,00","103,00","14,00","11,00","5,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","1,00"
"Neplachovice","917,00","110,00","148,00","305,00","303,00","27,00","24,00","35,00","Moravskoslezský kraj","OPAVA","Opava","5,00"
"Nepolisy","905,00","130,00","143,00","303,00","279,00","20,00","30,00","36,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové","6,00"
"Nepoměřice","220,00","30,00","33,00","72,00","72,00","6,00","7,00","8,00","Středočeský kraj","KUTNÁ HORA","Kutná Hora",NA
"Nepomuk","189,00","21,00","29,00","63,00","64,00","4,00","8,00","7,00","Středočeský kraj","PŘÍBRAM","Příbram",NA
"Nepomuk","3 749,00","454,00","614,00","1 269,00","1 175,00","125,00","112,00","78,00","Plzeňský kraj","NEPOMUK","Plzeň-jih","15,00"
"Nepomyšl","390,00","66,00","60,00","137,00","105,00","13,00","9,00","42,00","Ústecký kraj","PODBOŘANY","Louny",NA
"Nepřevázka","401,00","48,00","60,00","134,00","131,00","12,00","16,00","4,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","2,00"
"Neprobylice","138,00","9,00","19,00","52,00","50,00","3,00","5,00","1,00","Středočeský kraj","SLANÝ","Kladno","1,00"
"Neratov","109,00","17,00","19,00","35,00","29,00","5,00","4,00","0,00","Pardubický kraj","PARDUBICE","Pardubice",NA
"Neratovice","16 296,00","1 840,00","2 503,00","5 410,00","5 481,00","540,00","522,00","540,00","Středočeský kraj","NERATOVICE","Mělník","13,00"
"Nerestce","101,00","24,00","14,00","29,00","28,00","2,00","4,00","5,00","Jihočeský kraj","PÍSEK","Písek",NA
"Neslovice","864,00","96,00","130,00","297,00","281,00","37,00","23,00","27,00","Jihomoravský kraj","IVANČICE","Brno-venkov",NA
"Nesovice","1 138,00","204,00","182,00","349,00","337,00","36,00","30,00","35,00","Jihomoravský kraj","BUČOVICE","Vyškov","6,00"
"Nespeky","559,00","56,00","108,00","180,00","170,00","21,00","24,00","12,00","Středočeský kraj","BENEŠOV","Benešov","4,00"
"Nestrašovice","70,00","15,00","11,00","24,00","16,00","1,00","3,00","1,00","Středočeský kraj","PŘÍBRAM","Příbram",NA
"Nesuchyně","430,00","44,00","73,00","157,00","141,00","6,00","9,00","35,00","Středočeský kraj","RAKOVNÍK","Rakovník","1,00"
"Nesvačilka","329,00","48,00","43,00","113,00","109,00","9,00","7,00","5,00","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov",NA
"Nesvačily","127,00","25,00","17,00","46,00","37,00","1,00","1,00","0,00","Středočeský kraj","BEROUN","Beroun",NA
"Netín","306,00","44,00","53,00","99,00","91,00","10,00","9,00","10,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Netolice","2 702,00","389,00","395,00","901,00","867,00","77,00","73,00","63,00","Jihočeský kraj","PRACHATICE","Prachatice","5,00"
"Netřebice","204,00","37,00","30,00","64,00","62,00","5,00","6,00","10,00","Středočeský kraj","NYMBURK","Nymburk",NA
"Netřebice","482,00","62,00","83,00","161,00","147,00","13,00","16,00","15,00","Jihočeský kraj","KAPLICE","Český Krumlov",NA
"Netunice","181,00","30,00","29,00","55,00","56,00","6,00","5,00","3,00","Plzeňský kraj","PŘEŠTICE","Plzeň-jih",NA
"Netvořice","1 085,00","142,00","161,00","361,00","361,00","30,00","30,00","34,00","Středočeský kraj","BENEŠOV","Benešov","2,00"
"Neubuz","446,00","53,00","77,00","142,00","147,00","13,00","14,00","1,00","Zlínský kraj","VIZOVICE","Zlín","1,00"
"Neuměř","128,00","28,00","20,00","38,00","32,00","4,00","6,00","7,00","Plzeňský kraj","STOD","Domažlice","1,00"
"Neuměřice","363,00","52,00","48,00","137,00","106,00","13,00","7,00","25,00","Středočeský kraj","SLANÝ","Kladno","2,00"
"Neumětely","561,00","67,00","100,00","191,00","165,00","20,00","18,00","6,00","Středočeský kraj","HOŘOVICE","Beroun","1,00"
"Neurazy","811,00","166,00","96,00","277,00","225,00","26,00","21,00","29,00","Plzeňský kraj","NEPOMUK","Plzeň-jih","1,00"
"Neustupov","529,00","102,00","70,00","189,00","143,00","11,00","14,00","10,00","Středočeský kraj","VOTICE","Benešov",NA
"Nevcehle","235,00","40,00","34,00","78,00","65,00","7,00","11,00","7,00","Vysočina","TELČ","Jihlava",NA
"Neveklov","2 418,00","305,00","352,00","860,00","767,00","64,00","70,00","37,00","Středočeský kraj","BENEŠOV","Benešov","6,00"
"Neveklovice","45,00","5,00","10,00","7,00","19,00","2,00","2,00","0,00","Středočeský kraj","MNICHOVO HRADIŠTĚ","Mladá Boleslav",NA
"Nevězice","149,00","28,00","21,00","46,00","34,00","11,00","9,00","5,00","Jihočeský kraj","PÍSEK","Písek",NA
"Nevid","156,00","16,00","23,00","49,00","51,00","8,00","9,00","3,00","Plzeňský kraj","ROKYCANY","Rokycany",NA
"Nevojice","382,00","54,00","57,00","132,00","118,00","10,00","11,00","17,00","Jihomoravský kraj","BUČOVICE","Vyškov",NA
"Nevolice","159,00","20,00","29,00","56,00","47,00","3,00","4,00","2,00","Plzeňský kraj","DOMAŽLICE","Domažlice","1,00"
"Nevratice","149,00","30,00","19,00","51,00","41,00","3,00","5,00","8,00","Královéhradecký kraj","HOŘICE","Jičín",NA
"Nevřeň","212,00","22,00","48,00","71,00","58,00","7,00","6,00","2,00","Plzeňský kraj","NÝŘANY","Plzeň-sever","1,00"
"Nezabudice","71,00","26,00","7,00","15,00","17,00","4,00","2,00","2,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA
"Nezabylice","199,00","20,00","33,00","67,00","72,00","4,00","3,00","11,00","Ústecký kraj","CHOMUTOV","Chomutov",NA
"Nezamyslice","214,00","32,00","29,00","74,00","59,00","7,00","13,00","15,00","Plzeňský kraj","SUŠICE","Klatovy","1,00"
"Nezamyslice","1 356,00","187,00","225,00","472,00","373,00","53,00","46,00","20,00","Olomoucký kraj","PROSTĚJOV","Prostějov","12,00"
"Nezbavětice","2","2","2","2","2","2","2","2","Plzeňský kraj","PLZEŇ","Plzeň-město","2"
"Nezdenice","768,00","213,00","88,00","224,00","190,00","23,00","30,00","20,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště","1,00"
"Nezdice","2","2","2","2","2","2","2","2","Plzeňský kraj","PŘEŠTICE","Klatovy",NA
"Nezdice na Šumavě","363,00","96,00","22,00","113,00","105,00","14,00","13,00","18,00","Plzeňský kraj","SUŠICE","Klatovy",NA
"Nezdřev","126,00","13,00","14,00","49,00","43,00","3,00","4,00","6,00","Plzeňský kraj","NEPOMUK","Plzeň-jih","1,00"
"Nezvěstice","2","2","2","2","2","2","2","2","Plzeňský kraj","PLZEŇ","Plzeň-město","2"
"Nicov","77,00","12,00","13,00","26,00","22,00","2,00","2,00","0,00","Jihočeský kraj","VIMPERK","Prachatice",NA
"Nihošovice","306,00","41,00","41,00","121,00","93,00","5,00","5,00","15,00","Jihočeský kraj","STRAKONICE","Strakonice","3,00"
"Níhov","2","2","2","2","2","2","2","2","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Nikolčice","796,00","122,00","129,00","269,00","223,00","31,00","22,00","21,00","Jihomoravský kraj","HUSTOPEČE","Břeclav","5,00"
"Niměřice","300,00","75,00","29,00","104,00","71,00","12,00","9,00","9,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","1,00"
"Nimpšov","64,00","15,00","2,00","25,00","18,00","2,00","2,00","3,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč",NA
"Nišovice","216,00","30,00","36,00","74,00","66,00","6,00","4,00","5,00","Jihočeský kraj","STRAKONICE","Strakonice",NA
"Nítkovice","269,00","41,00","39,00","87,00","88,00","4,00","10,00","10,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž",NA
"Niva","351,00","52,00","51,00","113,00","111,00","11,00","13,00","4,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA
"Nivnice","3 285,00","481,00","494,00","1 042,00","1 057,00","113,00","98,00","60,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště","16,00"
"Nižbor","1 695,00","259,00","239,00","543,00","527,00","60,00","67,00","41,00","Středočeský kraj","BEROUN","Beroun","6,00"
"Nížkov","913,00","111,00","179,00","299,00","281,00","22,00","21,00","8,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou","6,00"
"Nížkovice","662,00","125,00","73,00","234,00","194,00","19,00","17,00","13,00","Jihomoravský kraj","SLAVKOV U BRNA","Vyškov","6,00"
"Nižní Lhoty","256,00","50,00","39,00","72,00","78,00","6,00","11,00","7,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek","1,00"
"Norberčany","2","2","2","2","2","2","2","2","Olomoucký kraj","ŠTERNBERK","Olomouc",NA
"Nosálov","159,00","28,00","17,00","48,00","50,00","6,00","10,00","9,00","Středočeský kraj","MĚLNÍK","Mělník",NA
"Nosislav","2","2","2","2","2","2","2","2","Jihomoravský kraj","ŽIDLOCHOVICE","Brno-venkov","2"
"Nošovice","975,00","115,00","155,00","319,00","323,00","28,00","35,00","33,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek","8,00"
"Nová Buková","94,00","14,00","10,00","29,00","34,00","1,00","6,00","2,00","Vysočina","PELHŘIMOV","Pelhřimov",NA
"Nová Bystřice","3 317,00","417,00","506,00","1 099,00","1 072,00","111,00","112,00","132,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec","13,00"
"Nová Cerekev","1 090,00","221,00","144,00","351,00","297,00","38,00","39,00","27,00","Vysočina","PELHŘIMOV","Pelhřimov","2,00"
"Nová Dědina","426,00","51,00","60,00","147,00","144,00","10,00","14,00","12,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž","1,00"
"Nová Hradečná","788,00","100,00","134,00","256,00","253,00","22,00","23,00","30,00","Olomoucký kraj","UNIČOV","Olomouc","2,00"
"Nová Lhota","708,00","109,00","90,00","261,00","214,00","19,00","15,00","70,00","Jihomoravský kraj","VESELÍ NAD MORAVOU","Hodonín","2,00"
"Nová Olešná","113,00","23,00","14,00","32,00","38,00","4,00","2,00","4,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec","1,00"
"Nová Paka","9 272,00","1 466,00","1 267,00","3 036,00","2 872,00","334,00","297,00","307,00","Královéhradecký kraj","NOVÁ PAKA","Jičín","15,00"
"Nová Pec","563,00","69,00","90,00","194,00","171,00","17,00","22,00","23,00","Jihočeský kraj","PRACHATICE","Prachatice","1,00"
"Nová Pláň","39,00","0,00","10,00","12,00","14,00","1,00","2,00","0,00","Moravskoslezský kraj","BRUNTÁL","Bruntál","2,00"
"Nová Říše","862,00","123,00","133,00","288,00","268,00","24,00","26,00","30,00","Vysočina","TELČ","Jihlava",NA
"Nová Role","4 063,00","680,00","574,00","1 290,00","1 273,00","129,00","117,00","112,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","7,00"
"Nová Sídla","235,00","50,00","43,00","60,00","69,00","5,00","8,00","3,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Nová Telib","197,00","20,00","31,00","68,00","69,00","3,00","6,00","4,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav","6,00"
"Nová Včelnice","2 387,00","375,00","348,00","765,00","727,00","91,00","81,00","41,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec","5,00"
"Nová Ves","658,00","72,00","106,00","226,00","227,00","14,00","13,00","17,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice","4,00"
"Nová Ves","251,00","30,00","45,00","85,00","81,00","4,00","6,00","4,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ","2,00"
"Nová Ves","139,00","22,00","15,00","51,00","41,00","4,00","6,00","3,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA
"Nová Ves","229,00","22,00","46,00","80,00","72,00","5,00","4,00","5,00","Plzeňský kraj","STOD","Plzeň-jih","3,00"
"Nová Ves","416,00","63,00","75,00","129,00","125,00","12,00","12,00","3,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov","2,00"
"Nová Ves","128,00","24,00","14,00","40,00","41,00","4,00","5,00","3,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou","1,00"
"Nová Ves","760,00","103,00","113,00","266,00","243,00","19,00","16,00","35,00","Jihomoravský kraj","IVANČICE","Brno-venkov","2,00"
"Nová Ves","94,00","27,00","3,00","29,00","31,00","1,00","3,00","3,00","Ústecký kraj","LOUNY","Louny",NA
"Nová Ves","296,00","23,00","65,00","109,00","87,00","5,00","7,00","36,00","Karlovarský kraj","SOKOLOV","Sokolov",NA
"Nová Ves I","1 164,00","157,00","210,00","370,00","351,00","39,00","37,00","38,00","Středočeský kraj","KOLÍN","Kolín","2,00"
"Nová Ves nad Lužnicí","369,00","45,00","63,00","129,00","110,00","11,00","11,00","7,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec","3,00"
"Nová Ves nad Nisou","649,00","76,00","102,00","233,00","196,00","19,00","23,00","16,00","Liberecký kraj","JABLONEC NAD NISOU","Jablonec n.Nisou","1,00"
"Nová Ves nad Popelkou","652,00","97,00","85,00","229,00","202,00","21,00","18,00","14,00","Liberecký kraj","SEMILY","Semily","2,00"
"Nová Ves pod Pleší","841,00","79,00","151,00","287,00","285,00","22,00","17,00","18,00","Středočeský kraj","DOBŘÍŠ","Příbram","19,00"
"Nová Ves u Bakova","238,00","30,00","28,00","81,00","74,00","10,00","15,00","0,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav",NA
"Nová Ves u Chotěboře","575,00","90,00","104,00","178,00","168,00","13,00","22,00","14,00","Vysočina","CHOTĚBOŘ","Havlíčkův Brod","7,00"
"Nová Ves u Chýnova","273,00","39,00","39,00","91,00","92,00","5,00","7,00","5,00","Jihočeský kraj","TÁBOR","Tábor","8,00"
"Nová Ves u Jarošova","57,00","12,00","10,00","17,00","14,00","1,00","3,00","2,00","Pardubický kraj","LITOMYŠL","Svitavy",NA
"Nová Ves u Leštiny","97,00","22,00","11,00","35,00","26,00","3,00","0,00","6,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod",NA
"Nová Ves u Mladé Vožice","181,00","39,00","23,00","63,00","46,00","5,00","5,00","7,00","Jihočeský kraj","TÁBOR","Tábor","1,00"
"Nová Ves u Nového Města na Mor.","600,00","52,00","141,00","179,00","189,00","21,00","18,00","12,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou","5,00"
"Nová Ves u Světlé","470,00","84,00","65,00","155,00","146,00","12,00","8,00","10,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod","5,00"
"Nová Ves v Horách","462,00","58,00","51,00","164,00","166,00","12,00","11,00","23,00","Ústecký kraj","LITVÍNOV","Most",NA
"Nové Bránice","916,00","91,00","122,00","235,00","428,00","19,00","21,00","10,00","Jihomoravský kraj","IVANČICE","Brno-venkov","3,00"
"Nové Dvory","292,00","56,00","54,00","77,00","93,00","6,00","6,00","3,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou","4,00"
"Nové Dvory","187,00","26,00","20,00","63,00","63,00","11,00","4,00","4,00","Středočeský kraj","DOBŘÍŠ","Příbram","2,00"
"Nové Dvory","396,00","49,00","72,00","118,00","122,00","19,00","16,00","34,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice","2,00"
"Nové Hamry","331,00","42,00","46,00","120,00","92,00","17,00","14,00","13,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary","3,00"
"Nové Heřminovy","266,00","33,00","42,00","83,00","80,00","13,00","15,00","18,00","Moravskoslezský kraj","BRUNTÁL","Bruntál",NA
"Nové Hrady","2 559,00","322,00","401,00","844,00","806,00","92,00","94,00","46,00","Jihočeský kraj","TRHOVÉ SVINY","České Budějovice","16,00"
"Nové Hrady","2","2","2","2","2","2","2","2","Pardubický kraj","VYSOKÉ MÝTO","Chrudim",NA
"Nové Hutě","85,00","16,00","5,00","27,00","31,00","3,00","3,00","3,00","Jihočeský kraj","VIMPERK","Prachatice","7,00"
"Nové Lublice","194,00","31,00","28,00","68,00","58,00","5,00","4,00","11,00","Moravskoslezský kraj","VÍTKOV","Opava",NA
"Nové Město","377,00","44,00","47,00","146,00","110,00","17,00","13,00","18,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové","2,00"
"Nové Město na Moravě","10 653,00","1 453,00","1 604,00","3 543,00","3 367,00","372,00","314,00","448,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou","88,00"
"Nové Město nad Metují","9 996,00","1 615,00","1 401,00","3 134,00","3 102,00","408,00","336,00","187,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod","43,00"
"Nové Město pod Smrkem","3 887,00","437,00","700,00","1 348,00","1 184,00","122,00","96,00","261,00","Liberecký kraj","FRÝDLANT","Liberec",NA
"Nové Mitrovice","300,00","55,00","49,00","93,00","77,00","14,00","12,00","9,00","Plzeňský kraj","BLOVICE","Plzeň-jih",NA
"Nové Sady","177,00","17,00","34,00","65,00","51,00","5,00","5,00","5,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Nové Sady","88,00","21,00","7,00","29,00","25,00","2,00","4,00","3,00","Jihomoravský kraj","VYŠKOV","Vyškov",NA
"Nové Sedlice","490,00","71,00","75,00","160,00","162,00","9,00","13,00","20,00","Moravskoslezský kraj","OPAVA","Opava","2,00"
"Nové Sedlo","552,00","61,00","77,00","203,00","170,00","27,00","14,00","49,00","Ústecký kraj","ŽATEC","Louny","1,00"
"Nové Sedlo","2 704,00","297,00","442,00","959,00","847,00","79,00","80,00","223,00","Karlovarský kraj","SOKOLOV","Sokolov","2,00"
"Nové Strašecí","5 175,00","712,00","747,00","1 706,00","1 703,00","161,00","146,00","115,00","Středočeský kraj","RAKOVNÍK","Rakovník","22,00"
"Nové Syrovice","1 003,00","171,00","137,00","350,00","285,00","27,00","33,00","71,00","Vysočina","MORAVSKÉ BUDĚJOVICE","Třebíč","2,00"
"Nové Veselí","1 225,00","171,00","197,00","391,00","379,00","42,00","45,00","22,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou","1,00"
"Noviny pod Ralskem","256,00","43,00","35,00","81,00","77,00","11,00","9,00","4,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa","1,00"
"Novosedlice","2 207,00","240,00","322,00","752,00","731,00","72,00","90,00","118,00","Ústecký kraj","TEPLICE","Teplice","7,00"
"Novosedly","1 162,00","112,00","196,00","404,00","375,00","35,00","40,00","66,00","Jihomoravský kraj","MIKULOV","Břeclav","16,00"
"Novosedly","353,00","48,00","60,00","108,00","109,00","16,00","12,00","5,00","Jihočeský kraj","STRAKONICE","Strakonice",NA
"Novosedly nad Nežárkou","611,00","98,00","77,00","204,00","194,00","18,00","20,00","28,00","Jihočeský kraj","TŘEBOŇ","Jindřichův Hradec","2,00"
"Nový Bor","12 236,00","1 634,00","1 757,00","3 929,00","4 020,00","470,00","426,00","406,00","Liberecký kraj","NOVÝ BOR","Česká Lípa","42,00"
"Nový Bydžov","7 167,00","1 094,00","1 084,00","2 273,00","2 249,00","244,00","223,00","286,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové","8,00"
"Nový Dům","141,00","19,00","16,00","45,00","51,00","5,00","5,00","4,00","Středočeský kraj","RAKOVNÍK","Rakovník","1,00"
"Nový Dvůr","70,00","10,00","8,00","24,00","23,00","2,00","3,00","4,00","Středočeský kraj","NYMBURK","Nymburk",NA
"Nový Hrádek","751,00","111,00","149,00","226,00","223,00","23,00","19,00","8,00","Královéhradecký kraj","NÁCHOD","Náchod","2,00"
"Nový Hrozenkov","2 748,00","379,00","406,00","971,00","851,00","74,00","67,00","113,00","Zlínský kraj","VSETÍN","Vsetín","7,00"
"Nový Jáchymov","607,00","101,00","86,00","187,00","198,00","17,00","18,00","10,00","Středočeský kraj","BEROUN","Beroun","4,00"
"Nový Jičín","26 071,00","3 341,00","3 847,00","8 404,00","8 741,00","879,00","859,00","917,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín","11,00"
"Nový Jimramov","65,00","19,00","6,00","13,00","24,00","1,00","2,00","6,00","Vysočina","NOVÉ MĚSTO NA MORAVĚ","Žďár nad Sázavou",NA
"Nový Knín","1 787,00","264,00","263,00","580,00","546,00","66,00","68,00","71,00","Středočeský kraj","DOBŘÍŠ","Příbram","14,00"
"Nový Kostel","543,00","64,00","94,00","191,00","165,00","18,00","11,00","24,00","Karlovarský kraj","CHEB","Cheb",NA
"Nový Kramolín","246,00","23,00","42,00","95,00","76,00","4,00","6,00","8,00","Plzeňský kraj","DOMAŽLICE","Domažlice",NA
"Nový Malín","3 008,00","285,00","582,00","1 024,00","980,00","67,00","70,00","135,00","Olomoucký kraj","ŠUMPERK","Šumperk","3,00"
"Nový Oldřichov","704,00","91,00","105,00","248,00","213,00","23,00","24,00","24,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa","3,00"
"Nový Ples","316,00","47,00","57,00","90,00","95,00","13,00","14,00","2,00","Královéhradecký kraj","JAROMĚŘ","Náchod",NA
"Nový Poddvorov","172,00","32,00","18,00","58,00","51,00","10,00","3,00","8,00","Jihomoravský kraj","HODONÍN","Hodonín",NA
"Nový Přerov","330,00","44,00","60,00","104,00","109,00","7,00","6,00","20,00","Jihomoravský kraj","MIKULOV","Břeclav","2,00"
"Nový Rychnov","956,00","151,00","139,00","312,00","306,00","24,00","24,00","20,00","Vysočina","PELHŘIMOV","Pelhřimov","2,00"
"Nový Šaldorf-Sedlešovice","1 099,00","105,00","192,00","356,00","368,00","39,00","39,00","55,00","Jihomoravský kraj","ZNOJMO","Znojmo","18,00"
"Nový Telečkov","101,00","14,00","16,00","36,00","29,00","4,00","2,00","1,00","Vysočina","TŘEBÍČ","Třebíč",NA
"Nový Vestec","333,00","56,00","44,00","114,00","88,00","12,00","19,00","3,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ","4,00"
"Nučice","1 188,00","167,00","191,00","383,00","388,00","28,00","31,00","8,00","Středočeský kraj","ČERNOŠICE","Praha-západ","47,00"
"Nučice","2","2","2","2","2","2","2","2","Středočeský kraj","ŘÍČANY","Kolín",NA
"Nupaky","305,00","17,00","52,00","112,00","114,00","5,00","5,00","0,00","Středočeský kraj","ŘÍČANY","Praha-východ","4,00"
"Nýdek","1 960,00","325,00","270,00","655,00","598,00","70,00","42,00","81,00","Moravskoslezský kraj","TŘINEC","Frýdek-Místek","3,00"
"Nyklovice","166,00","29,00","27,00","53,00","45,00","8,00","4,00","3,00","Vysočina","BYSTŘICE NAD  PERNŠT.","Žďár nad Sázavou",NA
"Nymburk","14 473,00","2 020,00","1 975,00","4 660,00","4 751,00","580,00","487,00","550,00","Středočeský kraj","NYMBURK","Nymburk","18,00"
"Nýřany","6 999,00","930,00","1 075,00","2 339,00","2 206,00","219,00","230,00","142,00","Plzeňský kraj","NÝŘANY","Plzeň-sever","19,00"
"Nýrov","202,00","40,00","34,00","67,00","50,00","6,00","5,00","5,00","Jihomoravský kraj","BOSKOVICE","Blansko","2,00"
"Nýrsko","5 132,00","582,00","767,00","1 770,00","1 677,00","178,00","158,00","166,00","Plzeňský kraj","KLATOVY","Klatovy","6,00"
"Občov","106,00","14,00","13,00","34,00","36,00","5,00","4,00","6,00","Středočeský kraj","PŘÍBRAM","Příbram","2,00"
"Obecnice","1 208,00","159,00","176,00","406,00","378,00","47,00","42,00","29,00","Středočeský kraj","PŘÍBRAM","Příbram",NA
"Obědkovice","264,00","44,00","46,00","79,00","82,00","6,00","7,00","10,00","Olomoucký kraj","PROSTĚJOV","Prostějov",NA
