"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet uchazečů o zaměstnání","kraj","orp","okres","Počet dokončených bytů"
"Světí","281,00","45,00","52,00","82,00","82,00","9,00","11,00","11,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové","2,00"
"Světice","900,00","81,00","148,00","297,00","311,00","29,00","34,00","7,00","Středočeský kraj","ŘÍČANY","Praha-východ","11,00"
"Světlá","217,00","28,00","30,00","84,00","67,00","4,00","4,00","10,00","Jihomoravský kraj","BOSKOVICE","Blansko","1,00"
"Světlá Hora","1 515,00","159,00","239,00","546,00","485,00","47,00","39,00","132,00","Moravskoslezský kraj","BRUNTÁL","Bruntál","4,00"
"Světlá nad Sázavou","6 972,00","808,00","939,00","2 506,00","2 330,00","198,00","191,00","179,00","Vysočina","SVĚTLÁ NAD SÁZAVOU","Havlíčkův Brod","18,00"
"Světlá pod Ještědem","896,00","156,00","132,00","283,00","259,00","32,00","34,00","32,00","Liberecký kraj","LIBEREC","Liberec","3,00"
"Světlík","262,00","20,00","56,00","91,00","81,00","10,00","4,00","30,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov",NA
"Světnov","423,00","66,00","69,00","135,00","126,00","12,00","15,00","15,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou","2,00"
"Sviadnov","1 466,00","226,00","219,00","465,00","443,00","61,00","52,00","55,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek","13,00"
"Svídnice","413,00","73,00","57,00","139,00","129,00","6,00","9,00","7,00","Pardubický kraj","CHRUDIM","Chrudim","2,00"
"Svídnice","194,00","31,00","34,00","63,00","60,00","1,00","5,00","5,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou",NA
"Švihov","1 612,00","251,00","223,00","517,00","481,00","75,00","65,00","39,00","Plzeňský kraj","KLATOVY","Klatovy",NA
"Švihov","53,00","9,00","12,00","18,00","10,00","2,00","2,00","3,00","Středočeský kraj","RAKOVNÍK","Rakovník",NA
"Svijanský Újezd","379,00","42,00","54,00","134,00","128,00","12,00","9,00","3,00","Liberecký kraj","TURNOV","Liberec",NA
"Svijany","302,00","46,00","36,00","102,00","97,00","12,00","9,00","6,00","Liberecký kraj","TURNOV","Liberec",NA
"Svinaře","392,00","48,00","66,00","130,00","123,00","10,00","15,00","12,00","Středočeský kraj","BEROUN","Beroun","10,00"
"Svinařov","662,00","99,00","95,00","216,00","217,00","22,00","13,00","18,00","Středočeský kraj","KLADNO","Kladno","2,00"
"Svinčany","377,00","48,00","67,00","126,00","111,00","11,00","14,00","11,00","Pardubický kraj","PŘELOUČ","Pardubice","2,00"
"Svinošice","279,00","44,00","59,00","86,00","77,00","6,00","7,00","11,00","Jihomoravský kraj","BLANSKO","Blansko","2,00"
"Sviny","322,00","43,00","40,00","117,00","106,00","9,00","7,00","8,00","Jihočeský kraj","SOBĚSLAV","Tábor","2,00"
"Sviny","105,00","20,00","16,00","33,00","34,00","0,00","2,00","3,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou",NA
"Svitávka","1 714,00","269,00","267,00","565,00","522,00","50,00","41,00","67,00","Jihomoravský kraj","BOSKOVICE","Blansko","2,00"
"Svitavy","17 201,00","2 271,00","2 542,00","5 499,00","5 682,00","631,00","576,00","798,00","Pardubický kraj","SVITAVY","Svitavy","37,00"
"Svoboda nad Úpou","2 141,00","323,00","267,00","711,00","670,00","97,00","73,00","85,00","Královéhradecký kraj","TRUTNOV","Trutnov",NA
"Svobodné Heřmanice","533,00","54,00","91,00","183,00","179,00","12,00","14,00","26,00","Moravskoslezský kraj","BRUNTÁL","Bruntál","1,00"
"Svojanov","362,00","89,00","53,00","95,00","95,00","16,00","14,00","5,00","Pardubický kraj","POLIČKA","Svitavy",NA
"Svojek","169,00","21,00","29,00","51,00","51,00","8,00","9,00","7,00","Liberecký kraj","JILEMNICE","Semily",NA
"Svojetice","637,00","68,00","109,00","217,00","207,00","20,00","16,00","12,00","Středočeský kraj","ŘÍČANY","Praha-východ","4,00"
