"obce","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","kraj","orp","okres"
"Zádolí","91,00","17,00","14,00","29,00","27,00","3,00","1,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Žádovice","764,00","109,00","96,00","280,00","246,00","12,00","21,00","Jihomoravský kraj","KYJOV","Hodonín"
"Zádub-Závišín","282,00","41,00","27,00","104,00","95,00","8,00","7,00","Karlovarský kraj","MARIÁNSKÉ LÁZNĚ","Cheb"
"Zádveřice-Raková","1 330,00","180,00","187,00","443,00","448,00","37,00","35,00","Zlínský kraj","VIZOVICE","Zlín"
"Zahájí","385,00","45,00","56,00","121,00","131,00","18,00","14,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Zahnašovice","332,00","63,00","41,00","116,00","94,00","10,00","8,00","Zlínský kraj","HOLEŠOV","Kroměříž"
"Zahořany","204,00","26,00","33,00","66,00","63,00","10,00","6,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Zahořany","904,00","144,00","121,00","317,00","285,00","24,00","13,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Zahorčice","68,00","18,00","8,00","25,00","15,00","1,00","1,00","Jihočeský kraj","STRAKONICE","Strakonice"
"Záhoří","513,00","76,00","98,00","154,00","146,00","21,00","18,00","Liberecký kraj","SEMILY","Semily"
"Záhoří","763,00","123,00","110,00","248,00","240,00","19,00","23,00","Jihočeský kraj","PÍSEK","Písek"
"Záhoří","61,00","17,00","4,00","19,00","16,00","0,00","5,00","Jihočeský kraj","TÁBOR","Tábor"
"Záhoří","117,00","23,00","18,00","39,00","34,00","1,00","2,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Záhornice","313,00","45,00","38,00","117,00","96,00","12,00","5,00","Středočeský kraj","PODĚBRADY","Nymburk"
"Záhorovice","1 065,00","154,00","172,00","362,00","337,00","21,00","19,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Zahrádka","126,00","22,00","11,00","47,00","39,00","2,00","5,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Zahrádka","131,00","18,00","20,00","46,00","42,00","2,00","3,00","Vysočina","NÁMĚŠŤ NAD OSLAVOU","Třebíč"
"Zahrádky","647,00","71,00","108,00","217,00","214,00","16,00","21,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Zahrádky","237,00","38,00","32,00","77,00","74,00","9,00","7,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Zaječí","1 414,00","130,00","244,00","498,00","467,00","43,00","32,00","Jihomoravský kraj","BŘECLAV","Břeclav"
"Zaječice","958,00","160,00","153,00","311,00","280,00","30,00","24,00","Pardubický kraj","CHRUDIM","Chrudim"
"Zaječov","1 360,00","214,00","177,00","453,00","416,00","56,00","44,00","Středočeský kraj","HOŘOVICE","Beroun"
"Zájezd","104,00","13,00","6,00","45,00","34,00","4,00","2,00","Středočeský kraj","KLADNO","Kladno"
"Zájezdec","115,00","18,00","24,00","35,00","32,00","1,00","5,00","Pardubický kraj","CHRUDIM","Chrudim"
"Zajíčkov","215,00","33,00","38,00","69,00","61,00","5,00","9,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Žákava","381,00","62,00","49,00","142,00","115,00","9,00","4,00","Plzeňský kraj","BLOVICE","Plzeň-jih"
"Zákolany","524,00","79,00","84,00","174,00","162,00","17,00","8,00","Středočeský kraj","KLADNO","Kladno"
"Žákovice","221,00","25,00","31,00","75,00","86,00","0,00","4,00","Olomoucký kraj","PŘEROV","Přerov"
"Zakřany","744,00","109,00","111,00","239,00","248,00","14,00","23,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Zákupy","2 788,00","373,00","541,00","890,00","848,00","75,00","61,00","Liberecký kraj","ČESKÁ LÍPA","Česká Lípa"
"Žáky","339,00","53,00","42,00","129,00","99,00","7,00","9,00","Středočeský kraj","ČÁSLAV","Kutná Hora"
"Žalany","470,00","60,00","70,00","158,00","156,00","15,00","11,00","Ústecký kraj","TEPLICE","Teplice"
"Zalešany","117,00","33,00","13,00","35,00","29,00","3,00","4,00","Středočeský kraj","KOLÍN","Kolín"
