"obce","Běžné výdaje","Celková plocha území obce","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet lůžek v ubytovacích zařízeních","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnik. subjektů - Administrativní a podpůrné činnosti","Počet podnik. subjektů - Činn.domác. jako zaměstnavatelů,činn.dom.produk.výr.a služ","Počet podnik. subjektů - Činnosti exteritoriálních organizací a orgánů","Počet podnik. subjektů - Činnosti v oblasti nemovitostí","Počet podnik. subjektů - Doprava a skladování","Počet podnik. subjektů - Informační a komunikační činnosti","Počet podnik. subjektů - Kulturní, zábavní a rekreační činnosti","Počet podnik. subjektů - Nezařazeno","Počet podnik. subjektů - Nezjištěno","Počet podnik. subjektů - Ostatní činnosti","Počet podnik. subjektů - Peněžnictví a pojišťovnictví","Počet podnik. subjektů - Profesní, vědecké a technické činnosti","Počet podnik. subjektů - Stavebnictví","Počet podnik. subjektů - Těžba a dobývání","Počet podnik. subjektů - Ubytování, stravování a pohostinství","Počet podnik. subjektů - Velkoobchod a maloobchod; opravy a údržba motorových vozid","Počet podnik. subjektů - Veřejná správa a obrana; povinné sociální zabezpečení","Počet podnik. subjektů - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného","Počet podnik. subjektů - Vzdělávání","Počet podnik. subjektů - Zásobování vodou; činnosti související s odp. vodami, odpa","Počet podnik. subjektů - Zdravotní a sociální péče","Počet podnik. subjektů - Zemědělství, lesnictví, rybářství","Počet podnik. subjektů - Zpracovatelský průmysl","Počet podnik. subjektů bez zaměstnanců","Počet podnik. subjektů s 1-9 zaměstnanci","Počet podnik. subjektů s 10 - 19 zaměstnanci","Počet podnik. subjektů s 100 - 249 zaměstnanci","Počet podnik. subjektů s 1000 - 2499 zaměstnanci","Počet podnik. subjektů s 20 - 49 zaměstnanci","Počet podnik. subjektů s 250 - 499 zaměstnanci","Počet podnik. subjektů s 2500 a více  zaměstnanci","Počet podnik. subjektů s 50 - 99 zaměstnanci","Počet podnik. subjektů s 500 - 999 zaměstnanci","Počet podnikatelských subjektů celkem","Počet pokojů v ubytovacích zařízeních","Počet ubytovacích zařízení","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Výměra chmelnic","Výměra lesní půdy","Výměra orné půdy","Výměra ostatních ploch","Výměra ovocných sadů","Výměra trvalých travních porostů","Výměra vinic","Výměra vodních ploch","Výměra zahrad","Výměra zastavěných ploch","Výměra zemědělské půdy","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Bakov nad Jizerou","59 020,85","2 700,83","64 215,01","8 708,39","156,24","5 247,25","12 156,17","2 828,51","2,00",NA,"5 158,00","917,00","828,00","1 427,00","1 638,00","190,00","158,00","19,00","0,00","0,00","21,00","25,00","27,00","31,00","29,00","616,00","117,00","30,00","110,00","114,00","0,00","73,00","267,00","3,00","8,00","14,00","2,00","11,00","45,00","119,00","376,00","56,00","7,00","1,00","0,00","2,00","1,00","0,00","5,00","1,00","1 065,00",NA,"2,00","64,00","11 536,91","88 064,33","121,00","23 796,23","76 527,42","64 268,10","0,00","541,16","1 348,37","274,32","6,77","318,45","0,00","68,18","70,90","72,68","1 744,49","143,00","53,00","57,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Baliny","1 845,90","489,03","1 502,74","0,00","6,64","76,13","135,10","391,05","0,00",NA,"123,00","25,00","20,00","36,00","35,00","5,00","2,00","1,00","0,00","0,00","0,00","3,00","0,00","0,00","2,00","12,00","1,00","2,00","2,00","4,00","0,00","2,00","1,00","2,00","0,00","0,00","0,00","0,00","3,00","4,00","12,00","2,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","27,00",NA,NA,"6,00","391,05","2 035,53","1,00","113,51","1 644,48","1 922,03","0,00","254,07","70,00","25,28","0,00","123,58","0,00","8,12","4,91","3,08","198,48","0,00","1,00","2,00","Vysočina","VELKÉ MEZIŘÍČÍ","Žďár nad Sázavou"
"Balkova Lhota","1 314,64","354,95","1 627,32","0,00","0,00","162,92","79,35","87,00","0,00",NA,"128,00","18,00","25,00","36,00","42,00","4,00","3,00","0,00","0,00","0,00","0,00","2,00","0,00","1,00","0,00","13,00","2,00","1,00","3,00","5,00","0,00","0,00","9,00","1,00","0,00","1,00","0,00","0,00","8,00","4,00","18,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","37,00",NA,NA,"5,00","87,00","1 793,67","3,00","316,11","1 706,67","1 477,56","0,00","12,54","223,65","32,81","0,00","53,66","0,00","16,69","9,25","6,36","286,55","5,00","0,00","1,00","Jihočeský kraj","TÁBOR","Tábor"
"Banín","5 454,37","1 291,88","4 770,85","2 253,16","17,85","458,75","786,98","205,60","0,00",NA,"318,00","57,00","45,00","86,00","100,00","15,00","15,00","1,00","0,00","0,00","1,00","2,00","1,00","0,00","1,00","38,00","3,00","3,00","4,00","14,00","0,00","6,00","13,00","2,00","0,00","1,00","0,00","0,00","8,00","6,00","21,00","6,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","66,00",NA,NA,"8,00","2 458,76","8 034,43","7,00","2 121,31","5 575,68","5 913,12","0,00","413,43","670,18","87,46","0,00","99,19","0,00","2,49","9,88","9,24","779,25","9,00","2,00","3,00","Pardubický kraj","SVITAVY","Svitavy"
"Bánov","22 887,35","1 617,75","24 626,60","1 287,22","634,49","8 247,98","4 331,69","2 609,13","3,00",NA,"2 098,00","380,00","312,00","587,00","658,00","75,00","86,00","5,00","0,00","0,00","6,00","21,00","6,00","8,00","6,00","281,00","47,00","11,00","40,00","94,00","0,00","25,00","116,00","2,00","12,00","5,00","1,00","3,00","18,00","107,00","203,00","38,00","8,00","1,00","0,00","2,00","0,00","0,00","0,00","0,00","533,00",NA,NA,"60,00","3 896,36","33 489,13","48,00","2 353,80","29 592,78","31 135,33","0,00","268,85","802,40","173,48","78,37","191,69","0,00","27,28","39,26","36,43","1 111,72","34,00","18,00","24,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Báňovice","1 347,51","479,75","1 595,50","181,65","0,00","347,41","265,22","87,00","0,00",NA,"103,00","22,00","11,00","31,00","33,00","1,00","5,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","7,00","0,00","2,00","1,00","5,00","0,00","0,00","3,00","1,00","0,00","1,00","0,00","0,00","6,00","1,00","11,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","21,00",NA,NA,"2,00","268,65","2 129,37","0,00","434,45","1 860,72","1 694,92","0,00","49,95","346,28","17,91","0,00","42,65","0,00","14,83","4,37","3,77","393,29","1,00","0,00","0,00","Jihočeský kraj","DAČICE","Jindřichův Hradec"
"Bantice","3 821,74","376,33","3 767,74","0,00","95,79","1 670,20","1 375,17","255,00","1,00",NA,"280,00","37,00","52,00","86,00","93,00","7,00","5,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00","2,00","46,00","4,00","4,00","2,00","15,00","0,00","5,00","14,00","1,00","0,00","2,00","1,00","0,00","7,00","13,00","16,00","4,00","2,00","0,00","0,00","2,00","0,00","0,00","2,00","0,00","72,00",NA,NA,"11,00","255,00","5 493,70","13,00","1,76","5 238,70","5 491,94","0,00","8,20","306,61","28,64","0,00","4,79","10,62","2,79","7,74","6,94","329,75","8,00","1,00","2,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Barchov","2 566,82","592,48","3 745,32","0,00","781,41","469,88","366,81","80,20","3,00",NA,"319,00","46,00","52,00","96,00","106,00","10,00","9,00","2,00","0,00","0,00","1,00","0,00","1,00","1,00","1,00","38,00","1,00","7,00","15,00","13,00","0,00","5,00","11,00","2,00","1,00","0,00","0,00","0,00","5,00","8,00","33,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","74,00",NA,NA,"11,00","80,20","4 973,73","16,00","1 937,04","4 893,53","3 036,70","0,00","161,51","358,37","26,15","0,11","18,45","0,00","10,28","9,25","8,36","386,18","13,00","0,00","4,00","Královéhradecký kraj","NOVÝ BYDŽOV","Hradec Králové"
"Barchov","2 300,00","442,15","2 301,62","88,94","141,31","127,05","201,67","186,90","1,00",NA,"189,00","27,00","24,00","54,00","70,00","5,00","9,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,00","30,00","2,00","5,00","7,00","3,00","0,00","2,00","14,00","2,00","0,00","0,00","0,00","0,00","9,00","11,00","23,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","59,00",NA,NA,"2,00","275,84","2 920,43","7,00","493,39","2 644,60","2 427,05","0,00","8,98","367,57","19,26","1,22","23,08","0,00","2,74","11,73","7,58","403,60","4,00","3,00","1,00","Pardubický kraj","PARDUBICE","Pardubice"
"Barchovice","3 750,04","1 774,41","3 906,56","0,00","55,50","185,15","159,84","72,56","0,00",NA,"224,00","45,00","35,00","63,00","67,00","7,00","7,00","1,00","0,00","0,00","0,00","2,00","0,00","1,00","2,00","40,00","4,00","0,00","3,00","12,00","0,00","2,00","17,00","2,00","0,00","0,00","0,00","0,00","8,00","8,00","20,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","62,00",NA,NA,"6,00","72,56","4 194,46","17,00","259,27","4 121,90","3 935,19","0,00","796,00","720,66","67,05","6,48","139,36","0,00","14,59","12,01","18,27","878,51","5,00","1,00","4,00","Středočeský kraj","KOLÍN","Kolín"
"Bařice-Velké Těšany","3 522,46","668,71","5 628,24","1 306,00","0,00","5 194,05","752,12","151,90","1,00",NA,"466,00","86,00","61,00","127,00","159,00","15,00","18,00","0,00","0,00","0,00","1,00","1,00","4,00","2,00","5,00","51,00","6,00","2,00","9,00","9,00","0,00","6,00","16,00","3,00","1,00","3,00","1,00","0,00","4,00","17,00","33,00","5,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","90,00",NA,NA,"17,00","1 457,90","7 838,26","11,00","-878,25","6 380,36","8 716,51","0,00","47,03","465,91","62,29","14,83","32,22","0,00","3,78","31,59","11,08","544,54","10,00","4,00","9,00","Zlínský kraj","KROMĚŘÍŽ","Kroměříž"
"Bartošovice","24 329,44","2 414,62","21 423,63","0,00","110,01","5 911,29","7 321,94","2 962,09","7,00",NA,"1 700,00","281,00","281,00","502,00","533,00","46,00","57,00","2,00","0,00","0,00","15,00","3,00","1,00","7,00","20,00","210,00","20,00","22,00","24,00","92,00","0,00","18,00","64,00","4,00","3,00","6,00","0,00","2,00","37,00","42,00","141,00","28,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","382,00",NA,"1,00","52,00","2 962,09","31 817,67","56,00","1 576,94","28 855,58","30 240,73","0,00","138,35","1 639,39","156,42","0,00","207,72","0,00","159,28","76,84","36,61","1 923,95","53,00","11,00","15,00","Moravskoslezský kraj","NOVÝ JIČÍN","Nový Jičín"
"Bartošovice v Orlických horách","8 363,64","3 560,54","5 013,00","1 336,25","614,85","1 686,38","1 696,49","611,32","0,00","340,00","208,00","30,00","38,00","60,00","65,00","10,00","5,00","1,00","0,00","0,00","2,00","1,00","1,00","1,00","0,00","31,00","9,00","1,00","4,00","7,00","0,00","8,00","4,00","2,00","0,00","2,00","1,00","0,00","10,00","7,00","22,00","6,00","1,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","61,00","92,00","10,00","1,00","1 947,57","9 271,91","3,00","-778,11","7 324,34","10 050,02","0,00","2 338,25","0,28","116,24","0,00","1 031,71","0,00","57,06","4,22","12,79","1 036,21","5,00","1,00","3,00","Královéhradecký kraj","RYCHNOV NAD KNĚŽNOU","Rychnov nad Kněžnou"
"Bartoušov","1 138,43","591,75","2 030,20","0,00","88,18","309,46","582,04","66,92","0,00",NA,"149,00","41,00","14,00","40,00","52,00","1,00","1,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00","13,00","0,00","1,00","1,00","4,00","0,00","2,00","3,00","2,00","0,00","1,00","1,00","0,00","3,00","1,00","6,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","22,00",NA,NA,"7,00","66,92","2 767,34","2,00","1 319,46","2 700,43","1 447,89","0,00","160,89","297,15","35,34","0,00","72,14","0,00","13,52","8,31","4,40","377,59","1,00","4,00","0,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Baška","36 448,43","1 283,37","43 854,30","6 599,71","3,30","4 678,48","9 351,86","1 628,71","9,00",NA,"3 799,00","690,00","587,00","1 102,00","1 164,00","135,00","121,00","8,00","0,00","0,00","16,00","23,00","11,00","15,00","52,00","468,00","60,00","26,00","107,00","102,00","0,00","37,00","220,00","4,00","8,00","13,00","3,00","3,00","31,00","117,00","305,00","73,00","2,00","1,00","0,00","7,00","0,00","0,00","0,00","0,00","856,00",NA,"1,00","114,00","8 228,42","61 437,87","115,00","20 310,97","53 209,45","41 126,90","0,00","264,23","423,16","174,85","2,26","174,95","0,00","72,59","121,38","49,97","721,74","101,00","30,00","45,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Bašnice","2 422,42","612,67","2 965,03","0,00","8,26","486,71","131,41","85,00","0,00",NA,"205,00","41,00","29,00","57,00","65,00","7,00","6,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","37,00","4,00","1,00","4,00","12,00","0,00","4,00","10,00","2,00","0,00","1,00","0,00","0,00","6,00","8,00","15,00","2,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","55,00",NA,NA,"9,00","85,00","3 189,70","10,00","280,57","3 104,70","2 909,13","0,00","146,86","379,52","34,99","0,14","32,92","0,00","3,09","6,61","8,53","419,20","3,00","4,00","2,00","Královéhradecký kraj","HOŘICE","Jičín"
"Bašť","13 536,18","780,81","23 076,95","500,00","2 757,78","3 839,14","1 298,59","386,60","64,00",NA,"2 335,00","184,00","560,00","716,00","769,00","48,00","58,00","15,00","0,00","0,00","36,00","28,00","22,00","16,00","15,00","290,00","41,00","16,00","91,00","61,00","0,00","29,00","149,00","1,00","3,00","6,00","2,00","1,00","14,00","41,00","241,00","55,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","587,00",NA,NA,"35,00","886,60","28 019,92","262,00","10 644,61","27 133,32","17 375,31","0,00","154,36","511,22","50,74","4,24","3,78","0,00","4,28","33,92","18,27","553,15","84,00","5,00","36,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Batelov","26 394,25","4 269,87","30 837,12","3 000,00","291,87","7 358,76","3 236,47","3 735,42","3,00",NA,"2 363,00","469,00","366,00","669,00","724,00","72,00","63,00","4,00","0,00","0,00","8,00","7,00","5,00","12,00","8,00","222,00","32,00","22,00","43,00","54,00","1,00","16,00","64,00","7,00","0,00","5,00","1,00","3,00","44,00","53,00","133,00","26,00","5,00","0,00","0,00","2,00","0,00","0,00","1,00","0,00","389,00",NA,NA,"47,00","6 735,42","41 100,87","64,00","7 347,87","34 365,46","33 753,01","0,00","1 615,68","1 671,53","324,13","1,30","512,76","0,00","58,95","38,69","46,84","2 224,28","50,00","18,00","25,00","Vysočina","JIHLAVA","Jihlava"
"Batňovice","6 792,51","446,68","8 901,02","2 937,00","107,54","5 187,15","430,50","766,83","4,00",NA,"764,00","138,00","121,00","208,00","238,00","28,00","31,00","2,00","0,00","0,00","1,00","10,00","2,00","5,00","5,00","102,00","13,00","7,00","11,00","29,00","0,00","8,00","42,00","3,00","2,00","4,00","1,00","1,00","19,00","24,00","67,00","11,00","7,00","0,00","0,00","1,00","0,00","0,00","1,00","0,00","189,00",NA,NA,"14,00","3 703,83","13 142,89","37,00","1 163,23","9 439,06","11 979,65","0,00","93,15","159,84","34,73","0,00","101,90","0,00","3,72","39,98","13,35","301,73","33,00","10,00","13,00","Královéhradecký kraj","TRUTNOV","Trutnov"
"Bavorov","25 646,47","3 540,91","21 371,20","4 056,00","229,92","7 111,49","6 763,69","3 398,17","1,00",NA,"1 605,00","305,00","256,00","449,00","475,00","63,00","57,00","3,00","0,00","0,00","7,00","2,00","3,00","3,00","18,00","246,00","36,00","11,00","28,00","59,00","0,00","18,00","55,00","4,00","7,00","9,00","1,00","2,00","69,00","50,00","127,00","9,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","385,00",NA,"2,00","50,00","7 454,17","35 818,97","47,00","3 061,01","28 364,81","32 757,96","0,00","953,60","1 600,47","264,18","17,28","510,55","0,00","114,16","37,12","43,56","2 165,41","46,00","16,00","21,00","Jihočeský kraj","VODŇANY","Strakonice"
"Bavory","3 834,31","500,36","4 569,73","200,00","17,36","725,52","420,58","426,22","1,00",NA,"401,00","62,00","65,00","112,00","125,00","19,00","18,00","1,00","0,00","0,00","0,00","2,00","0,00","1,00","0,00","41,00","10,00","1,00","3,00","20,00","0,00","9,00","13,00","1,00","0,00","0,00","0,00","0,00","20,00","11,00","42,00","8,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","92,00",NA,NA,"19,00","626,22","5 633,88","7,00","1 074,05","5 007,66","4 559,83","0,00","30,02","259,61","69,22","1,94","7,71","105,93","6,09","10,94","8,90","386,13","11,00","6,00","3,00","Jihomoravský kraj","MIKULOV","Břeclav"
"Bavoryně","1 337,27","222,38","2 746,51","9 420,00","31,00","15 619,85","192,06","159,64","4,00",NA,"309,00","46,00","61,00","88,00","94,00","11,00","9,00","2,00","0,00","0,00","0,00","3,00","0,00","1,00","4,00","43,00","4,00","4,00","11,00","14,00","0,00","3,00","19,00","2,00","1,00","0,00","0,00","1,00","6,00","4,00","28,00","6,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","79,00",NA,NA,"7,00","9 579,64","12 549,21","25,00","-4 407,92","2 969,57","16 957,12","0,00","6,08","153,22","31,27","2,77","15,37","0,00","3,45","5,37","4,86","176,73","6,00","0,00","4,00","Středočeský kraj","BEROUN","Beroun"
"Bdeněves","4 683,63","476,28","6 955,33","600,00","147,34","1 558,56","393,54","714,45","3,00",NA,"650,00","92,00","123,00","196,00","213,00","12,00","14,00","9,00","0,00","0,00","4,00","3,00","2,00","3,00","5,00","87,00","13,00","6,00","12,00","19,00","0,00","11,00","32,00","2,00","6,00","0,00","2,00","0,00","12,00","12,00","55,00","11,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","153,00",NA,NA,"13,00","1 314,45","8 810,65","11,00","2 568,46","7 496,20","6 242,19","0,00","22,84","332,62","47,89","5,22","27,52","0,00","10,56","19,89","9,74","385,25","21,00","10,00","8,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Bdín","834,25","211,65","778,94","0,00","0,00","0,00","81,15","64,50","0,00",NA,"67,00","14,00","15,00","22,00","11,00","3,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","12,00","0,00","1,00","1,00","1,00","0,00","1,00","5,00","2,00","1,00","0,00","0,00","0,00","1,00","3,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","16,00",NA,NA,"1,00","64,50","924,58","3,00","90,34","860,08","834,25","0,21","33,73","128,45","13,30","1,23","24,44","0,00","2,18","3,72","4,39","158,06","1,00","0,00","0,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Běchary","3 419,74","879,29","4 368,58","0,00","0,00","428,65","440,18","389,52","0,00",NA,"279,00","46,00","52,00","87,00","80,00","7,00","7,00","0,00","0,00","0,00","1,00","0,00","0,00","3,00","0,00","24,00","2,00","2,00","3,00","8,00","0,00","5,00","3,00","2,00","0,00","1,00","0,00","0,00","5,00","5,00","13,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","40,00",NA,NA,"6,00","389,52","5 198,28","9,00","1 349,89","4 808,76","3 848,39","0,00","72,72","674,68","40,21","6,73","52,19","0,00","8,42","7,81","16,53","741,41","1,00","2,00","5,00","Královéhradecký kraj","JIČÍN","Jičín"
"Bechlín","13 392,08","1 524,30","14 449,09","300,00","0,00","1 988,64","917,14","1 423,90","2,00",NA,"1 251,00","207,00","201,00","358,00","371,00","57,00","57,00","6,00","0,00","0,00","3,00","7,00","2,00","8,00","2,00","160,00","19,00","9,00","13,00","44,00","0,00","20,00","68,00","3,00","3,00","5,00","2,00","0,00","18,00","33,00","85,00","16,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","265,00",NA,NA,"29,00","1 723,90","17 090,13","36,00","1 709,41","15 366,23","15 380,72","29,37","386,93","824,43","141,88","52,78","22,96","8,59","5,35","28,65","23,37","966,77","30,00","9,00","11,00","Ústecký kraj","ROUDNICE NAD LABEM","Litoměřice"
"Bechyně","99 358,84","2 129,30","76 042,30","1 073,30","9 249,53","31 994,26","44 719,54","6 379,35","2,00","881,00","5 129,00","1 045,00","713,00","1 428,00","1 524,00","206,00","213,00","27,00","0,00","0,00","79,00","27,00","7,00","46,00","69,00","728,00","115,00","62,00","119,00","138,00","0,00","65,00","234,00","3,00","3,00","23,00","4,00","24,00","42,00","147,00","401,00","84,00","8,00","2,00","0,00","8,00","0,00","0,00","3,00","0,00","1 234,00","415,00","8,00","186,00","7 452,65","137 464,01","132,00","6 110,91","130 011,36","131 353,11","0,00","678,03","910,09","198,98","0,90","161,43","0,00","60,87","66,25","52,76","1 138,67","131,00","70,00","44,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","720,06","324,36","987,34","0,00","209,00","473,45","56,89","87,00","0,00",NA,"74,00","19,00","7,00","16,00","28,00","1,00","3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","13,00","2,00","0,00","2,00","5,00","0,00","4,00","4,00","1,00","0,00","0,00","0,00","0,00","2,00","5,00","12,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26,00",NA,"2,00","6,00","87,00","1 340,23","4,00","146,72","1 253,23","1 193,51","0,00","142,19","138,02","14,57","0,00","23,50","0,00","0,14","2,76","3,18","164,28","3,00","2,00","1,00","Jihočeský kraj","TÁBOR","Tábor"
"Bečice","1 691,84","440,34","1 427,42","190,00","0,00","1 238,30","412,03","81,40","0,00",NA,"98,00","20,00","12,00","29,00","31,00","3,00","3,00","0,00","0,00","0,00","0,00","1,00","1,00","1,00","0,00","15,00","0,00","1,00","1,00","2,00","0,00","0,00","7,00","2,00","0,00","0,00","0,00","0,00","3,00","3,00","4,00","2,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","22,00",NA,NA,"2,00","271,40","2 110,85","5,00","-819,29","1 839,45","2 930,14","0,00","108,68","240,75","24,49","0,00","39,22","0,00","15,96","5,99","5,26","285,96","1,00","1,00","2,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Bečov","38 639,57","2 822,87","19 197,74","0,00","612,45","4 349,40","23 148,64","2 777,58","1,00",NA,"1 434,00","203,00","247,00","425,00","444,00","63,00","52,00","2,00","0,00","0,00","14,00","6,00","4,00","5,00","5,00","135,00","13,00","15,00","13,00","35,00","0,00","13,00","53,00","2,00","2,00","1,00","0,00","2,00","9,00","16,00","57,00","15,00","1,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","210,00",NA,"1,00","84,00","2 777,58","45 736,41","54,00","2 747,43","42 958,83","42 988,97","0,00","60,37","1 782,85","544,51","30,90","318,10","0,00","47,29","25,63","13,21","2 157,49","96,00","17,00","18,00","Ústecký kraj","MOST","Most"
