"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Hranice","337 139,47","219 963,05","9 211,00","30 667,18","79 887,63","40 106,88","132 144,11","33,00","19 302,00","2 735,00","2 806,00","6 336,00","6 261,00","638,00","526,00","4 112,00","663,00","141 355,11","432 092,22","335,00","15 065,12","290 737,11","417 027,10","440,00","211,00","203,00","Olomoucký kraj","HRANICE","Přerov"
"Hranice","23 919,80","19 700,10","430,40","4 554,67","4 493,87","7 332,22","1 653,17","1,00","2 212,00","346,00","292,00","737,00","707,00","71,00","59,00","397,00","87,00","2 083,57","33 670,56","65,00","5 256,89","31 586,99","28 413,67","70,00","37,00","22,00","Karlovarský kraj","AŠ","Cheb"
"Hraničné Petrovice","1 921,00","1 724,88","350,00","110,62","638,97","541,03","83,29",NA,"142,00","24,00","16,00","51,00","43,00","3,00","5,00","28,00","6,00","433,29","2 809,82","1,00","249,85","2 376,53","2 559,97","0,00","0,00","2,00","Olomoucký kraj","ŠTERNBERK","Olomouc"
"Hrazany","1 980,01","2 488,96","0,00","257,37","32,06","310,30","284,10","2,00","291,00","49,00","53,00","95,00","74,00","11,00","9,00","66,00","10,00","284,10","3 340,73","4,00","1 328,66","3 056,63","2 012,07","0,00","2,00","3,00","Jihočeský kraj","MILEVSKO","Písek"
"Hrčava","4 108,26","1 831,47","0,00","0,00","90,79","261,89","2 134,35",NA,"250,00","39,00","40,00","84,00","74,00","7,00","6,00","54,00","9,00","2 134,35","4 227,71","2,00","28,66","2 093,36","4 199,05","3,00","1,00","3,00","Moravskoslezský kraj","JABLUNKOV","Frýdek-Místek"
"Hrdějovice","16 994,14","15 141,55","0,00","56,64","3 692,57","1 596,92","4 750,18","10,00","1 594,00","168,00","215,00","560,00","557,00","43,00","51,00","442,00","26,00","4 750,18","21 545,29","37,00","858,58","16 795,11","20 686,71","33,00","4,00","9,00","Jihočeský kraj","ČESKÉ BUDĚJOVICE","České Budějovice"
"Hrdibořice","1 816,49","2 134,36","0,00","0,00","49,05","223,35","248,35",NA,"221,00","34,00","26,00","78,00","71,00","5,00","7,00","50,00","3,00","248,35","2 606,06","6,00","740,52","2 357,71","1 865,54","12,00","4,00","2,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Hrdlív","3 358,20","2 974,17","3,58","536,73","359,99","482,01","304,76","2,00","435,00","61,00","68,00","142,00","131,00","15,00","18,00","84,00","7,00","308,34","4 301,25","24,00","583,06","3 992,91","3 718,19","16,00","1,00","7,00","Středočeský kraj","SLANÝ","Kladno"
"Hrdlořezy","4 022,47","5 345,74","134,00","7,33","365,73","127,31","42,05","13,00","734,00","85,00","103,00","289,00","214,00","22,00","21,00","134,00","7,00","176,05","5 656,43","127,00","1 268,23","5 480,38","4 388,20","22,00","5,00","8,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Hřebeč","9 944,56","11 298,62","4 385,12","2 678,31","12 162,10","1 617,87","1 652,10","8,00","1 573,00","168,00","285,00","542,00","483,00","47,00","48,00","324,00","39,00","6 037,22","21 632,02","109,00","-474,64","15 594,80","22 106,66","38,00","19,00","22,00","Středočeský kraj","KLADNO","Kladno"
"Hřebečníky","2 465,66","4 037,79","0,00","102,00","252,25","162,88","218,87",NA,"378,00","55,00","31,00","171,00","105,00","7,00","9,00","58,00","10,00","218,87","4 521,54","43,00","1 803,63","4 302,67","2 717,91","57,00","2,00","3,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Hředle","3 955,24","4 895,26","0,00","28,00","0,00","890,08","387,62",NA,"579,00","91,00","87,00","185,00","172,00","17,00","27,00","108,00","18,00","387,62","6 200,96","14,00","2 245,72","5 813,34","3 955,24","19,00","7,00","10,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Hředle","1 967,10","3 100,50","3 412,56","0,00","4 745,62","174,63","33,40","1,00","351,00","61,00","61,00","106,00","97,00","14,00","12,00","85,00","2,00","3 445,96","6 721,09","22,00","8,37","3 275,13","6 712,72","7,00","5,00","6,00","Středočeský kraj","HOŘOVICE","Beroun"
"Hrejkovice","4 827,66","4 454,28","0,00","11,19","374,18","1 097,52","363,18",NA,"471,00","89,00","68,00","145,00","130,00","20,00","19,00","119,00","20,00","363,18","5 926,17","9,00","724,33","5 562,99","5 201,84","11,00","3,00","5,00","Jihočeský kraj","MILEVSKO","Písek"
"Hřensko","8 075,45","4 627,23","0,00","37,79","477,13","2 110,59","2 078,46",NA,"335,00","15,00","38,00","172,00","90,00","5,00","15,00","244,00","5,00","2 078,46","8 854,07","40,00","301,49","6 775,61","8 552,58","63,00","0,00","2,00","Ústecký kraj","DĚČÍN","Děčín"
"Hřibiny-Ledská","2 177,52","2 542,23","625,00","0,00","3 704,36","204,06","5 541,09","2,00","363,00","64,00","53,00","122,00","111,00","6,00","7,00","81,00","9,00","6 166,09","8 912,38","19,00","3 030,50","2 746,29","5 881,88","5,00","1,00","6,00","Královéhradecký kraj","KOSTELEC NAD ORLICÍ","Rychnov nad Kněžnou"
"Hřibojedy","1 605,37","1 883,19","137,00","10,07","223,66","215,13","107,35","1,00","211,00","22,00","34,00","63,00","67,00","12,00","13,00","40,00","5,00","244,35","2 352,74","10,00","523,71","2 108,39","1 829,03","6,00","2,00","2,00","Královéhradecký kraj","DVŮR KRÁLOVÉ N. LAB.","Trutnov"
"Hřiměždice","3 669,26","3 498,94","180,00","6,30","391,69","579,03","340,13",NA,"390,00","68,00","57,00","133,00","106,00","14,00","12,00","113,00","16,00","520,13","4 604,40","11,00","543,45","4 084,27","4 060,95","11,00","1,00","3,00","Středočeský kraj","DOBŘÍŠ","Příbram"
