"obce","Běžné výdaje","Daňové příjmy","Investiční přijaté dotace","Kapitálové příjmy","Kapitálové výdaje","Nedaňové příjmy","Neinvestiční přijaté dotace","Počet dokončených bytů","Počet obyvatel","Počet obyvatel nad 65 let","Počet obyvatel ve věku 0 až 14 let","Počet obyvatel ve věku 15-59 muži","Počet obyvatel ve věku 15-59 ženy","Počet obyvatel ve věku 60-64 let ženy","Počet obyvatel ve věku 60-64 muži","Počet podnikatelských subjektů celkem","Počet uchazečů o zaměstnání","Přijaté dotace","Příjmy","Přistěhovalí celkem","Saldo příjmů a výdajů","Vlastní příjmy","Výdaje celkem","Vystěhovalí celkem","Zemřelí celkem","Živě narození celkem","kraj","orp","okres"
"Vřesník","845,17","824,85","0,00","0,00","121,80","186,24","27,20","2,00","99,00","11,00","18,00","33,00","30,00","3,00","4,00","29,00","3,00","27,20","1 038,29","6,00","71,32","1 011,09","966,97","3,00","1,00","0,00","Královéhradecký kraj","HOŘICE","Jičín"
"Vřesová","6 284,64","7 739,04","0,00","1,55","1 325,39","933,15","203,46",NA,"509,00","26,00","114,00","208,00","139,00","8,00","14,00","44,00","56,00","203,46","8 877,20","22,00","1 267,17","8 673,74","7 610,03","30,00","3,00","4,00","Karlovarský kraj","SOKOLOV","Sokolov"
"Vřesovice","3 647,10","4 345,18","700,00","4 301,70","3 105,58","864,42","292,55","1,00","477,00","79,00","105,00","142,00","125,00","15,00","11,00","90,00","10,00","992,55","10 503,85","14,00","3 751,17","9 511,30","6 752,68","4,00","6,00","4,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vřesovice","4 549,19","4 738,73","0,00","0,00","32,13","350,48","69,20",NA,"588,00","118,00","66,00","196,00","169,00","17,00","22,00","105,00","31,00","69,20","5 158,41","8,00","577,09","5 089,21","4 581,32","7,00","6,00","5,00","Jihomoravský kraj","KYJOV","Hodonín"
"Vrhaveč","8 248,57","7 598,82","800,00","4 670,01","6 881,52","2 142,35","334,85","3,00","906,00","132,00","127,00","310,00","277,00","30,00","30,00","199,00","18,00","1 134,85","15 546,03","30,00","415,94","14 411,18","15 130,09","25,00","2,00","5,00","Plzeňský kraj","KLATOVY","Klatovy"
"Vroutek","15 266,44","21 323,62","0,00","1 126,62","2 266,17","2 887,13","1 599,63","1,00","2 017,00","294,00","290,00","714,00","605,00","57,00","57,00","339,00","107,00","1 599,63","26 937,00","77,00","9 404,39","25 337,37","17 532,61","56,00","23,00","23,00","Ústecký kraj","PODBOŘANY","Louny"
"Vršce","2 375,15","2 169,23","0,00","601,68","173,25","408,19","69,24",NA,"227,00","24,00","42,00","80,00","70,00","4,00","7,00","39,00","8,00","69,24","3 248,34","9,00","699,94","3 179,10","2 548,40","7,00","3,00","3,00","Královéhradecký kraj","JIČÍN","Jičín"
"Vrskmaň","3 539,85","3 671,38","270,00","379,97","1 519,33","793,31","591,17","1,00","237,00","26,00","19,00","91,00","85,00","7,00","9,00","51,00","13,00","861,17","5 705,83","6,00","646,65","4 844,66","5 059,18","7,00","6,00","1,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Vršovice","2 909,14","2 316,36","659,78","0,00","1 290,83","144,16","273,70","1,00","264,00","45,00","29,00","81,00","83,00","9,00","17,00","46,00","12,00","933,48","3 394,00","3,00","-805,97","2 460,52","4 199,97","8,00","6,00","2,00","Ústecký kraj","LOUNY","Louny"
"Vršovice","3 231,43","4 338,64","490,44","0,00","3 762,13","143,61","100,50","2,00","485,00","64,00","91,00","170,00","143,00","8,00","9,00","88,00","19,00","590,94","5 073,19","13,00","-1 920,37","4 482,25","6 993,56","5,00","5,00","7,00","Moravskoslezský kraj","OPAVA","Opava"
"Vršovka","772,09","925,21","134,00","0,00","596,46","78,98","27,20",NA,"106,00","15,00","14,00","33,00","36,00","5,00","3,00","21,00","1,00","161,20","1 165,39","2,00","-203,16","1 004,19","1 368,55","2,00","4,00","0,00","Královéhradecký kraj","NOVÉ MĚSTO NAD METUJÍ","Náchod"
"Vrutice","4 648,22","2 717,00","0,00","253,60","0,00","615,44","1 272,84",NA,"298,00","51,00","60,00","90,00","82,00","8,00","7,00","66,00","18,00","1 272,84","4 858,88","11,00","210,66","3 586,04","4 648,22","5,00","2,00","6,00","Ústecký kraj","LITOMĚŘICE","Litoměřice"
"Všechlapy","3 611,45","4 765,20","1 845,00","104,05","3 855,11","284,45","140,05","3,00","642,00","88,00","99,00","195,00","212,00","25,00","23,00","134,00","26,00","1 985,05","7 138,75","33,00","-327,81","5 153,70","7 466,56","14,00","7,00","6,00","Středočeský kraj","NYMBURK","Nymburk"
"Všechlapy","3 557,84","1 001,33","0,00","1 035,94","320,80","324,91","1 975,62",NA,"81,00","18,00","13,00","19,00","26,00","1,00","4,00","24,00","0,00","1 975,62","4 337,80","4,00","459,16","2 362,18","3 878,64","1,00","0,00","0,00","Středočeský kraj","VLAŠIM","Benešov"
"Všechovice","1 371,39","1 931,13","485,00","2 749,55","896,66","185,40","38,00","3,00","209,00","40,00","33,00","65,00","62,00","5,00","4,00","40,00","5,00","523,00","5 389,08","9,00","3 121,03","4 866,08","2 268,05","17,00","0,00","4,00","Jihomoravský kraj","TIŠNOV","Brno-venkov"
"Všechovice","9 479,79","7 303,38","487,00","719,40","1 456,52","1 258,89","2 576,57","5,00","876,00","122,00","136,00","296,00","269,00","25,00","28,00","169,00","22,00","3 063,57","12 345,24","16,00","1 408,93","9 281,67","10 936,31","16,00","7,00","6,00","Olomoucký kraj","HRANICE","Přerov"
"Všehrdy","1 224,51","1 336,74","0,00","127,75","107,10","18,10","179,83","1,00","119,00","7,00","13,00","52,00","37,00","3,00","7,00","35,00","5,00","179,83","1 662,42","3,00","330,81","1 482,59","1 331,61","12,00","0,00","1,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Všehrdy","935,00","750,43","0,00","0,00","166,75","173,82","227,20",NA,"56,00","4,00","9,00","22,00","19,00","1,00","1,00","24,00","3,00","227,20","1 151,45","0,00","49,70","924,25","1 101,75","4,00","0,00","0,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Všejany","4 755,04","5 453,72","0,00","0,78","1 156,73","723,99","240,02","3,00","593,00","86,00","73,00","201,00","180,00","20,00","33,00","116,00","18,00","240,02","6 418,51","26,00","506,74","6 178,49","5 911,77","19,00","3,00","2,00","Středočeský kraj","MLADÁ BOLESLAV","Mladá Boleslav"
"Všekary","1 061,27","1 131,47","150,00","2 231,00","1 452,55","974,04","27,20","3,00","87,00","17,00","13,00","27,00","25,00","2,00","3,00","15,00","2,00","177,20","4 513,71","3,00","1 999,89","4 336,51","2 513,82","2,00","0,00","0,00","Plzeňský kraj","STOD","Domažlice"
"Všelibice","7 485,79","5 699,87","0,00","0,00","781,27","2 598,53","380,54","1,00","525,00","82,00","62,00","184,00","158,00","18,00","21,00","145,00","15,00","380,54","8 678,94","13,00","411,88","8 298,40","8 267,06","9,00","7,00","4,00","Liberecký kraj","LIBEREC","Liberec"
"Všemina","6 240,93","9 141,16","380,00","38,65","3 317,22","1 187,57","236,74","1,00","1 118,00","147,00","173,00","377,00","358,00","30,00","33,00","299,00","17,00","616,74","10 984,12","31,00","1 425,97","10 367,38","9 558,15","14,00","10,00","15,00","Zlínský kraj","VIZOVICE","Zlín"
"Všemyslice","10 585,02","9 098,24","120,00","4 527,64","3 595,29","3 881,53","667,09",NA,"963,00","114,00","133,00","352,00","301,00","35,00","28,00","231,00","21,00","787,09","18 294,50","30,00","4 114,19","17 507,41","14 180,31","32,00","15,00","13,00","Jihočeský kraj","TÝN NAD VLTAVOU","České Budějovice"
"Všeň","7 352,34","5 181,33","150,00","250,00","518,57","1 297,07","969,29",NA,"530,00","84,00","66,00","171,00","168,00","22,00","19,00","117,00","21,00","1 119,29","7 847,69","30,00","-23,22","6 728,40","7 870,91","25,00","6,00","8,00","Liberecký kraj","TURNOV","Semily"
"Všenice","2 570,31","3 087,58","0,00","0,00","481,95","298,32","282,20",NA,"248,00","42,00","39,00","75,00","73,00","13,00","6,00","66,00","5,00","282,20","3 668,10","6,00","615,84","3 385,90","3 052,26","6,00","1,00","6,00","Plzeňský kraj","ROKYCANY","Rokycany"
"Všenory","13 988,06","14 248,87","3 254,00","3 285,44","12 106,13","824,77","2 355,88","3,00","1 555,00","268,00","243,00","482,00","435,00","72,00","55,00","499,00","12,00","5 609,88","23 968,96","69,00","-2 125,23","18 359,08","26 094,19","50,00","21,00","15,00","Středočeský kraj","ČERNOŠICE","Praha-západ"
"Všepadly","1 916,80","709,37","0,00","172,83","0,00","176,82","27,20",NA,"52,00","10,00","4,00","20,00","11,00","3,00","4,00","14,00","3,00","27,20","1 086,22","0,00","-830,58","1 059,02","1 916,80","0,00","1,00","0,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Všeradice","6 263,22","4 701,75","0,00","396,39","1 101,75","1 006,12","314,51","1,00","407,00","52,00","61,00","138,00","125,00","16,00","15,00","127,00","6,00","314,51","6 418,77","11,00","-946,20","6 104,26","7 364,97","22,00","3,00","1,00","Středočeský kraj","BEROUN","Beroun"
"Všeradov","1 036,03","1 436,24","0,00","0,00","0,00","104,64","79,20",NA,"156,00","34,00","15,00","52,00","42,00","2,00","11,00","30,00","10,00","79,20","1 620,08","2,00","584,05","1 540,88","1 036,03","3,00","0,00","1,00","Pardubický kraj","HLINSKO","Chrudim"
"Všeruby","4 621,80","8 615,24","250,00","0,00","5 638,28","673,28","173,46","1,00","841,00","97,00","127,00","308,00","258,00","25,00","26,00","160,00","27,00","423,46","9 711,98","31,00","-548,10","9 288,52","10 260,08","17,00","3,00","6,00","Plzeňský kraj","DOMAŽLICE","Domažlice"
"Všeruby","15 970,77","13 686,87","2 900,00","686,86","8 794,87","5 574,57","3 597,83",NA,"1 116,00","99,00","223,00","381,00","356,00","31,00","26,00","231,00","42,00","6 497,83","26 446,13","60,00","1 680,49","19 948,30","24 765,64","45,00","4,00","16,00","Plzeňský kraj","NÝŘANY","Plzeň-sever"
"Všestary","13 008,13","13 897,48","0,00","7,80","6 573,42","2 732,92","1 791,68","6,00","1 639,00","225,00","284,00","529,00","504,00","46,00","51,00","355,00","29,00","1 791,68","18 429,88","33,00","-1 151,67","16 638,20","19 581,55","49,00","11,00","22,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Všestary","3 457,76","4 484,39","11 310,00","4 154,63","21 038,85","779,50","117,97","11,00","605,00","80,00","115,00","197,00","168,00","21,00","24,00","188,00","3,00","11 427,97","20 846,49","36,00","-3 650,12","9 418,52","24 496,61","15,00","5,00","15,00","Středočeský kraj","ŘÍČANY","Praha-východ"
"Všestudy","2 083,73","2 153,20","0,00","95,00","0,00","47,12","371,29","1,00","177,00","14,00","38,00","54,00","59,00","5,00","7,00","36,00","10,00","371,29","2 666,61","11,00","582,88","2 295,32","2 083,73","12,00","2,00","2,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Všestudy","4 627,67","2 692,18","550,00","62,50","1 002,57","694,23","166,13",NA,"314,00","55,00","30,00","106,00","102,00","7,00","14,00","71,00","7,00","716,13","4 165,04","17,00","-1 465,20","3 448,91","5 630,24","13,00","8,00","8,00","Středočeský kraj","KRALUPY NAD VLTAVOU","Mělník"
"Všesulov","856,42","1 082,27","0,00","50,00","223,01","134,19","49,34",NA,"134,00","8,00","19,00","51,00","47,00","4,00","5,00","26,00","3,00","49,34","1 315,80","28,00","236,37","1 266,46","1 079,43","7,00","2,00","0,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Všetaty","12 068,99","18 906,38","170,80","123,25","10 234,49","1 962,33","1 712,77","1,00","2 155,00","293,00","319,00","693,00","668,00","89,00","93,00","518,00","65,00","1 883,57","22 875,53","76,00","572,05","20 991,96","22 303,48","59,00","29,00","34,00","Středočeský kraj","NERATOVICE","Mělník"
"Všetaty","2 162,92","2 583,74","0,00","7,50","0,00","222,24","175,63",NA,"315,00","48,00","47,00","108,00","94,00","7,00","11,00","54,00","12,00","175,63","2 989,11","5,00","826,19","2 813,48","2 162,92","3,00","6,00","5,00","Středočeský kraj","RAKOVNÍK","Rakovník"
"Vsetín","494 060,24","324 404,48","126 245,49","47 724,73","206 660,03","82 875,11","221 764,19","16,00","27 759,00","4 173,00","3 876,00","8 749,00","8 998,00","1 119,00","844,00","6 175,00","1 241,00","348 009,68","803 014,00","254,00","102 293,73","455 004,32","700 720,27","514,00","267,00","323,00","Zlínský kraj","VSETÍN","Vsetín"
"Vševily","1 075,94","1 437,04","0,00","12,99","179,35","200,13","1 301,31",NA,"121,00","23,00","19,00","33,00","37,00","4,00","5,00","18,00","7,00","1 301,31","2 951,47","6,00","1 696,18","1 650,16","1 255,29","0,00","2,00","3,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vstiš","4 435,95","4 208,23","0,00","2 040,47","573,45","270,04","209,80","3,00","438,00","53,00","65,00","156,00","130,00","15,00","19,00","60,00","12,00","209,80","6 728,54","32,00","1 719,14","6 518,74","5 009,40","15,00","0,00","3,00","Plzeňský kraj","STOD","Plzeň-jih"
"Výčapy","5 793,52","7 590,00","228,50","1,11","3 021,19","704,90","457,02","1,00","871,00","85,00","156,00","304,00","273,00","22,00","31,00","157,00","36,00","685,52","8 981,53","20,00","166,82","8 296,01","8 814,71","21,00","10,00","5,00","Vysočina","TŘEBÍČ","Třebíč"
"Vydří","950,76","1 279,02","0,00","10,62","112,29","254,13","36,20",NA,"125,00","24,00","17,00","41,00","34,00","3,00","6,00","26,00","3,00","36,20","1 579,97","3,00","516,92","1 543,77","1 063,05","3,00","1,00","0,00","Jihočeský kraj","JINDŘICHŮV HRADEC","Jindřichův Hradec"
"Vykáň","2 486,43","3 365,45","0,00","0,00","0,00","73,60","192,74",NA,"354,00","46,00","51,00","124,00","121,00","4,00","8,00","87,00","15,00","192,74","3 631,79","18,00","1 145,36","3 439,05","2 486,43","14,00","2,00","4,00","Středočeský kraj","ČESKÝ BROD","Nymburk"
"Vyklantice","2 141,87","1 846,30","128,00","3,67","303,00","660,75","305,46","1,00","177,00","51,00","18,00","54,00","42,00","7,00","5,00","26,00","6,00","433,46","2 944,18","7,00","499,31","2 510,72","2 444,87","3,00","3,00","2,00","Vysočina","PACOV","Pelhřimov"
"Výkleky","2 076,99","2 232,67","0,00","3,00","369,46","176,03","155,17",NA,"281,00","43,00","42,00","89,00","89,00","10,00","8,00","46,00","16,00","155,17","2 566,87","8,00","120,42","2 411,70","2 446,45","2,00","4,00","8,00","Olomoucký kraj","PŘEROV","Přerov"
"Výprachtice","10 256,11","8 697,84","1 550,00","0,00","2 743,29","972,08","2 509,58","3,00","977,00","112,00","182,00","311,00","301,00","36,00","35,00","159,00","27,00","4 059,58","13 729,50","29,00","730,10","9 669,92","12 999,40","11,00","7,00","20,00","Pardubický kraj","LANŠKROUN","Ústí nad Orlicí"
"Výrava","4 454,83","3 146,88","268,53","0,00","634,19","96,60","779,96","4,00","353,00","63,00","44,00","132,00","96,00","8,00","10,00","76,00","6,00","1 048,49","4 291,97","19,00","-797,05","3 243,48","5 089,02","8,00","3,00","4,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Výrov","2 245,35","3 798,25","110,00","50,63","1 092,85","396,46","30,70","3,00","443,00","58,00","61,00","153,00","137,00","15,00","19,00","87,00","8,00","140,70","4 386,04","5,00","1 047,84","4 245,34","3 338,20","11,00","6,00","8,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Výrovice","1 468,02","1 656,36","532,00","22,71","911,78","220,05","362,94","1,00","178,00","27,00","33,00","58,00","47,00","6,00","7,00","31,00","10,00","894,94","2 794,06","2,00","414,26","1 899,12","2 379,80","4,00","1,00","3,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vyšehněvice","1 579,93","2 206,25","135,00","0,00","2 092,60","236,86","140,03",NA,"200,00","28,00","11,00","81,00","68,00","7,00","5,00","54,00","7,00","275,03","2 718,14","7,00","-954,39","2 443,11","3 672,53","7,00","2,00","2,00","Pardubický kraj","PŘELOUČ","Pardubice"
"Vyšehoří","1 066,36","1 522,35","0,00","3,16","25,32","187,38","27,20",NA,"209,00","34,00","35,00","64,00","64,00","6,00","6,00","32,00","2,00","27,20","1 740,09","7,00","648,41","1 712,89","1 091,68","2,00","2,00","3,00","Olomoucký kraj","ZÁBŘEH","Šumperk"
"Vyšehořovice","3 961,81","5 245,37","7 383,90","33,00","13 089,51","1 721,49","83,30","4,00","550,00","59,00","86,00","186,00","175,00","24,00","20,00","118,00","6,00","7 467,20","14 467,06","22,00","-2 584,26","6 999,86","17 051,32","31,00","4,00","6,00","Středočeský kraj","BRANDÝS N.L.-ST.BOLES","Praha-východ"
"Vyskeř","2 828,53","3 352,97","0,00","0,00","1 804,72","552,76","503,08","1,00","365,00","60,00","47,00","127,00","104,00","12,00","15,00","95,00","13,00","503,08","4 408,81","7,00","-224,44","3 905,73","4 633,25","13,00","2,00","4,00","Liberecký kraj","TURNOV","Semily"
"Výškov","9 260,49","6 766,82","98,36","488,90","892,56","3 559,60","316,10",NA,"495,00","46,00","106,00","163,00","148,00","17,00","15,00","102,00","31,00","414,46","11 229,78","14,00","1 076,73","10 815,32","10 153,05","8,00","6,00","6,00","Ústecký kraj","LOUNY","Louny"
"Vyškov","474 958,07","288 528,14","28 665,00","250 448,76","144 566,87","32 410,84","161 121,20","61,00","21 875,00","2 972,00","2 901,00","7 300,00","7 295,00","743,00","664,00","4 841,00","601,00","189 786,20","761 173,94","495,00","141 649,00","571 387,74","619 524,94","550,00","199,00","228,00","Jihomoravský kraj","VYŠKOV","Vyškov"
"Vyškovec","1 748,68","1 585,47","0,00","20,10","0,00","199,30","42,20","3,00","150,00","30,00","16,00","56,00","39,00","3,00","6,00","50,00","15,00","42,20","1 847,07","11,00","98,39","1 804,87","1 748,68","2,00","3,00","1,00","Zlínský kraj","UHERSKÝ BROD","Uherské Hradiště"
"Vyskytná","6 484,52","6 067,54","0,00","313,88","1 898,88","1 298,04","632,31","4,00","683,00","92,00","112,00","214,00","220,00","19,00","26,00","126,00","25,00","632,31","8 311,77","16,00","-71,63","7 679,46","8 383,40","23,00","5,00","9,00","Vysočina","PELHŘIMOV","Pelhřimov"
"Vyskytná nad Jihlavou","7 936,57","7 000,55","0,00","1 455,80","9 236,67","1 593,28","183,19","8,00","769,00","99,00","128,00","253,00","231,00","27,00","31,00","170,00","17,00","183,19","10 232,82","52,00","-6 940,42","10 049,63","17 173,24","22,00","4,00","12,00","Vysočina","JIHLAVA","Jihlava"
"Výsluní","6 037,41","3 237,81","500,00","1 121,68","1 499,53","2 163,88","2 343,50",NA,"272,00","25,00","26,00","136,00","70,00","8,00","7,00","69,00","15,00","2 843,50","9 366,87","58,00","1 829,93","6 523,37","7 536,94","9,00","1,00","0,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Vyšní Lhoty","5 253,39","7 036,67","280,63","168,10","5 039,34","779,52","548,79","3,00","883,00","109,00","211,00","270,00","241,00","27,00","25,00","149,00","24,00","829,42","8 813,71","20,00","-1 479,02","7 984,29","10 292,73","17,00","8,00","13,00","Moravskoslezský kraj","FRÝDEK-MÍSTEK","Frýdek-Místek"
"Vysočany","5 113,40","7 234,08","155,00","109,42","2 297,64","348,94","429,50",NA,"808,00","126,00","118,00","264,00","250,00","24,00","26,00","112,00","34,00","584,50","8 276,94","12,00","865,90","7 692,44","7 411,04","2,00","9,00","5,00","Jihomoravský kraj","BLANSKO","Blansko"
"Vysočany","1 449,88","1 583,04","18,23","3,09","938,09","198,44","239,81",NA,"106,00","23,00","12,00","33,00","31,00","3,00","4,00","19,00","8,00","258,04","2 042,61","0,00","-345,36","1 784,57","2 387,97","5,00","0,00","0,00","Jihomoravský kraj","ZNOJMO","Znojmo"
"Vysočina","6 976,91","6 045,13","0,00","35,27","24,99","760,46","1 620,78","1,00","677,00","106,00","110,00","201,00","205,00","24,00","31,00","128,00","34,00","1 620,78","8 461,64","14,00","1 459,74","6 840,86","7 001,90","17,00","7,00","6,00","Pardubický kraj","HLINSKO","Chrudim"
"Vysoká","3 539,58","4 404,80","0,00","142,31","88,02","372,42","509,67",NA,"338,00","34,00","65,00","111,00","96,00","15,00","17,00","85,00","22,00","509,67","5 429,20","23,00","1 801,60","4 919,53","3 627,60","22,00","4,00","6,00","Moravskoslezský kraj","KRNOV","Bruntál"
"Vysoká","1 903,42","2 604,08","90,00","152,18","1 910,00","802,28","66,92","2,00","171,00","22,00","34,00","61,00","50,00","1,00","3,00","37,00","5,00","156,92","3 715,46","23,00","-97,96","3 558,54","3 813,42","0,00","3,00","2,00","Vysočina","HAVLÍČKŮV BROD","Havlíčkův Brod"
"Vysoká","10 277,13","9 160,90","0,00","35,50","882,62","570,53","1 582,92","2,00","814,00","120,00","145,00","263,00","244,00","18,00","24,00","205,00","48,00","1 582,92","11 349,85","52,00","190,10","9 766,93","11 159,75","34,00","11,00","8,00","Středočeský kraj","MĚLNÍK","Mělník"
"Vysoká Lhota","214,57","338,96","0,00","0,00","0,00","12,40","20,54",NA,"22,00","9,00","0,00","5,00","5,00","1,00","2,00","10,00","0,00","20,54","371,90","0,00","157,33","351,36","214,57","0,00","0,00","0,00","Vysočina","PACOV","Pelhřimov"
"Vysoká Libyně","2 247,06","2 682,13","0,00","101,00","491,36","272,11","27,20",NA,"254,00","26,00","45,00","84,00","79,00","13,00","7,00","44,00","13,00","27,20","3 082,44","8,00","344,02","3 055,24","2 738,42","7,00","5,00","1,00","Plzeňský kraj","KRALOVICE","Plzeň-sever"
"Vysoká nad Labem","7 930,35","9 760,90","2 060,70","18,50","3 204,20","1 181,58","468,23","24,00","1 155,00","104,00","196,00","408,00","385,00","38,00","24,00","220,00","21,00","2 528,93","13 489,91","124,00","2 355,36","10 960,98","11 134,55","33,00","8,00","11,00","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Vysoká Pec","7 833,03","15 101,32","296,30","1 436,51","10 900,00","1 285,86","528,89","7,00","917,00","119,00","112,00","339,00","282,00","33,00","32,00","185,00","28,00","825,19","18 648,88","53,00","-84,15","17 823,69","18 733,03","27,00","7,00","4,00","Ústecký kraj","CHOMUTOV","Chomutov"
"Vysoká Pec","2 518,42","3 205,60","3 695,03","432,98","4 656,68","514,08","74,08","3,00","314,00","25,00","51,00","78,00","125,00","24,00","11,00","51,00","9,00","3 769,11","7 921,77","15,00","746,67","4 152,66","7 175,10","3,00","7,00","6,00","Karlovarský kraj","KARLOVY VARY","Karlovy Vary"
"Vysoká Srbská","2 970,30","2 091,69","18,00","2 065,14","1 003,07","325,67","377,20",NA,"244,00","40,00","35,00","79,00","79,00","7,00","4,00","62,00","7,00","395,20","4 877,70","5,00","904,33","4 482,50","3 973,37","11,00","3,00","5,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Vysoká u Příbramě","1 499,00","3 115,06","0,00","7,19","10,00","235,03","23,51",NA,"316,00","52,00","49,00","97,00","93,00","10,00","15,00","73,00","18,00","23,51","3 380,79","9,00","1 871,79","3 357,28","1 509,00","9,00","1,00","4,00","Středočeský kraj","PŘÍBRAM","Příbram"
"Vysoké","1 756,87","1 199,52","0,00","401,04","71,60","86,10","456,39",NA,"126,00","16,00","27,00","38,00","36,00","4,00","5,00","31,00","0,00","456,39","2 143,05","4,00","314,58","1 686,66","1 828,47","1,00","2,00","3,00","Vysočina","ŽĎÁR NAD SÁZAVOU","Žďár nad Sázavou"
"Vysoké Chvojno","2 434,93","3 622,22","0,00","0,00","255,49","712,35","215,44","2,00","350,00","66,00","41,00","115,00","97,00","17,00","14,00","97,00","9,00","215,44","4 550,01","8,00","1 859,59","4 334,57","2 690,42","8,00","3,00","5,00","Pardubický kraj","HOLICE","Pardubice"
"Vysoké Mýto","227 828,25","146 002,52","50 034,13","17 663,37","94 056,51","29 193,80","101 976,22","21,00","12 582,00","1 796,00","2 012,00","4 048,00","4 040,00","345,00","341,00","2 795,00","321,00","152 010,35","344 870,03","283,00","22 985,27","192 859,69","321 884,76","269,00","110,00","157,00","Pardubický kraj","VYSOKÉ MÝTO","Ústí nad Orlicí"
"Vysoké nad Jizerou","17 519,99","12 561,37","0,00","1 500,00","5 240,67","4 982,54","1 261,87","3,00","1 306,00","214,00","183,00","439,00","368,00","52,00","50,00","348,00","41,00","1 261,87","20 305,79","17,00","-2 454,87","19 043,91","22 760,66","30,00","20,00","10,00","Liberecký kraj","SEMILY","Semily"
"Vysoké Pole","9 319,76","6 315,92","5 194,01","79,14","8 552,95","5 460,29","1 091,77","3,00","809,00","94,00","144,00","294,00","242,00","20,00","15,00","132,00","23,00","6 285,78","18 141,13","17,00","268,42","11 855,35","17 872,71","25,00","11,00","15,00","Zlínský kraj","VALAŠSKÉ KLOBOUKY","Zlín"
"Vysoké Popovice","4 768,75","5 504,70","2 527,19","468,68","5 375,93","616,38","384,64","3,00","653,00","117,00","104,00","199,00","191,00","18,00","24,00","108,00","23,00","2 911,83","9 501,59","13,00","-643,09","6 589,76","10 144,68","8,00","11,00","8,00","Jihomoravský kraj","ROSICE","Brno-venkov"
"Vysoké Studnice","2 448,72","3 055,09","0,00","0,00","5 854,73","2 766,43","198,03","2,00","377,00","46,00","69,00","121,00","120,00","12,00","9,00","53,00","7,00","198,03","6 019,55","16,00","-2 283,90","5 821,52","8 303,45","4,00","1,00","1,00","Vysočina","JIHLAVA","Jihlava"
"Vysoké Veselí","7 446,02","6 865,36","5 584,82","509,80","6 003,28","1 034,84","1 468,90","2,00","917,00","112,00","162,00","291,00","285,00","27,00","40,00","200,00","55,00","7 053,72","15 463,72","103,00","2 014,42","8 410,00","13 449,30","20,00","8,00","16,00","Královéhradecký kraj","JIČÍN","Jičín"
"Vysokov","4 543,33","3 656,52","90,00","658,52","773,38","617,98","1 565,50","3,00","430,00","58,00","70,00","141,00","118,00","24,00","19,00","121,00","9,00","1 655,50","6 588,52","11,00","1 271,81","4 933,02","5 316,71","17,00","5,00","6,00","Královéhradecký kraj","NÁCHOD","Náchod"
"Vysoký Chlumec","7 909,78","7 606,22","0,00","59,71","1 815,34","1 703,44","744,53","3,00","796,00","105,00","101,00","282,00","242,00","35,00","31,00","183,00","29,00","744,53","10 113,90","12,00","388,78","9 369,37","9 725,12","18,00","1,00","9,00","Středočeský kraj","SEDLČANY","Příbram"
"Vysoký Újezd","6 274,21","5 900,76","1 817,61","0,00","6 176,24","4 965,58","240,97","5,00","582,00","63,00","101,00","209,00","172,00","22,00","15,00","152,00","14,00","2 058,58","12 924,92","51,00","474,47","10 866,34","12 450,45","19,00","4,00","5,00","Středočeský kraj","BEROUN","Beroun"
"Vysoký Újezd","1","1","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Královéhradecký kraj","HRADEC KRÁLOVÉ","Hradec Králové"
"Vysoký Újezd","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","2","2","2","Středočeský kraj","BENEŠOV","Benešov"
"Výšovice","6 269,04","4 666,96","0,00","1 801,15","499,54","1 711,27","31,40","1,00","486,00","60,00","81,00","159,00","164,00","10,00","12,00","126,00","10,00","31,40","8 210,78","14,00","1 442,20","8 179,38","6 768,58","6,00","6,00","8,00","Olomoucký kraj","PROSTĚJOV","Prostějov"
"Vyšší Brod","45 994,48","29 247,03","0,00","810,60","7 074,55","18 882,48","5 382,74","2,00","2 641,00","283,00","406,00","944,00","833,00","94,00","81,00","759,00","116,00","5 382,74","54 322,85","73,00","1 253,82","48 940,11","53 069,03","118,00","19,00","29,00","Jihočeský kraj","ČESKÝ KRUMLOV","Český Krumlov"
